GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,66          ,69          ,76          ,
0        ,61          ,67          ,71          ,
1        ,64          ,72          ,74          ,
2        ,70          ,72          ,77          ,
3        ,60          ,65          ,72          ,
4        ,54          ,61          ,66          ,
5        ,58          ,65          ,69          ,
6        ,63          ,71          ,72          ,
7        ,69          ,73          ,75          ,
8        ,71          ,72          ,78          ,
9        ,70          ,72          ,77          ,
10       ,67          ,69          ,78          ,
11       ,63          ,72          ,77          ,
12       ,63          ,75          ,79          ,
13       ,63          ,77          ,81          ,
14       ,65          ,75          ,81          ,
15       ,75          ,80          ,82          ,
16       ,70          ,79          ,81          ,
17       ,70          ,79          ,82          ,
18       ,75          ,81          ,82          ,
19       ,80          ,83          ,83          ,
20       ,72          ,78          ,84          ,
21       ,71          ,71          ,81          ,
22       ,69          ,76          ,78          ,
23       ,74          ,79          ,81          ,
24       ,77          ,77          ,82          ,
25       ,61          ,74          ,80          ,
26       ,65          ,78          ,82          ,
27       ,70          ,80          ,81          ,
28       ,80          ,83          ,84          ,
29       ,79          ,81          ,84          ,
30       ,70          ,79          ,83          ,
31       ,58          ,76          ,83          ,
32       ,63          ,80          ,82          ,
33       ,69          ,79          ,83          ,
34       ,67          ,78          ,82          ,
35       ,58          ,78          ,80          ,
36       ,59          ,79          ,82          ,
37       ,56          ,76          ,80          ,
38       ,49          ,77          ,82          ,
39       ,67          ,67          ,85          ,
