Message,GrowthDay,Time,
系统锁定   ,35       ,07:26:16,
管理员登陆  ,35       ,08:38:12,
更改开关   ,35       ,08:38:14,
系统锁定   ,35       ,08:43:16,
报警测试   ,35       ,12:00:00,
备用设置提醒 ,35       ,18:12:02,
备用设置提醒 ,35       ,21:56:26,
管理员登陆  ,35       ,22:05:20,
系统锁定   ,35       ,22:13:04,
管理员登陆  ,36       ,07:05:09,
系统锁定   ,36       ,07:10:16,
管理员登陆  ,36       ,11:52:08,
重置报警   ,36       ,11:52:10,
更改开关   ,36       ,11:52:14,
系统锁定   ,36       ,11:57:20,
报警测试   ,36       ,12:00:00,
管理员登陆  ,36       ,15:31:06,
系统锁定   ,36       ,15:36:25,
管理员登陆  ,36       ,19:42:24,
系统锁定   ,36       ,19:48:18,
管理员登陆  ,36       ,22:07:21,
系统锁定   ,36       ,22:14:04,
管理员登陆  ,37       ,08:16:20,
系统锁定   ,37       ,08:22:02,
报警测试   ,37       ,12:00:00,
备用设置提醒 ,37       ,14:28:23,
管理员登陆  ,37       ,18:14:26,
系统锁定   ,37       ,18:20:14,
管理员登陆  ,37       ,19:02:26,
备用设置提醒 ,37       ,19:04:10,
系统锁定   ,37       ,19:10:09,
管理员登陆  ,37       ,21:41:21,
系统锁定   ,37       ,21:47:27,
管理员登陆  ,38       ,00:27:12,
系统锁定   ,38       ,00:32:22,
空鸡舍模式  ,38       ,05:25:04,
管理员登陆  ,38       ,05:30:15,
更改开关   ,38       ,05:31:11,
更改开关   ,38       ,05:31:26,
更改开关   ,38       ,05:32:29,
系统锁定   ,38       ,05:38:26,
报警测试   ,38       ,12:00:00,
报警测试   ,39       ,12:00:00,
报警测试   ,40       ,12:00:00,
报警测试   ,41       ,12:00:00,
报警测试   ,42       ,12:00:00,
报警测试   ,43       ,12:00:00,
报警测试   ,44       ,12:00:00,
报警测试   ,45       ,12:00:00,
报警测试   ,46       ,12:00:00,
报警测试   ,47       ,12:00:00,
报警测试   ,48       ,12:00:00,
报警测试   ,49       ,12:00:00,
报警测试   ,50       ,12:00:00,
报警测试   ,51       ,12:00:00,
报警测试   ,52       ,12:00:00,
管理员登陆  ,53       ,08:41:21,
更改开关   ,53       ,08:41:24,
系统锁定   ,53       ,08:55:20,
管理员登陆  ,53       ,09:00:10,
更改开关   ,53       ,09:00:20,
更改开关   ,53       ,09:00:25,
系统锁定   ,53       ,09:06:13,
报警测试   ,53       ,12:00:00,
新的鸡群   ,0        ,05:11:07,
管理员登陆  ,0        ,05:20:03,
更改开关   ,0        ,05:20:23,
系统锁定   ,0        ,05:26:17,
电源关闭   ,0        ,07:05:03,
电源开启   ,0        ,07:05:07,
电源关闭   ,0        ,07:12:09,
电源开启   ,0        ,07:12:10,
报警测试   ,0        ,12:00:00,
管理员登陆  ,0        ,14:43:19,
系统锁定   ,0        ,14:51:15,
普通鸡舍模式 ,0        ,15:35:26,
备用设置提醒 ,0        ,15:35:26,
备用设置提醒 ,0        ,16:48:22,
报警测试   ,1        ,12:00:00,
备用设置提醒 ,1        ,00:00:00,
备用设置提醒 ,2        ,04:48:00,
报警测试   ,2        ,12:00:00,
报警测试   ,3        ,12:00:00,
管理员登陆  ,3        ,15:03:18,
系统锁定   ,3        ,15:09:10,
备用设置提醒 ,3        ,15:46:08,
报警测试   ,4        ,12:00:00,
备用设置提醒 ,4        ,16:52:03,
管理员登陆  ,4        ,20:47:06,
系统锁定   ,4        ,20:54:11,
管理员登陆  ,5        ,09:27:29,
系统锁定   ,5        ,09:33:02,
报警测试   ,5        ,12:00:00,
管理员登陆  ,5        ,14:44:04,
系统锁定   ,5        ,14:49:20,
备用设置提醒 ,6        ,09:36:00,
报警测试   ,6        ,12:00:00,
报警测试   ,7        ,12:00:00,
备用设置提醒 ,8        ,06:40:04,
报警测试   ,8        ,12:00:00,
管理员登陆  ,8        ,19:37:28,
系统锁定   ,8        ,19:43:01,
管理员登陆  ,9        ,10:22:25,
系统锁定   ,9        ,10:28:01,
报警测试   ,9        ,12:00:00,
管理员登陆  ,9        ,15:00:28,
系统锁定   ,9        ,15:07:03,
管理员登陆  ,9        ,20:47:22,
系统锁定   ,9        ,20:52:26,
报警测试   ,10       ,12:00:00,
备用设置提醒 ,11       ,11:07:11,
报警测试   ,11       ,12:00:00,
管理员登陆  ,11       ,14:49:00,
系统锁定   ,11       ,14:55:05,
报警测试   ,12       ,12:00:00,
报警测试   ,13       ,12:00:00,
备用设置提醒 ,14       ,09:14:12,
管理员登陆  ,14       ,10:25:04,
系统锁定   ,14       ,10:32:07,
报警测试   ,14       ,12:00:00,
报警测试   ,15       ,12:00:00,
管理员登陆  ,15       ,14:36:15,
更改开关   ,15       ,14:36:23,
系统锁定   ,15       ,14:41:23,
管理员登陆  ,15       ,15:09:28,
更改开关   ,15       ,15:10:04,
系统锁定   ,15       ,15:19:00,
管理员登陆  ,15       ,16:44:03,
系统锁定   ,15       ,16:50:05,
管理员登陆  ,16       ,10:36:17,
系统锁定   ,16       ,10:42:13,
报警测试   ,16       ,12:00:00,
备用设置提醒 ,16       ,19:29:10,
报警测试   ,17       ,12:00:00,
管理员登陆  ,17       ,15:23:03,
系统锁定   ,17       ,15:28:19,
报警测试   ,18       ,12:00:00,
管理员登陆  ,18       ,15:02:14,
系统锁定   ,18       ,15:08:20,
管理员登陆  ,18       ,20:03:09,
系统锁定   ,18       ,20:09:22,
报警测试   ,19       ,12:00:00,
备用设置提醒 ,19       ,14:24:00,
