GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,24.9        ,29.0        ,30.8        ,
0        ,28.7        ,33.4        ,34.5        ,
1        ,32.5        ,32.7        ,34.4        ,
2        ,31.6        ,32.3        ,33.8        ,
3        ,30.7        ,31.1        ,33.3        ,
4        ,30.1        ,30.7        ,32.5        ,
5        ,29.8        ,30.0        ,31.6        ,
6        ,23.8        ,30.0        ,31.2        ,
7        ,28.9        ,29.5        ,30.7        ,
8        ,28.7        ,29.3        ,30.3        ,
9        ,28.1        ,28.5        ,30.0        ,
10       ,27.4        ,28.0        ,29.6        ,
11       ,27.0        ,27.6        ,30.0        ,
12       ,26.9        ,27.4        ,29.5        ,
13       ,26.8        ,27.4        ,30.9        ,
14       ,26.6        ,26.7        ,29.5        ,
15       ,26.6        ,26.9        ,29.0        ,
16       ,25.9        ,25.9        ,29.7        ,
17       ,25.5        ,25.7        ,29.5        ,
18       ,25.1        ,25.1        ,28.1        ,
19       ,24.1        ,26.1        ,27.0        ,
20       ,24.8        ,24.9        ,30.0        ,
21       ,22.4        ,23.2        ,25.7        ,
22       ,22.3        ,23.3        ,26.2        ,
23       ,22.6        ,23.2        ,24.4        ,
24       ,21.6        ,21.7        ,24.4        ,
25       ,20.7        ,21.1        ,25.3        ,
26       ,20.7        ,22.6        ,26.4        ,
27       ,21.8        ,22.5        ,27.4        ,
28       ,22.1        ,22.6        ,24.1        ,
29       ,21.5        ,21.7        ,24.2        ,
30       ,19.4        ,20.0        ,24.7        ,
31       ,19.6        ,19.9        ,25.9        ,
32       ,19.4        ,20.6        ,26.2        ,
33       ,20.1        ,22.0        ,26.5        ,
34       ,20.1        ,20.3        ,24.6        ,
35       ,19.1        ,19.5        ,25.9        ,
36       ,18.8        ,19.5        ,26.5        ,
37       ,13.2        ,13.2        ,23.2        ,
38       ,10.0        ,11.1        ,19.4        ,
39       ,9.8         ,16.8        ,16.8        ,
