GrowthDay,TotalDrinkDaily,TotalDrinkChange,Water_1Daily,Water_1Change,Water_2Daily,Water_2Change,Water_3Daily,Water_3Change,Water_4Daily,Water_4Change,TotalWater,Coolpad,Fogger,Flushing,
-1       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
0        ,644            ,不详              ,644         ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,644       ,0      ,0     ,0       ,
1        ,457            ,-30             ,457         ,-30          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,457       ,0      ,0     ,0       ,
2        ,998            ,118             ,998         ,118          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,998       ,0      ,0     ,0       ,
3        ,1153           ,15              ,1153        ,15           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1153      ,0      ,0     ,0       ,
4        ,1976           ,71              ,1976        ,71           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1976      ,0      ,0     ,0       ,
5        ,1976           ,0               ,1976        ,0            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1976      ,0      ,0     ,0       ,
6        ,2355           ,19              ,2355        ,19           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2355      ,0      ,0     ,0       ,
7        ,2746           ,16              ,2746        ,16           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2746      ,0      ,0     ,0       ,
8        ,2622           ,-5              ,2622        ,-5           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2622      ,0      ,0     ,0       ,
9        ,3735           ,42              ,3735        ,42           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3735      ,0      ,0     ,0       ,
10       ,3789           ,1               ,3789        ,1            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3789      ,0      ,0     ,0       ,
11       ,4397           ,16              ,4397        ,16           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4397      ,0      ,0     ,0       ,
12       ,4992           ,13              ,4992        ,13           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4992      ,0      ,0     ,0       ,
13       ,5532           ,10              ,5532        ,10           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5532      ,0      ,0     ,0       ,
14       ,5812           ,5               ,5812        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5812      ,0      ,0     ,0       ,
15       ,6417           ,10              ,6417        ,10           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6417      ,0      ,0     ,0       ,
16       ,6687           ,4               ,6687        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6687      ,0      ,0     ,0       ,
17       ,6978           ,4               ,6978        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6978      ,0      ,0     ,0       ,
18       ,7633           ,9               ,7633        ,9            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7633      ,0      ,0     ,0       ,
19       ,8089           ,5               ,8089        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8089      ,0      ,0     ,0       ,
20       ,8341           ,3               ,8341        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8341      ,0      ,0     ,0       ,
21       ,8512           ,2               ,8512        ,2            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8512      ,0      ,0     ,0       ,
22       ,8774           ,3               ,8774        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8774      ,0      ,0     ,0       ,
23       ,9173           ,4               ,9173        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9173      ,0      ,0     ,0       ,
24       ,9451           ,3               ,9451        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9451      ,0      ,0     ,0       ,
25       ,9874           ,4               ,9874        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9874      ,0      ,0     ,0       ,
26       ,9890           ,0               ,9890        ,0            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9890      ,0      ,0     ,0       ,
27       ,10126          ,2               ,10126       ,2            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10126     ,0      ,0     ,0       ,
28       ,10751          ,6               ,10751       ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10751     ,0      ,0     ,0       ,
29       ,10487          ,-3              ,10487       ,-3           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10487     ,0      ,0     ,0       ,
30       ,11088          ,5               ,11088       ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,11088     ,0      ,0     ,0       ,
31       ,11003          ,不详              ,11003       ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,11003     ,0      ,0     ,0       ,
32       ,10911          ,不详              ,10911       ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10911     ,0      ,0     ,0       ,
33       ,11464          ,5               ,11464       ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,11464     ,0      ,0     ,0       ,
34       ,11445          ,不详              ,11445       ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,11445     ,0      ,0     ,0       ,
35       ,11286          ,-2              ,11286       ,-2           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,11286     ,0      ,0     ,0       ,
36       ,12321          ,9               ,12321       ,9            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,12321     ,0      ,0     ,0       ,
37       ,9125           ,-26             ,9125        ,-26          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9125      ,0      ,0     ,0       ,
38       ,0              ,-100            ,0           ,-100         ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
39       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
