GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,88          ,89          ,97          ,
0        ,68          ,70          ,90          ,
1        ,68          ,77          ,78          ,
2        ,74          ,76          ,85          ,
3        ,65          ,70          ,79          ,
4        ,58          ,77          ,79          ,
5        ,71          ,77          ,82          ,
6        ,76          ,84          ,87          ,
7        ,82          ,92          ,93          ,
8        ,80          ,81          ,98          ,
9        ,79          ,82          ,90          ,
10       ,75          ,78          ,91          ,
11       ,74          ,86          ,93          ,
12       ,76          ,90          ,94          ,
13       ,73          ,88          ,95          ,
14       ,75          ,84          ,94          ,
15       ,83          ,92          ,97          ,
16       ,82          ,91          ,95          ,
17       ,82          ,92          ,97          ,
18       ,88          ,93          ,96          ,
19       ,91          ,97          ,97          ,
20       ,82          ,83          ,100         ,
21       ,75          ,76          ,87          ,
22       ,70          ,83          ,86          ,
23       ,81          ,87          ,91          ,
24       ,82          ,82          ,92          ,
25       ,67          ,82          ,90          ,
26       ,72          ,84          ,90          ,
27       ,78          ,87          ,90          ,
28       ,86          ,93          ,96          ,
29       ,88          ,91          ,96          ,
30       ,79          ,86          ,94          ,
31       ,66          ,82          ,93          ,
32       ,70          ,87          ,93          ,
33       ,78          ,87          ,94          ,
34       ,73          ,85          ,92          ,
35       ,67          ,85          ,90          ,
36       ,68          ,90          ,94          ,
37       ,63          ,80          ,92          ,
38       ,67          ,82          ,92          ,
39       ,82          ,87          ,97          ,
