GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,25.2        ,29.2        ,29.8        ,
0        ,28.7        ,33.4        ,34.0        ,
1        ,32.5        ,32.9        ,34.0        ,
2        ,31.9        ,32.6        ,33.2        ,
3        ,31.0        ,31.5        ,33.0        ,
4        ,30.2        ,30.4        ,32.2        ,
5        ,29.6        ,30.2        ,31.6        ,
6        ,29.2        ,29.4        ,30.8        ,
7        ,29.2        ,29.3        ,30.4        ,
8        ,28.6        ,29.1        ,30.0        ,
9        ,28.3        ,28.9        ,29.6        ,
10       ,27.5        ,28.4        ,29.5        ,
11       ,27.2        ,27.5        ,29.4        ,
12       ,27.4        ,27.8        ,29.3        ,
13       ,27.3        ,27.6        ,30.2        ,
14       ,27.3        ,27.5        ,29.5        ,
15       ,27.4        ,27.5        ,29.3        ,
16       ,26.9        ,26.9        ,29.4        ,
17       ,26.7        ,26.9        ,29.2        ,
18       ,26.5        ,26.5        ,28.4        ,
19       ,25.5        ,26.7        ,27.7        ,
20       ,25.7        ,25.8        ,30.0        ,
21       ,23.9        ,24.1        ,26.3        ,
22       ,23.8        ,24.4        ,25.9        ,
23       ,24.0        ,24.1        ,25.1        ,
24       ,23.0        ,23.0        ,25.0        ,
25       ,22.3        ,22.5        ,25.1        ,
26       ,22.0        ,23.4        ,26.2        ,
27       ,22.9        ,23.5        ,27.6        ,
28       ,23.3        ,24.3        ,25.5        ,
29       ,23.0        ,23.2        ,25.1        ,
30       ,20.7        ,20.8        ,25.1        ,
31       ,20.3        ,20.9        ,25.5        ,
32       ,20.6        ,21.8        ,26.3        ,
33       ,21.3        ,23.6        ,26.3        ,
34       ,22.0        ,22.2        ,25.0        ,
35       ,20.8        ,20.8        ,26.3        ,
36       ,20.3        ,21.6        ,26.6        ,
37       ,19.2        ,19.2        ,24.4        ,
38       ,13.3        ,14.9        ,19.9        ,
39       ,14.1        ,18.4        ,18.5        ,
