GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,25.0        ,29.1        ,31.5        ,
0        ,28.8        ,33.4        ,34.5        ,
1        ,32.6        ,32.9        ,35.2        ,
2        ,31.8        ,32.5        ,33.5        ,
3        ,29.5        ,31.4        ,37.5        ,
4        ,30.3        ,30.4        ,32.5        ,
5        ,21.1        ,31.0        ,35.5        ,
6        ,12.6        ,30.0        ,33.2        ,
7        ,29.0        ,29.7        ,30.6        ,
8        ,28.5        ,29.0        ,30.2        ,
9        ,28.2        ,29.3        ,29.8        ,
10       ,27.5        ,28.1        ,29.8        ,
11       ,27.1        ,27.6        ,30.0        ,
12       ,27.0        ,27.8        ,32.2        ,
13       ,26.9        ,27.4        ,30.9        ,
14       ,26.8        ,26.9        ,29.5        ,
15       ,26.8        ,27.1        ,28.9        ,
16       ,25.8        ,26.0        ,29.8        ,
17       ,25.7        ,25.9        ,29.3        ,
18       ,25.5        ,25.5        ,28.3        ,
19       ,24.8        ,26.0        ,26.9        ,
20       ,24.9        ,24.9        ,29.7        ,
21       ,23.1        ,23.8        ,25.7        ,
22       ,23.2        ,23.4        ,26.1        ,
23       ,23.2        ,23.2        ,24.4        ,
24       ,21.6        ,22.0        ,24.5        ,
25       ,21.3        ,21.3        ,25.0        ,
26       ,20.9        ,22.6        ,26.6        ,
27       ,21.8        ,22.6        ,27.5        ,
28       ,22.0        ,22.6        ,24.3        ,
29       ,21.5        ,21.8        ,24.8        ,
30       ,19.5        ,20.6        ,24.9        ,
31       ,19.4        ,20.2        ,25.7        ,
32       ,19.9        ,21.0        ,26.0        ,
33       ,20.8        ,22.2        ,26.6        ,
34       ,20.1        ,20.5        ,25.2        ,
35       ,19.1        ,19.6        ,26.0        ,
36       ,18.9        ,19.3        ,26.6        ,
37       ,13.7        ,13.7        ,20.8        ,
38       ,10.1        ,11.2        ,19.8        ,
39       ,9.7         ,16.1        ,16.1        ,
