Message,GrowthDay,Time,
管理员登陆  ,35       ,16:25:19,
系统锁定   ,35       ,16:31:09,
备用设置提醒 ,35       ,18:17:03,
管理员登陆  ,35       ,22:26:21,
备用设置提醒 ,35       ,22:26:29,
系统锁定   ,35       ,22:32:03,
管理员登陆  ,36       ,11:58:16,
更改开关   ,36       ,11:58:27,
报警测试   ,36       ,12:00:00,
系统锁定   ,36       ,12:03:28,
管理员登陆  ,36       ,13:24:15,
系统锁定   ,36       ,13:30:07,
管理员登陆  ,36       ,20:05:15,
系统锁定   ,36       ,20:11:14,
备用设置提醒 ,36       ,20:42:20,
管理员登陆  ,36       ,22:51:03,
更改开关   ,36       ,22:51:15,
更改开关   ,36       ,22:52:25,
系统锁定   ,36       ,22:58:27,
报警测试   ,37       ,12:00:00,
备用设置提醒 ,37       ,15:02:24,
备用设置提醒 ,37       ,18:05:13,
管理员登陆  ,37       ,19:08:19,
系统锁定   ,37       ,19:14:15,
备用设置提醒 ,37       ,20:55:13,
报警测试   ,38       ,12:00:00,
管理员登陆  ,38       ,15:03:07,
空鸡舍模式  ,38       ,15:05:25,
更改开关   ,38       ,15:08:04,
系统锁定   ,38       ,15:13:14,
报警测试   ,39       ,12:00:00,
报警测试   ,40       ,12:00:00,
报警测试   ,41       ,12:00:00,
报警测试   ,42       ,12:00:00,
报警测试   ,43       ,12:00:00,
报警测试   ,44       ,12:00:00,
报警测试   ,45       ,12:00:00,
报警测试   ,46       ,12:00:00,
报警测试   ,47       ,12:00:00,
报警测试   ,48       ,12:00:00,
更改开关   ,48       ,16:02:04,
更改开关   ,48       ,16:02:12,
系统锁定   ,48       ,16:07:13,
报警测试   ,49       ,12:00:00,
报警测试   ,50       ,12:00:00,
报警测试   ,51       ,12:00:00,
报警测试   ,52       ,12:00:00,
管理员登陆  ,53       ,09:20:10,
系统锁定   ,53       ,09:25:18,
报警测试   ,53       ,12:00:00,
电源关闭   ,54       ,07:06:10,
电源开启   ,54       ,07:06:16,
电源关闭   ,54       ,07:13:18,
电源开启   ,54       ,07:13:19,
管理员登陆  ,54       ,11:41:06,
系统锁定   ,54       ,11:47:29,
报警测试   ,54       ,12:00:00,
管理员登陆  ,54       ,12:28:28,
系统锁定   ,54       ,13:17:25,
管理员登陆  ,55       ,10:38:21,
系统锁定   ,55       ,10:47:27,
报警测试   ,55       ,12:00:00,
新的鸡群   ,0        ,04:05:15,
管理员登陆  ,0        ,04:27:08,
更改开关   ,0        ,04:27:20,
系统锁定   ,0        ,04:32:27,
管理员登陆  ,0        ,08:28:14,
