GrowthDay,TotalDrinkDaily,TotalDrinkChange,Water_1Daily,Water_1Change,Water_2Daily,Water_2Change,Water_3Daily,Water_3Change,Water_4Daily,Water_4Change,TotalWater,Coolpad,Fogger,Flushing,
-1       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
0        ,77             ,不详              ,77          ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,77        ,0      ,0     ,0       ,
1        ,249            ,223             ,249         ,223          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,249       ,0      ,0     ,0       ,
2        ,790            ,217             ,790         ,217          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,790       ,0      ,0     ,0       ,
3        ,918            ,16              ,918         ,16           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,918       ,0      ,0     ,0       ,
4        ,1328           ,44              ,1328        ,44           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1328      ,0      ,0     ,0       ,
5        ,1928           ,45              ,1928        ,45           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1928      ,0      ,0     ,0       ,
6        ,2278           ,18              ,2278        ,18           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2278      ,0      ,0     ,0       ,
7        ,2626           ,15              ,2626        ,15           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2626      ,0      ,0     ,0       ,
8        ,2533           ,-4              ,2533        ,-4           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2533      ,0      ,0     ,0       ,
9        ,3129           ,23              ,3129        ,23           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3129      ,0      ,0     ,0       ,
10       ,3661           ,17              ,3661        ,17           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3661      ,0      ,0     ,0       ,
11       ,4307           ,17              ,4307        ,17           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4307      ,0      ,0     ,0       ,
12       ,4799           ,11              ,4799        ,11           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4799      ,0      ,0     ,0       ,
13       ,5403           ,12              ,5403        ,12           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5403      ,0      ,0     ,0       ,
14       ,5527           ,2               ,5527        ,2            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5527      ,0      ,0     ,0       ,
15       ,5770           ,4               ,5770        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5770      ,0      ,0     ,0       ,
16       ,6241           ,8               ,6241        ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6241      ,0      ,0     ,0       ,
17       ,6745           ,8               ,6745        ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6745      ,0      ,0     ,0       ,
18       ,7580           ,12              ,7580        ,12           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7580      ,0      ,0     ,0       ,
19       ,8126           ,7               ,8126        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8126      ,0      ,0     ,0       ,
20       ,8701           ,7               ,8701        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8701      ,0      ,0     ,0       ,
21       ,8535           ,-2              ,8535        ,-2           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8535      ,0      ,0     ,0       ,
22       ,8617           ,0               ,8617        ,0            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8617      ,0      ,0     ,0       ,
23       ,9011           ,4               ,9011        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9011      ,0      ,0     ,0       ,
24       ,9302           ,3               ,9302        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9302      ,0      ,0     ,0       ,
25       ,9829           ,5               ,9829        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9829      ,0      ,0     ,0       ,
26       ,9054           ,-8              ,9054        ,-8           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9054      ,0      ,0     ,0       ,
27       ,9566           ,5               ,9566        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9566      ,0      ,0     ,0       ,
28       ,9945           ,3               ,9945        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9945      ,0      ,0     ,0       ,
29       ,10106          ,1               ,10106       ,1            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10106     ,0      ,0     ,0       ,
30       ,10053          ,不详              ,10053       ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10053     ,0      ,0     ,0       ,
31       ,10261          ,2               ,10261       ,2            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10261     ,0      ,0     ,0       ,
32       ,10272          ,0               ,10272       ,0            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10272     ,0      ,0     ,0       ,
33       ,10749          ,4               ,10749       ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10749     ,0      ,0     ,0       ,
34       ,10766          ,0               ,10766       ,0            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10766     ,0      ,0     ,0       ,
35       ,11176          ,3               ,11176       ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,11176     ,0      ,0     ,0       ,
36       ,12450          ,11              ,12450       ,11           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,12450     ,0      ,0     ,0       ,
37       ,5007           ,-60             ,5007        ,-60          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5007      ,0      ,0     ,0       ,
38       ,0              ,-100            ,0           ,-100         ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
39       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
