GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,95          ,96          ,97          ,
0        ,90          ,91          ,97          ,
1        ,88          ,88          ,91          ,
2        ,88          ,90          ,90          ,
3        ,86          ,86          ,90          ,
4        ,67          ,67          ,86          ,
5        ,60          ,69          ,69          ,
6        ,61          ,71          ,73          ,
7        ,68          ,75          ,76          ,
8        ,73          ,75          ,78          ,
9        ,70          ,71          ,79          ,
10       ,62          ,70          ,77          ,
11       ,57          ,67          ,76          ,
12       ,58          ,78          ,81          ,
13       ,61          ,78          ,83          ,
14       ,63          ,75          ,82          ,
15       ,74          ,81          ,83          ,
16       ,69          ,80          ,83          ,
17       ,70          ,81          ,84          ,
18       ,76          ,82          ,84          ,
19       ,80          ,84          ,84          ,
20       ,71          ,79          ,85          ,
21       ,71          ,72          ,83          ,
22       ,67          ,75          ,79          ,
23       ,73          ,79          ,81          ,
24       ,75          ,78          ,83          ,
25       ,59          ,75          ,81          ,
26       ,64          ,78          ,82          ,
27       ,70          ,80          ,83          ,
28       ,80          ,83          ,84          ,
29       ,79          ,83          ,84          ,
30       ,68          ,79          ,84          ,
31       ,57          ,75          ,83          ,
32       ,61          ,80          ,83          ,
33       ,68          ,80          ,84          ,
34       ,66          ,78          ,83          ,
35       ,57          ,78          ,82          ,
36       ,58          ,82          ,83          ,
37       ,55          ,78          ,82          ,
38       ,51          ,80          ,84          ,
39       ,68          ,72          ,86          ,
