GROWTH_DAY,HISTORY_TIME,TARGET_TEMP,HOUSE_TEMP_MIN,HOUSE_TEMP_AVG,HOUSE_TEMP_MAX,TEMP_1_AVG,TEMP_2_AVG,TEMP_3_AVG,TEMP_4_AVG,TEMP_5_AVG,TEMP_6_AVG,OUTSIDE_AVG,HUMIDITY_IN_1_AVG,HUMIDITY_OUT_AVG,WATER_CON,FEED_CON,LEVEL,
17        ,16:00       ,25.2       ,27.0          ,27.0          ,27.6          ,27.4      ,27.3      ,27.2      ,26.4      ,26.8      ,22.2      ,22.2       ,80.9             ,---             ,260      ,0       ,27   ,
17        ,17:00       ,25.2       ,26.8          ,26.9          ,27.3          ,27.2      ,27.0      ,27.0      ,26.4      ,26.9      ,21.5      ,21.5       ,80.9             ,---             ,230      ,1038    ,26   ,
17        ,18:00       ,25.2       ,26.7          ,26.8          ,27.2          ,27.2      ,26.9      ,26.9      ,26.2      ,26.6      ,20.4      ,20.4       ,82.9             ,---             ,420      ,0       ,26   ,
17        ,19:00       ,25.1       ,26.6          ,26.7          ,26.8          ,27.3      ,26.8      ,26.7      ,26.1      ,26.4      ,20.0      ,20.0       ,83.9             ,---             ,380      ,0       ,26   ,
17        ,20:00       ,25.1       ,26.3          ,26.4          ,26.7          ,26.9      ,26.5      ,26.5      ,25.8      ,26.2      ,19.5      ,19.5       ,83.9             ,---             ,370      ,0       ,25   ,
17        ,21:00       ,25.1       ,26.0          ,26.2          ,26.5          ,26.5      ,26.3      ,26.3      ,25.7      ,26.0      ,18.1      ,18.1       ,84.9             ,---             ,310      ,0       ,23   ,
17        ,22:00       ,25.1       ,25.6          ,25.7          ,26.4          ,26.2      ,25.8      ,25.8      ,25.1      ,25.5      ,18.1      ,18.1       ,85               ,---             ,300      ,833     ,24   ,
17        ,23:00       ,25.1       ,25.5          ,25.6          ,25.8          ,25.9      ,25.8      ,25.8      ,25.0      ,25.6      ,18.2      ,18.2       ,85               ,---             ,0        ,0       ,22   ,
17        ,00:00       ,25.1       ,25.3          ,25.4          ,25.8          ,25.8      ,25.5      ,25.4      ,24.8      ,25.3      ,18.1      ,18.1       ,85               ,---             ,0        ,0       ,24   ,
18        ,01:00       ,25.0       ,25.3          ,25.4          ,25.5          ,25.8      ,25.6      ,25.5      ,24.7      ,25.3      ,18.1      ,18.1       ,85               ,---             ,0        ,0       ,23   ,
18        ,02:00       ,25.0       ,24.7          ,24.7          ,25.4          ,25.0      ,24.8      ,24.9      ,24.3      ,24.7      ,17.4      ,17.4       ,85               ,---             ,0        ,0       ,23   ,
