GrowthDay,MinimumValue,AverageValue,MaximumValue,
-2       ,25.8        ,25.9        ,27.6        ,
-1       ,25.5        ,32.3        ,34.1        ,
0        ,31.9        ,33.0        ,33.3        ,
1        ,32.4        ,32.8        ,33.7        ,
2        ,31.7        ,32.4        ,33.4        ,
3        ,31.0        ,32.0        ,32.8        ,
4        ,30.5        ,31.2        ,32.3        ,
5        ,30.0        ,30.5        ,31.7        ,
6        ,29.7        ,30.0        ,31.3        ,
7        ,29.3        ,29.9        ,30.5        ,
8        ,28.9        ,29.0        ,30.3        ,
9        ,28.3        ,28.6        ,30.2        ,
10       ,28.0        ,28.3        ,29.7        ,
11       ,27.8        ,28.6        ,29.2        ,
12       ,27.7        ,27.9        ,30.0        ,
13       ,27.5        ,27.8        ,30.0        ,
14       ,27.5        ,27.7        ,29.5        ,
15       ,26.7        ,26.9        ,29.6        ,
16       ,26.6        ,26.8        ,29.6        ,
17       ,26.4        ,26.5        ,29.1        ,
18       ,25.7        ,27.3        ,28.2        ,
19       ,25.5        ,25.5        ,30.9        ,
20       ,24.0        ,24.4        ,26.1        ,
21       ,24.1        ,24.3        ,26.8        ,
22       ,24.2        ,24.6        ,25.4        ,
23       ,23.0        ,23.2        ,25.3        ,
24       ,22.2        ,22.4        ,26.0        ,
25       ,21.9        ,23.6        ,27.0        ,
26       ,23.1        ,23.4        ,28.4        ,
27       ,23.0        ,24.5        ,26.2        ,
28       ,22.7        ,22.9        ,25.8        ,
29       ,21.1        ,21.2        ,26.1        ,
30       ,20.5        ,21.3        ,27.0        ,
31       ,20.7        ,21.7        ,27.4        ,
32       ,21.6        ,23.3        ,28.0        ,
33       ,22.3        ,22.5        ,26.2        ,
34       ,20.5        ,20.9        ,27.4        ,
35       ,20.0        ,20.7        ,27.8        ,
36       ,15.3        ,15.4        ,21.4        ,
37       ,12.4        ,19.0        ,19.3        ,
38       ,18.9        ,22.8        ,22.8        ,
