GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,23.1        ,33.9        ,35.5        ,
0        ,28.3        ,33.7        ,35.0        ,
1        ,32.4        ,32.6        ,34.2        ,
2        ,31.7        ,32.3        ,33.3        ,
3        ,31.1        ,31.4        ,32.4        ,
4        ,30.5        ,31.0        ,31.8        ,
5        ,29.9        ,30.3        ,31.4        ,
6        ,29.1        ,29.7        ,31.0        ,
7        ,28.4        ,28.7        ,30.4        ,
8        ,28.0        ,28.5        ,30.1        ,
9        ,27.7        ,28.1        ,31.5        ,
10       ,27.2        ,28.1        ,30.2        ,
11       ,27.1        ,27.4        ,29.3        ,
12       ,26.5        ,26.8        ,29.3        ,
13       ,26.1        ,26.4        ,28.7        ,
14       ,25.9        ,26.0        ,28.2        ,
15       ,25.5        ,25.9        ,27.1        ,
16       ,24.4        ,24.5        ,29.4        ,
17       ,23.6        ,24.6        ,25.8        ,
18       ,23.5        ,23.8        ,25.5        ,
19       ,23.4        ,24.2        ,25.0        ,
20       ,23.0        ,24.1        ,25.0        ,
21       ,22.7        ,23.2        ,25.0        ,
22       ,22.4        ,22.7        ,25.2        ,
23       ,22.2        ,22.5        ,25.6        ,
24       ,22.3        ,22.8        ,23.8        ,
25       ,21.5        ,21.8        ,23.7        ,
26       ,20.9        ,21.0        ,23.3        ,
27       ,20.4        ,21.1        ,24.8        ,
28       ,20.1        ,20.3        ,24.3        ,
29       ,19.7        ,21.1        ,24.4        ,
30       ,20.2        ,20.5        ,23.0        ,
31       ,19.9        ,20.6        ,25.0        ,
32       ,19.6        ,20.7        ,25.8        ,
33       ,18.8        ,18.9        ,22.9        ,
34       ,17.9        ,18.5        ,21.8        ,
35       ,16.6        ,16.6        ,21.4        ,
36       ,16.5        ,17.3        ,21.2        ,
37       ,15.9        ,19.3        ,21.7        ,
38       ,16.4        ,16.4        ,22.3        ,
39       ,14.7        ,14.7        ,20.1        ,
40       ,13.3        ,17.1        ,23.5        ,
