GrowthDay,PerBird,FeederTotal,ChangeTotal,Feeder_1,ChangeFeeder_1,Feeder_2,ChangeFeeder_2,Feeder_3,ChangeFeeder_3,Feeder_4,ChangeFeeder_4,
-1       ,0.000  ,459        ,不详         ,459     ,不详            ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
0        ,0.000  ,0          ,-100       ,0       ,-100          ,0       ,0             ,0       ,0             ,0       ,0             ,
1        ,0.000  ,110        ,不详         ,110     ,不详            ,0       ,0             ,0       ,0             ,0       ,0             ,
2        ,0.000  ,238        ,116        ,238     ,116           ,0       ,0             ,0       ,0             ,0       ,0             ,
3        ,0.000  ,1018       ,327        ,1018    ,327           ,0       ,0             ,0       ,0             ,0       ,0             ,
4        ,0.000  ,339        ,-67        ,339     ,-67           ,0       ,0             ,0       ,0             ,0       ,0             ,
5        ,0.000  ,605        ,78         ,605     ,78            ,0       ,0             ,0       ,0             ,0       ,0             ,
6        ,0.000  ,853        ,40         ,853     ,40            ,0       ,0             ,0       ,0             ,0       ,0             ,
7        ,0.000  ,917        ,7          ,917     ,7             ,0       ,0             ,0       ,0             ,0       ,0             ,
8        ,0.000  ,1174       ,28         ,1174    ,28            ,0       ,0             ,0       ,0             ,0       ,0             ,
9        ,0.000  ,1192       ,1          ,1192    ,1             ,0       ,0             ,0       ,0             ,0       ,0             ,
10       ,0.000  ,1440       ,20         ,1440    ,20            ,0       ,0             ,0       ,0             ,0       ,0             ,
11       ,0.000  ,1578       ,9          ,1578    ,9             ,0       ,0             ,0       ,0             ,0       ,0             ,
12       ,0.000  ,1789       ,13         ,1789    ,13            ,0       ,0             ,0       ,0             ,0       ,0             ,
13       ,0.000  ,1926       ,7          ,1926    ,7             ,0       ,0             ,0       ,0             ,0       ,0             ,
14       ,0.000  ,2009       ,4          ,2009    ,4             ,0       ,0             ,0       ,0             ,0       ,0             ,
15       ,0.000  ,2587       ,28         ,2587    ,28            ,0       ,0             ,0       ,0             ,0       ,0             ,
16       ,0.000  ,3082       ,19         ,3082    ,19            ,0       ,0             ,0       ,0             ,0       ,0             ,
17       ,0.000  ,2550       ,-18        ,2550    ,-18           ,0       ,0             ,0       ,0             ,0       ,0             ,
18       ,0.000  ,2642       ,3          ,2642    ,3             ,0       ,0             ,0       ,0             ,0       ,0             ,
19       ,0.000  ,2779       ,5          ,2779    ,5             ,0       ,0             ,0       ,0             ,0       ,0             ,
20       ,0.000  ,3036       ,9          ,3036    ,9             ,0       ,0             ,0       ,0             ,0       ,0             ,
21       ,0.000  ,3036       ,0          ,3036    ,0             ,0       ,0             ,0       ,0             ,0       ,0             ,
22       ,0.000  ,3256       ,7          ,3256    ,7             ,0       ,0             ,0       ,0             ,0       ,0             ,
23       ,0.000  ,3348       ,2          ,3348    ,2             ,0       ,0             ,0       ,0             ,0       ,0             ,
24       ,0.000  ,3724       ,11         ,3724    ,11            ,0       ,0             ,0       ,0             ,0       ,0             ,
25       ,0.000  ,3706       ,不详         ,3706    ,不详            ,0       ,0             ,0       ,0             ,0       ,0             ,
26       ,0.000  ,3807       ,2          ,3807    ,2             ,0       ,0             ,0       ,0             ,0       ,0             ,
27       ,0.000  ,3926       ,3          ,3926    ,3             ,0       ,0             ,0       ,0             ,0       ,0             ,
28       ,0.000  ,4045       ,3          ,4045    ,3             ,0       ,0             ,0       ,0             ,0       ,0             ,
29       ,0.000  ,4266       ,5          ,4266    ,5             ,0       ,0             ,0       ,0             ,0       ,0             ,
30       ,0.000  ,4064       ,-5         ,4064    ,-5            ,0       ,0             ,0       ,0             ,0       ,0             ,
31       ,0.000  ,4256       ,4          ,4256    ,4             ,0       ,0             ,0       ,0             ,0       ,0             ,
32       ,0.000  ,3999       ,-7         ,3999    ,-7            ,0       ,0             ,0       ,0             ,0       ,0             ,
33       ,0.000  ,4311       ,7          ,4311    ,7             ,0       ,0             ,0       ,0             ,0       ,0             ,
34       ,0.000  ,3688       ,-15        ,3688    ,-15           ,0       ,0             ,0       ,0             ,0       ,0             ,
35       ,0.000  ,3174       ,-14        ,3174    ,-14           ,0       ,0             ,0       ,0             ,0       ,0             ,
36       ,0.000  ,3366       ,6          ,3366    ,6             ,0       ,0             ,0       ,0             ,0       ,0             ,
37       ,0.000  ,1248       ,-63        ,1248    ,-63           ,0       ,0             ,0       ,0             ,0       ,0             ,
38       ,0.000  ,1890       ,51         ,1890    ,51            ,0       ,0             ,0       ,0             ,0       ,0             ,
