GROWTH_DAY,HISTORY_TIME,TARGET_TEMP,HOUSE_TEMP_MIN,HOUSE_TEMP_AVG,HOUSE_TEMP_MAX,TEMP_1_AVG,TEMP_2_AVG,TEMP_3_AVG,TEMP_4_AVG,TEMP_5_AVG,TEMP_6_AVG,ATTIC_MIN,ATTIC_AVG,ATTIC_MAX,OUTSIDE_MIN,OUTSIDE_AVG,OUTSIDE_MAX,HUMIDITY_IN_1_MIN,HUMIDITY_IN_1_AVG,HUMIDITY_IN_1_MAX,WATER_CON,FEED_CON,LEVEL,
-1        ,09:00       ,34.8       ,21.4          ,34.4          ,34.8          ,34.2      ,33.8      ,34.4      ,34.4      ,34.7      ,34.7      ,---      ,---      ,---      ,17.7       ,18.9       ,18.9       ,50               ,50.8             ,66               ,0        ,459     ,1    ,
-1        ,10:00       ,34.8       ,33.7          ,34.0          ,34.9          ,34.0      ,33.6      ,34.0      ,34.1      ,34.1      ,34.2      ,---      ,---      ,---      ,18.9       ,19.8       ,19.9       ,46               ,46.7             ,51               ,0        ,0       ,1    ,
-1        ,11:00       ,34.8       ,33.8          ,34.5          ,34.8          ,34.0      ,33.9      ,34.7      ,34.7      ,34.8      ,34.5      ,---      ,---      ,---      ,19.9       ,22.9       ,23.2       ,44               ,44.1             ,47               ,0        ,0       ,1    ,
-1        ,12:00       ,34.8       ,33.9          ,34.2          ,34.9          ,34.3      ,33.8      ,34.3      ,34.2      ,34.3      ,34.3      ,---      ,---      ,---      ,22.5       ,23.1       ,23.3       ,43               ,43               ,45               ,0        ,0       ,1    ,
-1        ,13:00       ,34.7       ,33.8          ,34.7          ,34.9          ,34.6      ,34.5      ,34.9      ,34.7      ,34.8      ,34.4      ,---      ,---      ,---      ,22.8       ,23.4       ,23.9       ,43               ,43               ,45               ,0        ,0       ,1    ,
-1        ,14:00       ,34.7       ,33.8          ,36.8          ,40.0          ,36.5      ,36.7      ,37.1      ,37.0      ,37.0      ,36.1      ,---      ,---      ,---      ,22.8       ,23.5       ,23.9       ,38               ,38               ,44               ,0        ,0       ,5    ,
-1        ,15:00       ,34.7       ,34.0          ,34.7          ,36.6          ,34.4      ,34.8      ,35.0      ,34.9      ,34.8      ,34.2      ,---      ,---      ,---      ,23.1       ,23.2       ,24.0       ,38               ,41               ,42               ,0        ,0       ,1    ,
-1        ,16:00       ,34.7       ,33.9          ,34.1          ,35.2          ,34.2      ,33.9      ,34.1      ,34.1      ,34.1      ,34.2      ,---      ,---      ,---      ,22.5       ,22.7       ,23.5       ,40               ,40               ,42               ,0        ,0       ,1    ,
-1        ,17:00       ,34.6       ,33.9          ,34.2          ,34.6          ,34.8      ,33.9      ,34.4      ,33.9      ,34.0      ,34.3      ,---      ,---      ,---      ,20.9       ,21.0       ,22.8       ,40               ,41.9             ,42               ,0        ,0       ,1    ,
-1        ,18:00       ,34.6       ,33.8          ,34.8          ,35.0          ,34.6      ,34.9      ,35.2      ,35.1      ,35.0      ,34.2      ,---      ,---      ,---      ,18.5       ,18.5       ,20.9       ,42               ,44               ,45               ,0        ,0       ,2    ,
-1        ,19:00       ,34.6       ,33.8          ,34.5          ,34.8          ,34.0      ,34.4      ,34.8      ,34.9      ,34.8      ,34.2      ,---      ,---      ,---      ,17.5       ,17.5       ,18.5       ,44               ,45.9             ,46               ,0        ,0       ,1    ,
-1        ,20:00       ,34.6       ,33.7          ,34.4          ,34.9          ,34.2      ,34.4      ,34.8      ,34.6      ,34.6      ,33.9      ,---      ,---      ,---      ,16.9       ,16.9       ,17.5       ,46               ,46.8             ,47               ,0        ,0       ,1    ,
-1        ,21:00       ,34.6       ,33.6          ,34.2          ,35.0          ,33.8      ,34.1      ,34.3      ,34.4      ,34.5      ,34.0      ,---      ,---      ,---      ,16.6       ,16.7       ,17.0       ,46               ,46               ,47               ,0        ,0       ,1    ,
-1        ,22:00       ,34.5       ,33.6          ,33.7          ,34.8          ,34.0      ,33.7      ,33.7      ,33.6      ,33.7      ,33.5      ,---      ,---      ,---      ,16.4       ,16.5       ,16.8       ,46               ,47               ,48               ,0        ,0       ,1    ,
-1        ,23:00       ,34.5       ,33.7          ,34.6          ,34.9          ,34.6      ,34.8      ,35.2      ,34.5      ,34.5      ,33.8      ,---      ,---      ,---      ,15.9       ,16.2       ,16.5       ,47               ,47.9             ,48               ,0        ,0       ,1    ,
0         ,00:00       ,34.5       ,33.6          ,34.3          ,34.8          ,33.8      ,34.1      ,34.4      ,34.5      ,34.6      ,34.1      ,---      ,---      ,---      ,15.9       ,15.9       ,16.5       ,47               ,47               ,48               ,0        ,0       ,1    ,
0         ,01:00       ,34.5       ,33.6          ,34.1          ,34.6          ,34.0      ,34.5      ,34.3      ,34.5      ,34.1      ,33.4      ,---      ,---      ,---      ,15.1       ,15.1       ,15.9       ,47               ,48.5             ,49               ,0        ,0       ,1    ,
0         ,02:00       ,34.5       ,33.5          ,34.0          ,34.7          ,33.8      ,33.9      ,34.2      ,34.2      ,34.3      ,33.9      ,---      ,---      ,---      ,14.0       ,14.0       ,15.2       ,48               ,49               ,50               ,0        ,0       ,1    ,
0         ,03:00       ,34.4       ,33.5          ,34.5          ,34.6          ,34.2      ,34.4      ,34.9      ,34.6      ,34.7      ,34.0      ,---      ,---      ,---      ,13.8       ,13.8       ,14.1       ,49               ,50               ,51               ,0        ,0       ,1    ,
0         ,04:00       ,34.4       ,33.6          ,33.6          ,34.7          ,34.1      ,33.6      ,33.5      ,33.4      ,33.6      ,33.4      ,---      ,---      ,---      ,13.4       ,13.6       ,13.8       ,50               ,50               ,51               ,0        ,0       ,1    ,
0         ,05:00       ,34.4       ,33.5          ,34.3          ,34.7          ,34.0      ,34.1      ,34.5      ,34.5      ,34.5      ,34.0      ,---      ,---      ,---      ,13.0       ,13.3       ,13.7       ,50               ,50.8             ,52               ,0        ,0       ,1    ,
