GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,38          ,47          ,66          ,
0        ,47          ,59          ,59          ,
1        ,58          ,71          ,73          ,
2        ,69          ,77          ,77          ,
3        ,69          ,76          ,81          ,
4        ,63          ,76          ,81          ,
5        ,49          ,78          ,79          ,
6        ,56          ,80          ,81          ,
7        ,55          ,81          ,83          ,
8        ,59          ,80          ,85          ,
9        ,77          ,84          ,85          ,
10       ,66          ,83          ,86          ,
11       ,66          ,83          ,85          ,
12       ,74          ,83          ,85          ,
13       ,79          ,85          ,87          ,
14       ,70          ,82          ,88          ,
15       ,74          ,76          ,84          ,
16       ,67          ,80          ,84          ,
17       ,74          ,81          ,84          ,
18       ,77          ,80          ,86          ,
19       ,59          ,80          ,85          ,
20       ,61          ,79          ,85          ,
21       ,67          ,81          ,83          ,
22       ,80          ,85          ,87          ,
23       ,79          ,82          ,87          ,
24       ,67          ,78          ,85          ,
25       ,55          ,70          ,83          ,
26       ,60          ,78          ,81          ,
27       ,66          ,80          ,84          ,
28       ,64          ,79          ,84          ,
29       ,56          ,75          ,81          ,
30       ,55          ,76          ,81          ,
31       ,55          ,70          ,81          ,
32       ,52          ,70          ,75          ,
33       ,49          ,76          ,81          ,
34       ,55          ,79          ,82          ,
35       ,61          ,82          ,85          ,
36       ,81          ,86          ,87          ,
37       ,72          ,85          ,89          ,
38       ,不详          ,不详          ,不详          ,
