GrowthDay,MinimumValue,AverageValue,MaximumValue,
-2       ,58          ,69          ,69          ,
-1       ,40          ,51          ,71          ,
0        ,48          ,61          ,63          ,
1        ,60          ,75          ,76          ,
2        ,71          ,75          ,79          ,
3        ,72          ,79          ,82          ,
4        ,63          ,80          ,82          ,
5        ,54          ,82          ,82          ,
6        ,60          ,80          ,83          ,
7        ,59          ,81          ,83          ,
8        ,63          ,79          ,83          ,
9        ,77          ,85          ,86          ,
10       ,69          ,84          ,86          ,
11       ,71          ,84          ,87          ,
12       ,78          ,86          ,87          ,
13       ,83          ,87          ,87          ,
14       ,74          ,83          ,89          ,
15       ,76          ,78          ,86          ,
16       ,70          ,81          ,85          ,
17       ,77          ,83          ,87          ,
18       ,79          ,80          ,86          ,
19       ,63          ,79          ,87          ,
20       ,65          ,79          ,87          ,
21       ,72          ,83          ,86          ,
22       ,82          ,86          ,88          ,
23       ,82          ,84          ,88          ,
24       ,72          ,79          ,87          ,
25       ,60          ,77          ,85          ,
26       ,66          ,82          ,84          ,
27       ,72          ,83          ,85          ,
28       ,69          ,81          ,86          ,
29       ,60          ,79          ,83          ,
30       ,60          ,81          ,83          ,
31       ,59          ,75          ,83          ,
32       ,56          ,71          ,79          ,
33       ,54          ,79          ,82          ,
34       ,59          ,81          ,82          ,
35       ,65          ,85          ,85          ,
36       ,84          ,88          ,89          ,
37       ,74          ,87          ,92          ,
38       ,不详          ,不详          ,不详          ,
