GROWTH_DAY,HISTORY_TIME,TARGET_TEMP,HOUSE_TEMP_MIN,HOUSE_TEMP_AVG,HOUSE_TEMP_MAX,TEMP_1_AVG,TEMP_2_AVG,TEMP_3_AVG,TEMP_4_AVG,TEMP_5_AVG,TEMP_6_AVG,OUTSIDE_AVG,HUMIDITY_IN_1_AVG,HUMIDITY_OUT_AVG,WATER_CON,FEED_CON,LEVEL,
18        ,00:00       ,24.5       ,24.2          ,24.4          ,25.1          ,24.1      ,24.4      ,24.0      ,25.2      ,24.6      ,23.9      ,13.7       ,82.2             ,---             ,0        ,0       ,9    ,
18        ,01:00       ,24.5       ,24.2          ,24.4          ,25.3          ,24.1      ,24.4      ,24.1      ,25.0      ,24.7      ,24.0      ,13.8       ,83.1             ,---             ,0        ,0       ,10   ,
18        ,02:00       ,24.4       ,24.2          ,24.3          ,25.1          ,24.1      ,24.2      ,23.9      ,24.9      ,24.6      ,24.0      ,13.9       ,82.2             ,---             ,0        ,0       ,10   ,
18        ,03:00       ,24.4       ,23.9          ,24.2          ,25.9          ,24.3      ,23.9      ,23.8      ,24.8      ,24.3      ,24.0      ,14.0       ,83.1             ,---             ,460      ,0       ,15   ,
18        ,04:00       ,24.4       ,24.0          ,24.2          ,25.0          ,23.9      ,23.8      ,23.7      ,24.9      ,24.4      ,24.1      ,13.9       ,83.2             ,---             ,280      ,0       ,11   ,
18        ,05:00       ,24.4       ,24.0          ,24.7          ,25.1          ,24.2      ,24.5      ,24.3      ,25.3      ,25.1      ,24.5      ,13.9       ,83.8             ,---             ,260      ,0       ,14   ,
18        ,06:00       ,24.4       ,23.9          ,24.6          ,25.1          ,24.5      ,24.9      ,24.1      ,25.2      ,24.6      ,24.2      ,13.1       ,83.8             ,---             ,240      ,0       ,11   ,
18        ,07:00       ,24.4       ,24.0          ,24.5          ,25.3          ,24.5      ,24.4      ,24.4      ,25.4      ,24.7      ,23.8      ,13.1       ,85.4             ,---             ,340      ,670     ,14   ,
18        ,08:00       ,24.4       ,23.8          ,24.4          ,26.5          ,23.8      ,24.4      ,24.2      ,25.2      ,24.7      ,24.1      ,13.5       ,85.2             ,---             ,220      ,0       ,10   ,
18        ,09:00       ,24.3       ,24.1          ,24.3          ,24.9          ,24.3      ,24.2      ,24.1      ,24.9      ,24.2      ,23.9      ,14.3       ,85.6             ,---             ,260      ,0       ,10   ,
