Message,GrowthDay,Time,
管理员登陆  ,28       ,10:54:12,
更改开关   ,28       ,10:54:12,
系统锁定   ,28       ,10:59:12,
报警测试   ,28       ,11:20:00,
报警测试   ,29       ,11:20:00,
管理员登陆  ,29       ,12:45:29,
更改开关   ,29       ,12:46:06,
系统锁定   ,29       ,12:54:28,
管理员登陆  ,29       ,13:03:15,
更改开关   ,29       ,13:03:15,
更改开关   ,29       ,13:03:18,
更改开关   ,29       ,13:03:19,
更改开关   ,29       ,13:03:21,
更改开关   ,29       ,13:03:22,
更改开关   ,29       ,13:03:24,
系统锁定   ,29       ,13:08:24,
报警测试   ,30       ,11:20:00,
报警测试   ,31       ,11:20:00,
管理员登陆  ,31       ,23:54:07,
更改开关   ,31       ,23:54:11,
更改开关   ,31       ,23:55:07,
更改开关   ,31       ,23:55:08,
系统锁定   ,32       ,00:00:08,
备用设置提醒 ,32       ,01:40:24,
报警测试   ,32       ,11:20:00,
报警测试   ,33       ,11:20:00,
报警测试   ,34       ,11:20:00,
报警测试   ,35       ,11:20:00,
报警测试   ,36       ,11:20:00,
备用设置提醒 ,37       ,07:40:25,
报警测试   ,37       ,11:20:00,
管理员登陆  ,38       ,04:57:10,
空鸡舍模式  ,38       ,04:57:14,
更改开关   ,38       ,04:57:22,
更改开关   ,38       ,04:57:26,
更改开关   ,38       ,04:58:19,
更改开关   ,38       ,04:58:23,
更改开关   ,38       ,04:58:28,
更改开关   ,38       ,04:59:11,
系统锁定   ,38       ,05:04:11,
报警测试   ,38       ,11:20:00,
报警测试   ,39       ,11:20:00,
电源关闭   ,40       ,06:29:22,
电源开启   ,40       ,11:14:12,
报警测试   ,41       ,11:20:00,
报警测试   ,42       ,11:20:00,
报警测试   ,43       ,11:20:00,
报警测试   ,44       ,11:20:00,
管理员登陆  ,45       ,09:36:06,
更改开关   ,45       ,09:36:06,
更改开关   ,45       ,09:36:11,
更改开关   ,45       ,09:37:26,
系统锁定   ,45       ,09:42:26,
报警测试   ,45       ,11:20:00,
管理员登陆  ,46       ,07:51:13,
更改开关   ,46       ,07:51:13,
系统锁定   ,46       ,08:00:02,
报警测试   ,46       ,11:20:00,
报警测试   ,47       ,11:20:00,
报警测试   ,48       ,11:20:00,
报警测试   ,49       ,11:20:00,
报警测试   ,50       ,11:20:00,
管理员登陆  ,51       ,07:36:14,
更改开关   ,51       ,07:36:14,
更改开关   ,51       ,07:36:16,
系统锁定   ,51       ,07:41:16,
系统锁定   ,51       ,07:46:28,
管理员登陆  ,51       ,09:17:17,
更改开关   ,51       ,09:17:17,
系统锁定   ,51       ,09:27:07,
报警测试   ,51       ,11:20:00,
新的鸡群   ,-1       ,10:31:17,
更改的日龄  ,-1       ,10:31:17,
管理员登陆  ,-1       ,11:02:23,
更改开关   ,-1       ,11:02:23,
更改开关   ,-1       ,11:03:04,
系统锁定   ,-1       ,11:08:04,
报警测试   ,-1       ,11:20:00,
报警测试   ,0        ,11:20:00,
管理员登陆  ,0        ,11:29:16,
更改开关   ,0        ,11:29:16,
更改开关   ,0        ,11:30:21,
系统锁定   ,0        ,11:35:21,
管理员登陆  ,0        ,12:02:03,
更改开关   ,0        ,12:02:06,
普通鸡舍模式 ,0        ,12:02:13,
备用设置提醒 ,0        ,12:02:14,
系统锁定   ,0        ,12:07:29,
电源关闭   ,0        ,14:45:05,
电源开启   ,0        ,14:45:06,
电源关闭   ,0        ,14:45:06,
电源开启   ,0        ,14:46:01,
电源关闭   ,0        ,17:32:14,
电源开启   ,0        ,17:32:25,
报警测试   ,1        ,11:20:00,
报警测试   ,2        ,11:20:00,
备用设置提醒 ,2        ,15:43:17,
报警测试   ,3        ,11:20:00,
报警测试   ,4        ,11:20:00,
备用设置提醒 ,4        ,12:59:00,
重置报警   ,5        ,01:38:18,
报警测试   ,5        ,11:20:00,
备用设置提醒 ,6        ,10:14:13,
报警测试   ,6        ,11:20:00,
报警测试   ,7        ,11:20:00,
报警测试   ,8        ,11:20:00,
报警测试   ,9        ,11:20:00,
备用设置提醒 ,9        ,16:18:16,
报警测试   ,10       ,11:20:00,
管理员登陆  ,10       ,15:07:12,
系统锁定   ,10       ,15:13:03,
报警测试   ,11       ,11:20:00,
报警测试   ,12       ,11:20:00,
备用设置提醒 ,13       ,08:44:09,
