GrowthDay,PerBird,TotalDrinkDaily,TotalDrinkChange,Water_1Daily,Water_1Change,Water_2Daily,Water_2Change,Water_3Daily,Water_3Change,Water_4Daily,Water_4Change,Water_5Daily,Water_5Change,Water_6Daily,Water_6Change,Water_7Daily,Water_7Change,Water_8Daily,Water_8Change,Water_9Daily,Water_9Change,Water_10Daily,Water_10Change,Water_11Daily,Water_11Change,Water_12Daily,Water_12Change,Water_13Daily,Water_13Change,Water_14Daily,Water_14Change,Water_15Daily,Water_15Change,Water_16Daily,Water_16Change,Water_17Daily,Water_17Change,Water_18Daily,Water_18Change,Water_19Daily,Water_19Change,Water_20Daily,Water_20Change,TotalWater,Coolpad,Fogger,Flushing,
-2       ,0.00   ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0         ,0      ,0     ,0       ,
-1       ,0.00   ,0              ,0               ,0           ,0            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0         ,0      ,0     ,0       ,
0        ,0.00   ,220            ,0               ,220         ,0            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,220       ,0      ,0     ,0       ,
1        ,0.00   ,330            ,50              ,330         ,50           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,330       ,0      ,0     ,0       ,
2        ,0.00   ,620            ,87              ,620         ,87           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,620       ,0      ,0     ,0       ,
3        ,0.00   ,700            ,12              ,700         ,12           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,700       ,0      ,0     ,0       ,
4        ,0.00   ,1060           ,51              ,1060        ,51           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,1060      ,0      ,0     ,0       ,
5        ,0.00   ,1400           ,32              ,1400        ,32           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,1400      ,0      ,0     ,0       ,
6        ,0.00   ,1650           ,17              ,1650        ,17           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,1650      ,0      ,0     ,0       ,
7        ,0.00   ,1950           ,18              ,1950        ,18           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,1950      ,0      ,0     ,0       ,
