GrowthDay,PerBird,FeederTotal,ChangeTotal,Feeder_1,ChangeFeeder_1,Feeder_2,ChangeFeeder_2,Feeder_3,ChangeFeeder_3,Feeder_4,ChangeFeeder_4,
-1       ,0.000  ,1076       ,不详         ,1076    ,不详            ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
0        ,0.000  ,0          ,-100       ,0       ,-100          ,0       ,0             ,0       ,0             ,0       ,0             ,
1        ,0.000  ,165        ,不详         ,165     ,不详            ,0       ,0             ,0       ,0             ,0       ,0             ,
2        ,0.000  ,426        ,158        ,426     ,158           ,0       ,0             ,0       ,0             ,0       ,0             ,
3        ,0.000  ,702        ,64         ,702     ,64            ,0       ,0             ,0       ,0             ,0       ,0             ,
4        ,0.000  ,312        ,-56        ,312     ,-56           ,0       ,0             ,0       ,0             ,0       ,0             ,
5        ,0.000  ,603        ,93         ,603     ,93            ,0       ,0             ,0       ,0             ,0       ,0             ,
6        ,0.000  ,929        ,53         ,929     ,53            ,0       ,0             ,0       ,0             ,0       ,0             ,
7        ,0.000  ,931        ,0          ,931     ,0             ,0       ,0             ,0       ,0             ,0       ,0             ,
8        ,0.000  ,1144       ,22         ,1144    ,22            ,0       ,0             ,0       ,0             ,0       ,0             ,
9        ,0.000  ,1454       ,27         ,1454    ,27            ,0       ,0             ,0       ,0             ,0       ,0             ,
10       ,0.000  ,1493       ,2          ,1493    ,2             ,0       ,0             ,0       ,0             ,0       ,0             ,
11       ,0.000  ,1761       ,17         ,1761    ,17            ,0       ,0             ,0       ,0             ,0       ,0             ,
12       ,0.000  ,1823       ,3          ,1823    ,3             ,0       ,0             ,0       ,0             ,0       ,0             ,
13       ,0.000  ,1995       ,9          ,1995    ,9             ,0       ,0             ,0       ,0             ,0       ,0             ,
14       ,0.000  ,2137       ,7          ,2137    ,7             ,0       ,0             ,0       ,0             ,0       ,0             ,
15       ,0.000  ,2718       ,27         ,2718    ,27            ,0       ,0             ,0       ,0             ,0       ,0             ,
16       ,0.000  ,3011       ,10         ,3011    ,10            ,0       ,0             ,0       ,0             ,0       ,0             ,
17       ,0.000  ,2825       ,-7         ,2825    ,-7            ,0       ,0             ,0       ,0             ,0       ,0             ,
18       ,0.000  ,3871       ,37         ,3871    ,37            ,0       ,0             ,0       ,0             ,0       ,0             ,
19       ,0.000  ,3456       ,-11        ,3456    ,-11           ,0       ,0             ,0       ,0             ,0       ,0             ,
20       ,0.000  ,3080       ,-11        ,3080    ,-11           ,0       ,0             ,0       ,0             ,0       ,0             ,
21       ,0.000  ,3341       ,8          ,3341    ,8             ,0       ,0             ,0       ,0             ,0       ,0             ,
22       ,0.000  ,3376       ,0          ,3376    ,0             ,0       ,0             ,0       ,0             ,0       ,0             ,
23       ,0.000  ,3357       ,不详         ,3357    ,不详            ,0       ,0             ,0       ,0             ,0       ,0             ,
24       ,0.000  ,3550       ,5          ,3550    ,5             ,0       ,0             ,0       ,0             ,0       ,0             ,
25       ,0.000  ,4006       ,6          ,4006    ,6             ,0       ,0             ,0       ,0             ,0       ,0             ,
26       ,0.000  ,3988       ,不详         ,3988    ,不详            ,0       ,0             ,0       ,0             ,0       ,0             ,
27       ,0.000  ,4107       ,2          ,4107    ,2             ,0       ,0             ,0       ,0             ,0       ,0             ,
28       ,0.000  ,4291       ,4          ,4291    ,4             ,0       ,0             ,0       ,0             ,0       ,0             ,
29       ,0.000  ,3802       ,-12        ,3802    ,-12           ,0       ,0             ,0       ,0             ,0       ,0             ,
30       ,0.000  ,3784       ,不详         ,3784    ,不详            ,0       ,0             ,0       ,0             ,0       ,0             ,
31       ,0.000  ,4811       ,27         ,4811    ,27            ,0       ,0             ,0       ,0             ,0       ,0             ,
32       ,0.000  ,4392       ,-9         ,4392    ,-9            ,0       ,0             ,0       ,0             ,0       ,0             ,
33       ,0.000  ,4006       ,-9         ,4006    ,-9            ,0       ,0             ,0       ,0             ,0       ,0             ,
34       ,0.000  ,3296       ,-18        ,3296    ,-18           ,0       ,0             ,0       ,0             ,0       ,0             ,
35       ,0.000  ,2830       ,-15        ,2830    ,-15           ,0       ,0             ,0       ,0             ,0       ,0             ,
36       ,0.000  ,865        ,-70        ,865     ,-70           ,0       ,0             ,0       ,0             ,0       ,0             ,
37       ,0.000  ,0          ,-100       ,0       ,-100          ,0       ,0             ,0       ,0             ,0       ,0             ,
38       ,0.000  ,0          ,0          ,0       ,0             ,0       ,0             ,0       ,0             ,0       ,0             ,
