GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,20.9        ,33.6        ,43.5        ,
0        ,33.0        ,33.6        ,34.8        ,
1        ,32.7        ,33.4        ,34.3        ,
2        ,31.9        ,32.2        ,34.0        ,
3        ,31.2        ,31.9        ,33.0        ,
4        ,30.4        ,30.6        ,32.5        ,
5        ,29.7        ,29.9        ,31.4        ,
6        ,28.7        ,29.3        ,30.5        ,
7        ,28.4        ,28.9        ,31.2        ,
8        ,28.0        ,28.5        ,30.0        ,
9        ,27.9        ,28.3        ,29.4        ,
10       ,27.3        ,27.6        ,29.8        ,
11       ,26.8        ,26.8        ,29.2        ,
12       ,26.5        ,26.8        ,28.1        ,
13       ,26.3        ,26.6        ,27.6        ,
14       ,25.6        ,25.7        ,29.9        ,
15       ,24.5        ,25.1        ,26.7        ,
16       ,24.4        ,25.4        ,26.2        ,
17       ,24.2        ,25.2        ,26.4        ,
18       ,23.7        ,24.2        ,26.2        ,
19       ,23.3        ,23.9        ,26.1        ,
20       ,23.2        ,24.0        ,25.7        ,
21       ,22.9        ,23.0        ,25.4        ,
22       ,22.8        ,22.8        ,24.9        ,
23       ,22.1        ,22.2        ,23.9        ,
24       ,21.7        ,22.0        ,23.5        ,
25       ,21.2        ,21.4        ,24.3        ,
26       ,20.8        ,21.6        ,24.3        ,
27       ,20.6        ,21.6        ,24.5        ,
28       ,21.0        ,21.1        ,23.8        ,
29       ,20.5        ,20.5        ,25.2        ,
30       ,19.8        ,20.9        ,25.5        ,
31       ,19.2        ,19.4        ,22.9        ,
32       ,17.7        ,18.7        ,21.9        ,
33       ,17.7        ,18.3        ,21.2        ,
34       ,17.3        ,18.4        ,21.0        ,
35       ,17.2        ,20.0        ,21.0        ,
36       ,18.0        ,19.0        ,21.2        ,
37       ,16.1        ,21.5        ,22.6        ,
38       ,13.4        ,17.0        ,22.2        ,
