GROWTH_DAY,HISTORY_TIME,TARGET_TEMP,HOUSE_TEMP_MIN,HOUSE_TEMP_AVG,HOUSE_TEMP_MAX,TEMP_1_AVG,TEMP_2_AVG,TEMP_3_AVG,TEMP_4_AVG,TEMP_5_AVG,TEMP_6_AVG,ATTIC_MIN,ATTIC_AVG,ATTIC_MAX,OUTSIDE_MIN,OUTSIDE_AVG,OUTSIDE_MAX,HUMIDITY_IN_1_MIN,HUMIDITY_IN_1_AVG,HUMIDITY_IN_1_MAX,WATER_CON,FEED_CON,LEVEL,
-1        ,09:00       ,34.8       ,21.7          ,26.9          ,27.5          ,25.7      ,26.5      ,27.0      ,27.8      ,26.1      ,28.8      ,---      ,---      ,---      ,17.9       ,20.1       ,20.2       ,81               ,81.9             ,83               ,0        ,0       ,1    ,
-1        ,10:00       ,34.8       ,27.6          ,34.4          ,35.1          ,34.3      ,34.1      ,34.4      ,34.8      ,34.6      ,34.4      ,---      ,---      ,---      ,19.9       ,21.6       ,21.8       ,65               ,65               ,82               ,0        ,0       ,1    ,
-1        ,11:00       ,34.8       ,33.9          ,34.2          ,35.1          ,34.5      ,34.2      ,34.2      ,34.0      ,34.0      ,34.3      ,---      ,---      ,---      ,21.2       ,22.4       ,22.7       ,63               ,63.2             ,67               ,0        ,0       ,1    ,
-1        ,12:00       ,34.8       ,34.0          ,34.3          ,34.8          ,33.9      ,33.6      ,34.2      ,34.6      ,34.5      ,35.0      ,---      ,---      ,---      ,21.9       ,22.8       ,23.1       ,62               ,62.3             ,65               ,0        ,0       ,1    ,
-1        ,13:00       ,34.7       ,34.1          ,35.6          ,39.5          ,35.5      ,35.8      ,36.0      ,35.9      ,35.8      ,34.3      ,---      ,---      ,---      ,22.1       ,22.5       ,23.5       ,57               ,57               ,62               ,0        ,0       ,5    ,
-1        ,14:00       ,34.7       ,34.0          ,34.5          ,35.5          ,34.1      ,34.6      ,34.8      ,34.7      ,34.7      ,34.2      ,---      ,---      ,---      ,22.0       ,22.6       ,23.4       ,57               ,59               ,61               ,0        ,0       ,1    ,
-1        ,15:00       ,34.7       ,33.9          ,34.8          ,34.8          ,34.1      ,34.5      ,35.2      ,35.4      ,35.0      ,34.4      ,---      ,---      ,---      ,22.3       ,22.8       ,23.5       ,59               ,59.9             ,61               ,0        ,0       ,1    ,
-1        ,16:00       ,34.7       ,33.9          ,34.2          ,35.1          ,34.1      ,34.0      ,34.3      ,34.4      ,34.6      ,33.9      ,---      ,---      ,---      ,22.1       ,22.3       ,23.3       ,58               ,59               ,61               ,0        ,0       ,1    ,
-1        ,17:00       ,34.6       ,33.9          ,34.4          ,34.5          ,34.5      ,34.6      ,34.7      ,34.3      ,34.0      ,34.2      ,---      ,---      ,---      ,20.1       ,20.2       ,22.3       ,58               ,60.2             ,61               ,0        ,0       ,1    ,
-1        ,18:00       ,34.6       ,33.9          ,33.9          ,34.8          ,34.0      ,33.9      ,33.9      ,33.8      ,34.0      ,33.9      ,---      ,---      ,---      ,17.7       ,17.7       ,20.1       ,60               ,62.1             ,63               ,0        ,0       ,1    ,
-1        ,19:00       ,34.6       ,33.7          ,33.7          ,34.9          ,33.7      ,33.8      ,33.9      ,33.7      ,33.7      ,33.7      ,---      ,---      ,---      ,16.5       ,16.8       ,17.9       ,62               ,63.7             ,64               ,0        ,0       ,1    ,
-1        ,20:00       ,34.6       ,33.6          ,34.5          ,35.0          ,34.5      ,34.4      ,34.9      ,34.7      ,34.4      ,34.2      ,---      ,---      ,---      ,15.1       ,15.1       ,16.8       ,63               ,64               ,65               ,0        ,0       ,1    ,
-1        ,21:00       ,34.6       ,33.7          ,34.1          ,34.8          ,33.8      ,34.0      ,34.4      ,34.3      ,34.2      ,33.7      ,---      ,---      ,---      ,13.7       ,14.3       ,15.1       ,64               ,65               ,66               ,0        ,0       ,1    ,
-1        ,22:00       ,34.5       ,33.8          ,34.0          ,35.0          ,33.8      ,33.8      ,34.1      ,34.2      ,34.2      ,33.8      ,---      ,---      ,---      ,13.6       ,13.6       ,14.5       ,64               ,65               ,66               ,0        ,0       ,1    ,
-1        ,23:00       ,34.5       ,33.7          ,33.9          ,34.6          ,34.2      ,33.9      ,33.9      ,33.8      ,33.7      ,33.9      ,---      ,---      ,---      ,12.9       ,14.4       ,14.5       ,65               ,66               ,67               ,0        ,0       ,1    ,
0         ,00:00       ,34.5       ,33.7          ,34.8          ,34.9          ,34.6      ,34.5      ,35.1      ,35.2      ,34.7      ,34.5      ,---      ,---      ,---      ,14.5       ,15.2       ,15.8       ,65               ,65.5             ,67               ,0        ,0       ,2    ,
0         ,01:00       ,34.5       ,33.6          ,33.7          ,34.8          ,33.6      ,33.7      ,33.7      ,33.6      ,33.6      ,34.1      ,---      ,---      ,---      ,13.9       ,14.1       ,15.3       ,65               ,66               ,67               ,0        ,0       ,1    ,
