GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,不详          ,不详          ,不详          ,
0        ,不详          ,不详          ,不详          ,
1        ,不详          ,不详          ,不详          ,
2        ,不详          ,不详          ,不详          ,
3        ,不详          ,不详          ,不详          ,
4        ,不详          ,不详          ,不详          ,
5        ,不详          ,不详          ,不详          ,
6        ,不详          ,不详          ,不详          ,
7        ,不详          ,不详          ,不详          ,
8        ,不详          ,不详          ,不详          ,
9        ,不详          ,不详          ,不详          ,
10       ,不详          ,不详          ,不详          ,
11       ,不详          ,不详          ,不详          ,
12       ,不详          ,不详          ,不详          ,
13       ,不详          ,不详          ,不详          ,
14       ,不详          ,不详          ,不详          ,
15       ,不详          ,不详          ,不详          ,
16       ,不详          ,不详          ,不详          ,
17       ,不详          ,不详          ,不详          ,
18       ,不详          ,不详          ,不详          ,
19       ,不详          ,不详          ,不详          ,
20       ,不详          ,不详          ,不详          ,
21       ,不详          ,不详          ,不详          ,
22       ,不详          ,不详          ,不详          ,
23       ,不详          ,不详          ,不详          ,
24       ,不详          ,不详          ,不详          ,
25       ,不详          ,不详          ,不详          ,
26       ,不详          ,不详          ,不详          ,
27       ,不详          ,不详          ,不详          ,
28       ,不详          ,不详          ,不详          ,
29       ,不详          ,不详          ,不详          ,
30       ,不详          ,不详          ,不详          ,
31       ,不详          ,不详          ,不详          ,
32       ,不详          ,不详          ,不详          ,
33       ,不详          ,不详          ,不详          ,
34       ,不详          ,不详          ,不详          ,
35       ,不详          ,不详          ,不详          ,
36       ,不详          ,不详          ,不详          ,
37       ,不详          ,不详          ,不详          ,
38       ,不详          ,不详          ,不详          ,
