批次,栋舍 House,"进雏只数
Bird placed No.","公母
Gender","鸡舍面积m2 
House Area","出栏密度
Density","挂鸡只数
Hang No.","挂鸡总重（kg）
Total hung weight","均重（kg）
 Average weight","小毛鸡数量
Small broilers No.","小毛鸡总重（kg）
 Total weight of small broilers","PP死淘鸡只
PP cull and dead No.","死淘总重（kg）
Dead and Cull Weight","PP不合格淘汰鸡
PP Cull","PP淘汰鸡总重
PP Cull bird Weight",日龄Age,"出栏造成死亡只数 
Dead while catching","出鸡只数
Catching No.","成活率
Livability (%)","出鸡总重（kg）
Total Catched weight","单位面积产肉率
Density, Yield(KG)/m2","均重（kg）
Average weight","累计耗料（kg）
Feed cons. Cum.",料肉比 FCR,Adjust FCR (base 2.45KG)              ,欧洲指数 EEF
G01-62,H1,"25,500",L3,1670,13-Jan-00,"22,829","46,277",2.03,0,0,157,350,2,90.79,37,0,"22,986",90.14%,"46,627",27.92,2.03,"79,480",1.7,1.81,289.92
G01-62,H2,"25,700",L4,1680,14-Jan-00,"24,181","55,850",2.31,26,24.13,99,221,4,178.3,36,0,"24,280",94.47%,"56,071",33.38,2.31,"93,320",1.66,1.7,364.14
G01-62,H3,"25,700",L4,1670,14-Jan-00,"23,537","51,673",2.2,151,143.22,198,436,3,108.17,35,0,"23,735",92.35%,"52,109",31.2,2.2,"85,550",1.64,1.71,352.86
G01-62,H4,"25,900",L4,1680,14-Jan-00,"24,155","54,554",2.26,0,0,129,288,1,90.78,37,0,"24,284",93.76%,"54,842",32.64,2.26,"90,190",1.64,1.69,347.99
G01-62,H5,"25,500",L5,1670,14-Jan-00,"23,815","55,957",2.35,26,24.13,89,203,2,87.51,36,0,"23,904",93.74%,"56,160",33.63,2.35,"91,320",1.63,1.65,376.22
G01-62,H6,"25,700",L5,1680,12-Jan-00,"21,375","45,226",2.12,151,143.22,89,196,3,108.17,35,0,"21,464",83.52%,"45,422",27.04,2.12,"82,740",1.82,1.91,277.21
G01-62,H7,"26,400",L7,1670,15-Jan-00,"24,990","55,515",2.22,26,24.13,129,288,2,87.5,37,0,"25,119",95.15%,"55,803",33.41,2.22,"92,370",1.66,1.71,345.13
G01-62,H8,"25,700",L5,1680,14-Jan-00,"23,411","55,036",2.35,0,0,141,314,1,90.77,37,0,"23,552",91.64%,"55,350",32.95,2.35,"94,620",1.71,1.73,340.5
G01-62,H9,"26,400",L7,1670,14-Jan-00,"24,303","54,693",2.25,177,167.34,33,74,5,195.67,36,0,"24,336",92.18%,"54,767",32.79,2.25,"90,250",1.65,1.7,349.69
G01-62,H10,"26,700",L6,1680,15-Jan-00,"25,388","58,876",2.32,25,24.13,52,119,2,87.5,37,0,"25,440",95.28%,"58,995",35.12,2.32,"98,800",1.67,1.71,356.58
G01-62,H11,"26,000",L7,1670,14-Jan-00,"24,628","55,726",2.26,25,24.13,60,134,2,87.5,37,0,"24,688",94.95%,"55,860",33.45,2.26,"91,430",1.64,1.68,354.76
G01-62,H12,"26,700",L6,1680,14-Jan-00,"24,963","54,708",2.19,25,24.13,69,155,1,87.5,37,0,"25,032",93.75%,"54,863",32.66,2.19,"92,450",1.69,1.75,329.56
