批次,"鸡舍号
House No","入雏量 
Bird Placed","种鸡周龄
HE Age(W)","种蛋源
HE Source","入雏日期
Bird in date","合计
Sum",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,
G01-62,H1,25500,26,L3,20-Nov-24,8.1,0,1.45,0.49,0.32,0.31,0.08,0.14,0.06,0.71,0.1,0.18,0.08,0.07,0.15,0.11,0.14,0.14,0.08,0.16,0.12,0.09,0.07,0.09,0.11,0.06,0.08,0.12,0.08,0.09,0.11,0.09,0.07,0.11,0.18,0.13,0.32,0.31,1.1,
G01-62,H2,25700,45,L4,20-Nov-24,4.92,0,0.1,0.05,0.11,0.09,0.11,0.14,0.16,0.93,0.05,0.11,0.06,0.05,0.09,0.04,0.09,0.08,0.15,0.09,0.1,0.09,0.06,0.08,0.09,0.07,0.08,0.08,0.11,0.1,0.09,0.11,0.11,0.12,0.16,0.27,0.39,0.33,0,
G01-62,H3,25700,45,L4,20-Nov-24,5.53,0,0.07,0.15,0.12,0.07,0.14,0.09,0.13,0.73,0.1,0.07,0.06,0.04,0.04,0.06,0.09,0.09,0.07,0.06,0.05,0.05,0.09,0.26,0.14,0.08,0.07,0.14,0.13,0.12,0.1,0.12,0.19,0.25,0.31,0.47,0.78,0,0,
G01-62,H4,25900,45,L4,20-Nov-24,6.85,0,0.09,0.09,0.19,0.18,0.17,0.14,0.08,0.88,0.08,0.06,0.04,0.05,0.09,0.05,0.06,0.06,0.09,0.05,0.09,0.04,0.04,0.22,0.12,0.04,0.12,0.17,0.16,0.15,0.14,0.1,0.21,0.19,0.23,0.37,0.5,0.71,0.77,
G01-62,H5,25500,51,L5,20-Nov-24,5.97,0,0.1,0.09,0.09,0.11,0.11,0.11,0.16,0.87,0.08,0.04,0.05,0.08,0.07,0.09,0.13,0.05,0.07,0.11,0.09,0.11,0.1,0.2,0.14,0.11,0.1,0.09,0.09,0.12,0.12,0.16,0.16,0.21,0.21,0.27,0.53,0.78,0,
G01-62,H6,25700,51,L5,20-Nov-24,14.7,0,0.07,0.05,0.09,0.2,0.09,0.19,0.18,0.9,0.09,0.11,0.07,0.05,0.14,0.16,0.16,0.09,0.12,0.1,0.07,0.11,0.09,0.21,0.14,0.11,0.11,0.15,0.26,0.42,0.89,0.9,1.52,1.45,1.5,2.16,1.73,0,0,
G01-62,H7,26400,29,L7,19-Nov-24,4.18,0,0.08,0.05,0.14,0.07,0.06,0.03,0.03,0.04,0.71,0.04,0.02,0.02,0.05,0.02,0.04,0.05,0.06,0.06,0.06,0.09,0.07,0.03,0.05,0.07,0.09,0.09,0.1,0.13,0.06,0.14,0.13,0.08,0.08,0.17,0.26,0.41,0.5,
G01-62,H8,25700,51,L5,20-Nov-24,6.58,0,0.08,0.04,0.08,0.14,0.11,0.08,0.13,1.03,0.06,0.04,0.07,0.07,0.06,0.06,0.07,0.05,0.08,0.1,0.05,0.05,0.08,0.06,0.09,0.09,0.1,0.07,0.08,0.05,0.11,0.14,0.09,0.2,0.35,0.32,0.5,0.82,0.97,
G01-62,H9,26400,29,L7,19-Nov-24,7.45,0,0.13,0.09,0.15,0.16,0.12,0.14,0.16,1.01,0.06,0.04,0.06,0.08,0.11,0.04,0.08,0.06,0.11,0.08,0.07,0.08,0.09,0.06,0.05,0.07,0.07,0.07,0.11,0.15,0.26,0.42,0.91,0.75,0.49,0.53,0.33,0.27,0,
G01-62,H10,26700,41,L6,19-Nov-24,4.16,0,0.05,0.06,0.08,0.15,0.15,0.11,0.15,0.9,0.1,0.06,0.03,0.04,0.04,0.04,0.06,0.05,0.06,0.07,0.04,0.08,0.05,0.08,0.09,0.04,0.05,0.05,0.06,0.07,0.08,0.11,0.08,0.1,0.07,0.15,0.17,0.33,0.24,
G01-62,H11,26000,29,L7,19-Nov-24,5.05,0,0.15,0.12,0.11,0.06,0.07,0.04,0.04,0.9,0.07,0.09,0.04,0.06,0.07,0.09,0.08,0.12,0.13,0.27,0.2,0.14,0.09,0.06,0.07,0.08,0.1,0.12,0.07,0.14,0.14,0.08,0.1,0.14,0.13,0.2,0.28,0.19,0.23,
G01-62,H12,26700,41,L6,19-Nov-24,5.94,0,0.09,0.08,0.06,0.14,0.09,0.04,0.13,1.31,0.04,0.07,0.03,0.05,0.04,0.03,0.09,0.13,0.15,0.28,0.22,0.14,0.12,0.13,0.11,0.19,0.19,0.13,0.12,0.19,0.13,0.13,0.09,0.09,0.12,0.18,0.19,0.3,0.3,
G01-62,H13,26000,29,L7,19-Nov-24,5.07,0,0.09,0.09,0.07,0.05,0.13,0.06,0.22,1.01,0.12,0.07,0.07,0.07,0.12,0.08,0.06,0.09,0.13,0.18,0.08,0.05,0.07,0.13,0.12,0.12,0.04,0.07,0.06,0.04,0.11,0.08,0.08,0.08,0.18,0.16,0.3,0.12,0.47,
G01-62,H14,26800,41,L6,19-Nov-24,4.14,0,0.04,0.12,0.07,0.1,0.06,0.09,0.1,0.86,0.1,0.02,0.04,0.04,0.12,0.07,0.07,0.05,0.07,0.07,0.06,0.05,0.06,0.04,0.07,0.1,0.1,0.1,0.08,0.16,0.09,0.06,0.07,0.1,0.12,0.16,0.36,0.28,0,
G01-62,H15,26000,29,L7,19-Nov-24,6.12,0,0.12,0.11,0.08,0.09,0.12,0.1,0.16,1.35,0.15,0.04,0.06,0.08,0.2,0.22,0.23,0.2,0.34,0.22,0.13,0.12,0.09,0.05,0.07,0.08,0.12,0.08,0.08,0.08,0.11,0.08,0.07,0.08,0.07,0.08,0.16,0.22,0.51,
