GrowthDay,FeederTotal,ChangeTotal,Feeder_1,ChangeFeeder_1,Feeder_2,ChangeFeeder_2,Feeder_3,ChangeFeeder_3,Feeder_4,ChangeFeeder_4,
-1       ,603        ,不详         ,0       ,不详            ,603     ,不详            ,0       ,不详            ,0       ,不详            ,
0        ,0          ,-100       ,0       ,不详            ,0       ,-100          ,0       ,不详            ,0       ,不详            ,
1        ,300        ,不详         ,0       ,不详            ,300     ,不详            ,0       ,不详            ,0       ,不详            ,
2        ,347        ,15         ,0       ,不详            ,347     ,15            ,0       ,不详            ,0       ,不详            ,
3        ,485        ,39         ,0       ,不详            ,485     ,39            ,0       ,不详            ,0       ,不详            ,
4        ,409        ,-16        ,0       ,不详            ,409     ,-16           ,0       ,不详            ,0       ,不详            ,
5        ,456        ,11         ,0       ,不详            ,456     ,11            ,0       ,不详            ,0       ,不详            ,
6        ,643        ,41         ,0       ,不详            ,643     ,41            ,0       ,不详            ,0       ,不详            ,
7        ,1052       ,63         ,0       ,不详            ,1052    ,63            ,0       ,不详            ,0       ,不详            ,
8        ,1078       ,2          ,0       ,不详            ,1078    ,2             ,0       ,不详            ,0       ,不详            ,
9        ,1338       ,24         ,0       ,不详            ,1338    ,24            ,0       ,不详            ,0       ,不详            ,
10       ,1417       ,5          ,0       ,不详            ,1417    ,5             ,0       ,不详            ,0       ,不详            ,
11       ,1875       ,32         ,0       ,不详            ,1875    ,32            ,0       ,不详            ,0       ,不详            ,
12       ,1788       ,-5         ,0       ,不详            ,1788    ,-5            ,0       ,不详            ,0       ,不详            ,
13       ,1821       ,1          ,0       ,不详            ,1821    ,1             ,0       ,不详            ,0       ,不详            ,
14       ,1618       ,-12        ,0       ,不详            ,1618    ,-12           ,0       ,不详            ,0       ,不详            ,
15       ,2056       ,27         ,0       ,不详            ,2056    ,27            ,0       ,不详            ,0       ,不详            ,
16       ,2154       ,4          ,0       ,不详            ,2154    ,4             ,0       ,不详            ,0       ,不详            ,
17       ,2438       ,13         ,0       ,不详            ,2438    ,13            ,0       ,不详            ,0       ,不详            ,
18       ,2745       ,12         ,0       ,不详            ,2745    ,12            ,0       ,不详            ,0       ,不详            ,
19       ,2933       ,6          ,0       ,不详            ,2933    ,6             ,0       ,不详            ,0       ,不详            ,
20       ,3052       ,4          ,0       ,不详            ,3052    ,4             ,0       ,不详            ,0       ,不详            ,
21       ,3439       ,12         ,0       ,不详            ,3439    ,12            ,0       ,不详            ,0       ,不详            ,
22       ,4035       ,17         ,0       ,不详            ,4035    ,17            ,0       ,不详            ,0       ,不详            ,
23       ,4309       ,6          ,0       ,不详            ,4309    ,6             ,0       ,不详            ,0       ,不详            ,
24       ,4195       ,-3         ,0       ,不详            ,4195    ,-3            ,0       ,不详            ,0       ,不详            ,
25       ,3941       ,-7         ,0       ,不详            ,3941    ,-7            ,0       ,不详            ,0       ,不详            ,
26       ,4194       ,6          ,0       ,不详            ,4194    ,6             ,0       ,不详            ,0       ,不详            ,
27       ,3840       ,-9         ,0       ,不详            ,3840    ,-9            ,0       ,不详            ,0       ,不详            ,
28       ,4242       ,10         ,0       ,不详            ,4242    ,10            ,0       ,不详            ,0       ,不详            ,
29       ,4154       ,-3         ,0       ,不详            ,4154    ,-3            ,0       ,不详            ,0       ,不详            ,
30       ,4402       ,5          ,0       ,不详            ,4402    ,5             ,0       ,不详            ,0       ,不详            ,
31       ,4292       ,-3         ,0       ,不详            ,4292    ,-3            ,0       ,不详            ,0       ,不详            ,
32       ,3658       ,-15        ,0       ,不详            ,3658    ,-15           ,0       ,不详            ,0       ,不详            ,
33       ,3898       ,6          ,0       ,不详            ,3898    ,6             ,0       ,不详            ,0       ,不详            ,
34       ,4060       ,4          ,0       ,不详            ,4060    ,4             ,0       ,不详            ,0       ,不详            ,
35       ,3914       ,-4         ,0       ,不详            ,3914    ,-4            ,0       ,不详            ,0       ,不详            ,
36       ,3392       ,-14        ,0       ,不详            ,3392    ,-14           ,0       ,不详            ,0       ,不详            ,
37       ,3993       ,17         ,0       ,不详            ,3993    ,17            ,0       ,不详            ,0       ,不详            ,
38       ,1629       ,-60        ,0       ,不详            ,1629    ,-60           ,0       ,不详            ,0       ,不详            ,
39       ,25         ,-99        ,0       ,不详            ,25      ,-99           ,0       ,不详            ,0       ,不详            ,
40       ,0          ,-100       ,0       ,不详            ,0       ,-100          ,0       ,不详            ,0       ,不详            ,
