GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,19.1        ,32.4        ,32.7        ,
0        ,31.5        ,34.4        ,34.7        ,
1        ,33.1        ,33.9        ,34.6        ,
2        ,32.3        ,32.5        ,34.0        ,
3        ,31.4        ,31.8        ,33.2        ,
4        ,29.8        ,30.9        ,32.1        ,
5        ,29.7        ,30.4        ,31.3        ,
6        ,29.2        ,29.5        ,30.7        ,
7        ,28.2        ,29.2        ,30.0        ,
8        ,27.8        ,28.5        ,29.4        ,
9        ,27.6        ,28.2        ,29.5        ,
10       ,27.4        ,27.7        ,29.2        ,
11       ,27.1        ,28.0        ,28.9        ,
12       ,26.3        ,27.2        ,28.4        ,
13       ,25.7        ,26.5        ,27.5        ,
14       ,25.3        ,26.0        ,27.3        ,
15       ,25.0        ,25.4        ,27.1        ,
16       ,24.6        ,24.7        ,27.1        ,
17       ,24.0        ,24.6        ,26.9        ,
18       ,23.6        ,23.9        ,27.4        ,
19       ,23.6        ,23.8        ,27.1        ,
20       ,23.2        ,23.6        ,25.6        ,
21       ,22.6        ,23.0        ,25.2        ,
22       ,21.9        ,22.2        ,25.2        ,
23       ,21.7        ,21.8        ,25.0        ,
24       ,21.0        ,21.4        ,24.4        ,
25       ,20.4        ,20.6        ,23.8        ,
26       ,20.5        ,21.4        ,23.5        ,
27       ,21.3        ,21.9        ,23.3        ,
28       ,19.9        ,20.1        ,22.8        ,
29       ,20.0        ,21.0        ,22.3        ,
30       ,19.6        ,20.5        ,22.3        ,
31       ,19.0        ,19.1        ,21.5        ,
32       ,18.6        ,19.2        ,21.3        ,
33       ,18.4        ,18.7        ,21.5        ,
34       ,18.0        ,18.7        ,21.1        ,
35       ,17.5        ,17.9        ,20.0        ,
36       ,17.1        ,17.9        ,19.6        ,
37       ,16.9        ,17.3        ,19.6        ,
38       ,3.0         ,9.1         ,18.8        ,
39       ,0.3         ,7.3         ,12.6        ,
40       ,7.1         ,7.2         ,7.4         ,
