GrowthDay,MinimumValue,AverageValue,MaximumValue,
-2       ,81          ,83          ,83          ,
-1       ,59          ,63          ,86          ,
0        ,59          ,71          ,72          ,
1        ,70          ,73          ,77          ,
2        ,62          ,65          ,74          ,
3        ,59          ,67          ,69          ,
4        ,63          ,71          ,73          ,
5        ,68          ,70          ,75          ,
6        ,68          ,71          ,76          ,
7        ,68          ,72          ,80          ,
8        ,67          ,74          ,78          ,
9        ,69          ,73          ,79          ,
10       ,67          ,71          ,84          ,
11       ,66          ,70          ,80          ,
12       ,64          ,68          ,79          ,
13       ,64          ,70          ,79          ,
14       ,61          ,71          ,80          ,
15       ,60          ,70          ,83          ,
16       ,58          ,72          ,83          ,
17       ,50          ,75          ,84          ,
18       ,73          ,74          ,85          ,
19       ,71          ,76          ,84          ,
20       ,72          ,73          ,86          ,
21       ,72          ,76          ,84          ,
22       ,70          ,74          ,85          ,
23       ,65          ,75          ,85          ,
24       ,67          ,72          ,87          ,
25       ,68          ,78          ,81          ,
26       ,69          ,76          ,85          ,
27       ,72          ,79          ,88          ,
28       ,70          ,77          ,86          ,
29       ,64          ,74          ,87          ,
30       ,59          ,75          ,85          ,
31       ,53          ,76          ,87          ,
32       ,52          ,79          ,88          ,
33       ,69          ,81          ,88          ,
34       ,68          ,85          ,89          ,
35       ,63          ,79          ,90          ,
36       ,50          ,88          ,89          ,
37       ,88          ,89          ,90          ,
