Message,GrowthDay,Time,
系统锁定   ,27       ,17:22:14,
管理员登陆  ,28       ,10:12:17,
更改开关   ,28       ,10:12:20,
系统锁定   ,28       ,10:17:20,
报警测试   ,28       ,11:30:00,
更改开关   ,28       ,19:30:10,
更改开关   ,28       ,19:30:13,
更改开关   ,28       ,19:30:17,
系统锁定   ,28       ,19:35:24,
管理员登陆  ,29       ,09:07:07,
更改开关   ,29       ,09:07:10,
系统锁定   ,29       ,09:12:10,
报警测试   ,29       ,11:30:00,
备用设置提醒 ,29       ,23:52:24,
报警测试   ,30       ,11:30:00,
更改开关   ,30       ,15:00:19,
系统锁定   ,30       ,15:05:21,
管理员登陆  ,31       ,02:15:22,
系统锁定   ,31       ,02:20:28,
报警测试   ,31       ,11:30:00,
报警测试   ,32       ,11:30:00,
管理员登陆  ,32       ,11:40:22,
更改开关   ,32       ,11:40:24,
系统锁定   ,32       ,11:45:24,
更改开关   ,32       ,20:01:11,
系统锁定   ,32       ,20:06:19,
报警测试   ,33       ,11:30:00,
管理员登陆  ,33       ,11:47:08,
更改开关   ,33       ,11:47:11,
系统锁定   ,33       ,11:52:11,
管理员登陆  ,33       ,18:21:28,
系统锁定   ,33       ,18:27:05,
更改开关   ,33       ,21:36:13,
系统锁定   ,33       ,21:41:23,
管理员登陆  ,34       ,10:35:23,
更改开关   ,34       ,10:35:26,
系统锁定   ,34       ,10:40:26,
报警测试   ,34       ,11:30:00,
备用设置提醒 ,35       ,05:22:17,
报警测试   ,35       ,11:30:00,
报警测试   ,36       ,11:30:00,
系统锁定   ,37       ,07:54:24,
报警测试   ,37       ,11:30:00,
更改开关   ,37       ,20:27:27,
空鸡舍模式  ,37       ,20:31:13,
重置报警   ,37       ,20:31:13,
系统锁定   ,37       ,20:37:09,
更改开关   ,37       ,22:07:23,
系统锁定   ,37       ,22:13:05,
更改开关   ,38       ,01:06:05,
系统锁定   ,38       ,01:11:05,
报警测试   ,38       ,11:30:00,
报警测试   ,39       ,11:30:00,
报警测试   ,40       ,11:30:00,
电源关闭   ,41       ,07:43:27,
电源开启   ,41       ,08:23:05,
报警测试   ,42       ,11:30:00,
报警测试   ,43       ,11:30:00,
报警测试   ,44       ,11:30:00,
报警测试   ,45       ,11:30:00,
电源关闭   ,45       ,16:12:20,
电源开启   ,45       ,16:12:20,
报警测试   ,46       ,11:30:00,
报警测试   ,47       ,11:30:00,
报警测试   ,48       ,11:30:00,
报警测试   ,49       ,11:30:00,
报警测试   ,50       ,11:30:00,
报警测试   ,51       ,11:30:00,
报警测试   ,52       ,11:30:00,
报警测试   ,53       ,11:30:00,
报警测试   ,54       ,11:30:00,
电源关闭   ,54       ,12:23:11,
电源开启   ,54       ,12:25:21,
系统锁定   ,54       ,13:04:00,
系统锁定   ,54       ,13:15:12,
新的鸡群   ,-2       ,19:43:22,
管理员登陆  ,-2       ,20:03:24,
更改开关   ,-2       ,20:04:06,
更改开关   ,-2       ,20:04:11,
更改开关   ,-2       ,20:04:15,
更改开关   ,-2       ,20:04:18,
更改开关   ,-2       ,20:04:28,
系统锁定   ,-2       ,20:09:28,
报警测试   ,-1       ,11:30:00,
报警测试   ,0        ,11:30:00,
普通鸡舍模式 ,0        ,15:13:07,
备用设置提醒 ,0        ,15:13:07,
报警测试   ,1        ,11:30:00,
报警测试   ,2        ,11:30:00,
备用设置提醒 ,3        ,08:39:29,
报警测试   ,3        ,11:30:00,
报警测试   ,4        ,11:30:00,
报警测试   ,5        ,11:30:00,
报警测试   ,6        ,11:30:00,
报警测试   ,7        ,11:30:00,
备用设置提醒 ,7        ,11:39:24,
报警测试   ,8        ,11:30:00,
报警测试   ,9        ,11:30:00,
报警测试   ,10       ,11:30:00,
报警测试   ,11       ,11:30:00,
重置报警   ,11       ,20:43:09,
重置报警   ,11       ,20:53:15,
报警测试   ,12       ,11:30:00,
备用设置提醒 ,13       ,06:21:18,
报警测试   ,13       ,11:30:00,
报警测试   ,14       ,11:30:00,
报警测试   ,15       ,11:30:00,
报警测试   ,16       ,11:30:00,
报警测试   ,17       ,11:30:00,
报警测试   ,18       ,11:30:00,
报警测试   ,19       ,11:30:00,
备用设置提醒 ,19       ,23:38:12,
报警测试   ,20       ,11:30:00,
报警测试   ,21       ,11:30:00,
报警测试   ,22       ,11:30:00,
报警测试   ,23       ,11:30:00,
报警测试   ,24       ,11:30:00,
报警测试   ,25       ,11:30:00,
管理员登陆  ,25       ,16:57:23,
系统锁定   ,25       ,17:02:27,
报警测试   ,26       ,11:30:00,
管理员登陆  ,26       ,15:51:03,
系统锁定   ,26       ,15:56:07,
报警测试   ,27       ,11:30:00,
备用设置提醒 ,28       ,01:40:24,
报警测试   ,28       ,11:30:00,
报警测试   ,29       ,11:30:00,
报警测试   ,30       ,11:30:00,
报警测试   ,31       ,11:30:00,
管理员登陆  ,32       ,10:06:27,
系统锁定   ,32       ,10:13:09,
报警测试   ,32       ,11:30:00,
报警测试   ,33       ,11:30:00,
重置报警   ,34       ,07:21:27,
报警测试   ,34       ,11:30:00,
报警测试   ,35       ,11:30:00,
报警测试   ,36       ,11:30:00,
重置报警   ,36       ,20:29:27,
报警测试   ,37       ,11:30:00,
备用设置提醒 ,37       ,18:38:12,
管理员登陆  ,38       ,03:03:10,
更改开关   ,38       ,03:03:28,
空鸡舍模式  ,38       ,03:07:07,
重置报警   ,38       ,03:07:07,
系统锁定   ,38       ,03:08:28,
报警测试   ,38       ,11:30:00,
电源关闭   ,38       ,19:37:12,
电源开启   ,38       ,20:09:14,
电源关闭   ,38       ,20:11:17,
电源开启   ,38       ,07:09:10,
报警测试   ,39       ,11:30:00,
电源关闭   ,40       ,09:34:29,
电源开启   ,40       ,08:23:26,
报警测试   ,41       ,11:30:00,
管理员登陆  ,41       ,21:20:24,
更改开关   ,41       ,21:20:28,
系统锁定   ,41       ,21:25:28,
管理员登陆  ,42       ,08:30:27,
更改开关   ,42       ,08:31:01,
系统锁定   ,42       ,08:36:01,
报警测试   ,42       ,11:30:00,
报警测试   ,43       ,11:30:00,
报警测试   ,44       ,11:30:00,
报警测试   ,45       ,11:30:00,
报警测试   ,46       ,11:30:00,
报警测试   ,47       ,11:30:00,
报警测试   ,48       ,11:30:00,
报警测试   ,49       ,11:30:00,
报警测试   ,50       ,11:30:00,
报警测试   ,51       ,11:30:00,
报警测试   ,52       ,11:30:00,
报警测试   ,53       ,11:30:00,
系统锁定   ,53       ,12:06:28,
系统锁定   ,53       ,12:19:16,
报警测试   ,54       ,11:30:00,
报警测试   ,55       ,11:30:00,
新的鸡群   ,-1       ,16:59:27,
更改开关   ,-1       ,17:01:26,
系统锁定   ,-1       ,17:06:26,
管理员登陆  ,0        ,06:11:02,
更改开关   ,0        ,06:11:07,
更改开关   ,0        ,06:11:24,
更改开关   ,0        ,06:12:10,
系统锁定   ,0        ,06:17:10,
报警测试   ,0        ,11:30:00,
普通鸡舍模式 ,0        ,16:21:22,
备用设置提醒 ,0        ,16:21:22,
报警测试   ,1        ,11:30:00,
报警测试   ,2        ,11:30:00,
报警测试   ,3        ,11:30:00,
报警测试   ,4        ,11:30:00,
报警测试   ,5        ,11:30:00,
重置报警   ,5        ,19:22:05,
报警测试   ,6        ,11:30:00,
