GrowthDay,TotalDrinkDaily,TotalDrinkChange,Water_1Daily,Water_1Change,Water_2Daily,Water_2Change,Water_3Daily,Water_3Change,Water_4Daily,Water_4Change,TotalWater,Coolpad,Fogger,Flushing,
-2       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
-1       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
0        ,319            ,不详              ,319         ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,319       ,0      ,0     ,0       ,
1        ,490            ,53              ,490         ,53           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,490       ,0      ,0     ,0       ,
2        ,864            ,76              ,864         ,76           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,864       ,0      ,0     ,0       ,
3        ,1108           ,28              ,1108        ,28           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1108      ,0      ,0     ,0       ,
4        ,1473           ,32              ,1473        ,32           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1473      ,0      ,0     ,0       ,
5        ,1753           ,19              ,1753        ,19           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1753      ,0      ,0     ,0       ,
6        ,1995           ,13              ,1995        ,13           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1995      ,0      ,0     ,0       ,
7        ,2066           ,3               ,2066        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2066      ,0      ,0     ,0       ,
8        ,2423           ,17              ,2423        ,17           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2423      ,0      ,0     ,0       ,
9        ,2467           ,1               ,2467        ,1            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2467      ,0      ,0     ,0       ,
10       ,2973           ,20              ,2973        ,20           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2973      ,0      ,0     ,0       ,
11       ,3278           ,10              ,3278        ,10           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3278      ,0      ,0     ,0       ,
12       ,3690           ,12              ,3690        ,12           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3690      ,0      ,0     ,0       ,
13       ,4283           ,16              ,4283        ,16           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4283      ,0      ,0     ,0       ,
14       ,4667           ,8               ,4667        ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4667      ,0      ,0     ,0       ,
15       ,4982           ,6               ,4982        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4982      ,0      ,0     ,0       ,
16       ,5322           ,6               ,5322        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5322      ,0      ,0     ,0       ,
17       ,5517           ,3               ,5517        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5517      ,0      ,0     ,0       ,
18       ,5804           ,5               ,5804        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5804      ,0      ,0     ,0       ,
19       ,6158           ,6               ,6158        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6158      ,0      ,0     ,0       ,
20       ,7029           ,14              ,7029        ,14           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7029      ,0      ,0     ,0       ,
21       ,7302           ,3               ,7302        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7302      ,0      ,0     ,0       ,
22       ,6998           ,-5              ,6998        ,-5           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6998      ,0      ,0     ,0       ,
23       ,7350           ,5               ,7350        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7350      ,0      ,0     ,0       ,
24       ,7389           ,0               ,7389        ,0            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7389      ,0      ,0     ,0       ,
25       ,7419           ,0               ,7419        ,0            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7419      ,0      ,0     ,0       ,
26       ,7858           ,5               ,7858        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7858      ,0      ,0     ,0       ,
27       ,8014           ,1               ,8014        ,1            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8014      ,0      ,0     ,0       ,
28       ,8577           ,7               ,8577        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8577      ,0      ,0     ,0       ,
29       ,8710           ,1               ,8710        ,1            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8710      ,0      ,0     ,0       ,
30       ,8384           ,-4              ,8384        ,-4           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8384      ,0      ,0     ,0       ,
31       ,8235           ,-2              ,8235        ,-2           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8235      ,0      ,0     ,0       ,
32       ,8000           ,-3              ,8000        ,-3           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8000      ,0      ,0     ,0       ,
33       ,7596           ,-6              ,7596        ,-6           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7596      ,0      ,0     ,0       ,
34       ,7966           ,4               ,7966        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7966      ,0      ,0     ,0       ,
35       ,6388           ,-20             ,6388        ,-20          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6388      ,0      ,0     ,0       ,
36       ,267            ,-96             ,267         ,-96          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,267       ,0      ,0     ,0       ,
37       ,0              ,-100            ,0           ,-100         ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
38       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
