GROWTH_DAY,HISTORY_TIME,TARGET_TEMP,HOUSE_TEMP_MIN,HOUSE_TEMP_AVG,HOUSE_TEMP_MAX,TEMP_1_AVG,TEMP_2_AVG,TEMP_3_AVG,TEMP_4_AVG,TEMP_5_AVG,OUTSIDE_MIN,OUTSIDE_AVG,OUTSIDE_MAX,HUMIDITY_IN_1_MIN,HUMIDITY_IN_1_AVG,HUMIDITY_IN_1_MAX,WATER_CON,FEED_CON,LEVEL,
-1        ,10:00       ,33.4       ,17.9          ,20.3          ,20.3          ,20.1      ,19.7      ,20.5      ,20.9      ,20.3      ,14.0       ,17.9       ,17.9       ,81               ,81               ,84               ,0        ,0       ,1    ,
-1        ,11:00       ,33.4       ,20.3          ,22.5          ,22.5          ,22.4      ,22.0      ,22.8      ,23.0      ,22.5      ,17.9       ,20.3       ,20.3       ,76               ,76               ,81               ,0        ,0       ,1    ,
-1        ,12:00       ,33.4       ,22.5          ,24.4          ,24.4          ,24.3      ,24.0      ,24.6      ,24.8      ,24.3      ,20.3       ,21.6       ,21.6       ,72               ,72               ,76               ,0        ,0       ,1    ,
-1        ,13:00       ,33.4       ,24.4          ,25.8          ,25.8          ,25.7      ,25.3      ,26.0      ,26.1      ,26.0      ,21.4       ,22.0       ,22.0       ,69               ,69               ,72               ,0        ,684     ,1    ,
-1        ,14:00       ,33.3       ,25.8          ,26.1          ,26.2          ,26.2      ,25.8      ,26.2      ,26.3      ,26.2      ,21.9       ,22.0       ,22.3       ,68               ,68               ,70               ,0        ,0       ,1    ,
-1        ,15:00       ,33.3       ,26.0          ,26.0          ,26.2          ,26.2      ,25.8      ,26.0      ,26.0      ,26.1      ,21.9       ,21.9       ,22.5       ,67               ,67.9             ,68               ,0        ,0       ,1    ,
-1        ,16:00       ,33.3       ,25.1          ,25.1          ,26.0          ,25.7      ,25.1      ,25.2      ,25.1      ,25.3      ,20.5       ,20.5       ,21.9       ,68               ,69.9             ,70               ,0        ,0       ,1    ,
-1        ,17:00       ,33.3       ,24.9          ,32.8          ,33.1          ,33.0      ,32.9      ,32.8      ,32.7      ,29.9      ,18.6       ,18.6       ,20.5       ,59               ,60               ,71               ,0        ,0       ,1    ,
-1        ,18:00       ,33.3       ,32.4          ,32.6          ,33.0          ,32.0      ,32.3      ,32.8      ,32.7      ,30.2      ,16.4       ,16.4       ,18.6       ,57               ,59.8             ,62               ,0        ,0       ,1    ,
-1        ,19:00       ,33.3       ,32.4          ,32.7          ,33.0          ,32.1      ,32.9      ,32.7      ,32.5      ,29.9      ,15.3       ,15.3       ,16.4       ,60               ,68.5             ,70               ,0        ,0       ,1    ,
-1        ,20:00       ,33.3       ,32.3          ,32.7          ,33.1          ,32.3      ,32.8      ,32.7      ,32.7      ,30.0      ,14.6       ,14.6       ,15.3       ,60               ,60.9             ,72               ,0        ,0       ,1    ,
-1        ,21:00       ,33.3       ,32.4          ,32.6          ,32.9          ,32.1      ,32.4      ,32.8      ,32.6      ,29.7      ,13.9       ,13.9       ,14.6       ,58               ,65.9             ,67               ,0        ,0       ,1    ,
-1        ,22:00       ,33.3       ,32.4          ,32.8          ,32.9          ,31.6      ,32.5      ,33.2      ,32.8      ,30.0      ,13.3       ,13.3       ,13.9       ,61               ,63.9             ,67               ,0        ,0       ,1    ,
-1        ,23:00       ,33.3       ,32.3          ,32.6          ,33.1          ,31.7      ,32.3      ,32.8      ,32.7      ,29.8      ,13.3       ,14.6       ,14.6       ,57               ,66.9             ,67               ,0        ,0       ,1    ,
-1        ,00:00       ,33.3       ,32.4          ,32.6          ,32.9          ,31.7      ,32.2      ,32.7      ,32.8      ,29.9      ,14.4       ,14.4       ,14.6       ,64               ,64.4             ,68               ,0        ,0       ,1    ,
0         ,01:00       ,33.2       ,32.3          ,32.6          ,32.9          ,31.5      ,32.2      ,32.9      ,32.6      ,29.8      ,14.2       ,14.2       ,14.4       ,64               ,65               ,66               ,0        ,0       ,1    ,
0         ,02:00       ,33.2       ,32.3          ,32.5          ,32.8          ,31.4      ,32.1      ,33.1      ,32.4      ,29.6      ,13.3       ,13.3       ,14.2       ,64               ,66.9             ,68               ,0        ,0       ,1    ,
0         ,03:00       ,33.2       ,32.2          ,32.7          ,32.9          ,31.3      ,32.3      ,32.9      ,32.8      ,29.9      ,12.5       ,12.5       ,13.3       ,57               ,65.9             ,67               ,0        ,0       ,1    ,
0         ,04:00       ,33.2       ,32.2          ,32.5          ,32.9          ,31.4      ,32.2      ,33.0      ,32.3      ,29.6      ,12.5       ,12.6       ,12.9       ,58               ,64.9             ,70               ,0        ,0       ,1    ,
0         ,05:00       ,33.2       ,32.2          ,32.6          ,32.9          ,31.8      ,32.6      ,32.6      ,32.5      ,29.6      ,12.2       ,12.4       ,12.6       ,60               ,67.9             ,70               ,0        ,0       ,1    ,
0         ,06:00       ,33.2       ,32.2          ,32.8          ,32.9          ,32.1      ,32.9      ,32.9      ,32.7      ,29.4      ,12.3       ,12.3       ,12.5       ,65               ,66               ,69               ,0        ,0       ,1    ,
0         ,07:00       ,33.2       ,32.3          ,32.5          ,32.8          ,32.2      ,32.8      ,32.4      ,32.4      ,29.4      ,12.3       ,13.6       ,13.6       ,63               ,64.9             ,69               ,0        ,0       ,1    ,
0         ,08:00       ,33.2       ,32.2          ,32.6          ,33.1          ,32.1      ,32.7      ,32.6      ,32.5      ,29.8      ,13.6       ,14.4       ,14.5       ,62               ,62               ,66               ,0        ,0       ,1    ,
0         ,09:00       ,34.7       ,32.3          ,33.9          ,34.3          ,33.8      ,34.1      ,33.8      ,33.8      ,31.3      ,14.5       ,16.5       ,16.5       ,61               ,67.1             ,69               ,0        ,0       ,1    ,
0         ,10:00       ,34.6       ,33.6          ,34.1          ,34.3          ,34.0      ,34.2      ,34.2      ,33.9      ,31.3      ,16.5       ,17.4       ,17.4       ,58               ,64.9             ,68               ,0        ,0       ,1    ,
0         ,11:00       ,34.6       ,33.8          ,33.8          ,34.3          ,33.8      ,34.1      ,33.8      ,33.6      ,31.3      ,17.4       ,18.5       ,18.8       ,59               ,59               ,65               ,0        ,0       ,1    ,
0         ,12:00       ,34.6       ,33.7          ,33.9          ,34.4          ,33.6      ,33.8      ,34.2      ,33.9      ,31.4      ,18.2       ,19.8       ,19.8       ,58               ,58.9             ,61               ,0        ,0       ,1    ,
0         ,13:00       ,34.6       ,33.8          ,34.2          ,34.5          ,33.5      ,33.9      ,34.5      ,34.3      ,32.2      ,19.8       ,21.3       ,21.6       ,54               ,65               ,66               ,0        ,0       ,1    ,
0         ,14:00       ,33.1       ,32.1          ,32.8          ,34.5          ,29.6      ,32.7      ,33.4      ,32.3      ,30.8      ,21.3       ,21.4       ,21.7       ,59               ,66               ,68               ,0        ,0       ,1    ,
0         ,15:00       ,33.1       ,32.1          ,33.4          ,33.4          ,30.4      ,33.5      ,33.5      ,33.2      ,30.9      ,21.1       ,21.3       ,21.8       ,66               ,67               ,69               ,0        ,0       ,1    ,
0         ,16:00       ,33.1       ,32.3          ,33.2          ,33.4          ,31.2      ,33.2      ,33.4      ,33.1      ,30.9      ,20.6       ,20.6       ,21.3       ,62               ,62.9             ,70               ,0        ,0       ,1    ,
0         ,17:00       ,34.1       ,32.2          ,32.5          ,33.3          ,30.8      ,32.6      ,32.5      ,32.5      ,30.3      ,19.4       ,19.4       ,20.6       ,63               ,69.9             ,71               ,0        ,0       ,1    ,
0         ,18:00       ,34.1       ,32.5          ,33.8          ,34.2          ,30.8      ,33.9      ,33.9      ,33.6      ,31.0      ,18.4       ,18.4       ,19.4       ,60               ,67.1             ,71               ,10       ,0       ,1    ,
0         ,19:00       ,34.8       ,33.0          ,33.9          ,34.4          ,30.9      ,33.8      ,34.0      ,34.0      ,31.0      ,17.6       ,17.6       ,18.4       ,58               ,68.9             ,69               ,0        ,0       ,1    ,
0         ,20:00       ,34.7       ,33.8          ,33.9          ,34.8          ,30.8      ,33.8      ,34.2      ,33.9      ,31.0      ,17.4       ,17.4       ,17.6       ,60               ,60               ,69               ,0        ,0       ,1    ,
0         ,21:00       ,34.7       ,33.7          ,34.1          ,34.8          ,30.6      ,33.8      ,34.7      ,33.9      ,31.0      ,16.7       ,16.7       ,17.4       ,59               ,60.9             ,61               ,0        ,0       ,1    ,
0         ,22:00       ,34.7       ,33.7          ,34.4          ,34.8          ,30.4      ,34.1      ,34.8      ,34.2      ,31.1      ,16.4       ,16.4       ,16.7       ,60               ,61               ,62               ,0        ,0       ,1    ,
0         ,23:00       ,34.7       ,33.6          ,34.7          ,34.7          ,30.4      ,34.6      ,34.9      ,34.5      ,31.1      ,15.9       ,15.9       ,16.4       ,60               ,61               ,62               ,10       ,0       ,1    ,
0         ,00:00       ,34.7       ,33.6          ,34.2          ,34.7          ,30.2      ,34.5      ,34.3      ,33.8      ,31.0      ,15.6       ,15.6       ,15.9       ,61               ,68.9             ,70               ,0        ,0       ,1    ,
1         ,01:00       ,34.7       ,33.7          ,34.0          ,34.7          ,30.3      ,34.0      ,34.0      ,33.8      ,31.1      ,15.6       ,15.8       ,15.9       ,62               ,69               ,71               ,0        ,0       ,1    ,
1         ,02:00       ,34.7       ,33.7          ,34.2          ,34.6          ,30.2      ,34.0      ,34.5      ,34.0      ,30.9      ,15.5       ,15.5       ,15.8       ,68               ,70.9             ,72               ,0        ,0       ,1    ,
1         ,03:00       ,34.6       ,33.6          ,34.0          ,34.6          ,30.1      ,34.0      ,34.2      ,33.9      ,31.1      ,15.3       ,15.3       ,15.5       ,63               ,63               ,73               ,0        ,0       ,1    ,
1         ,04:00       ,34.6       ,33.6          ,34.0          ,34.7          ,29.9      ,34.0      ,34.2      ,33.9      ,30.9      ,14.7       ,14.7       ,15.3       ,63               ,63.9             ,65               ,0        ,0       ,1    ,
1         ,05:00       ,34.6       ,33.6          ,33.7          ,34.7          ,29.8      ,33.5      ,33.6      ,33.9      ,30.8      ,14.5       ,14.7       ,14.8       ,63               ,63.9             ,65               ,0        ,0       ,1    ,
1         ,06:00       ,34.5       ,33.5          ,33.9          ,34.7          ,29.8      ,33.7      ,34.4      ,33.6      ,30.8      ,14.6       ,14.6       ,14.7       ,62               ,63.9             ,64               ,0        ,0       ,1    ,
1         ,07:00       ,34.5       ,33.6          ,34.5          ,34.6          ,29.7      ,34.5      ,34.9      ,34.3      ,30.9      ,14.3       ,14.4       ,14.6       ,62               ,62               ,64               ,0        ,0       ,1    ,
1         ,08:00       ,34.3       ,33.3          ,34.1          ,34.6          ,29.8      ,34.1      ,34.4      ,33.8      ,30.9      ,14.4       ,15.7       ,15.7       ,62               ,64               ,65               ,20       ,3       ,1    ,
1         ,09:00       ,34.3       ,33.3          ,34.5          ,34.5          ,30.4      ,34.4      ,34.7      ,34.3      ,31.4      ,15.7       ,17.8       ,17.8       ,62               ,62               ,65               ,0        ,0       ,2    ,
1         ,10:00       ,34.3       ,33.3          ,33.6          ,34.5          ,30.9      ,33.4      ,33.7      ,33.8      ,31.4      ,17.8       ,20.0       ,20.0       ,61               ,61.9             ,63               ,10       ,0       ,2    ,
1         ,11:00       ,34.2       ,33.4          ,34.3          ,34.4          ,31.6      ,34.4      ,34.5      ,34.0      ,32.3      ,20.0       ,21.6       ,21.6       ,61               ,61               ,63               ,0        ,0       ,2    ,
1         ,12:00       ,34.2       ,33.5          ,34.2          ,34.3          ,31.8      ,34.5      ,34.3      ,33.8      ,32.6      ,21.6       ,23.3       ,23.3       ,61               ,61               ,63               ,0        ,0       ,2    ,
1         ,13:00       ,34.2       ,33.6          ,34.1          ,34.2          ,32.3      ,34.1      ,34.3      ,33.8      ,32.8      ,23.3       ,24.7       ,24.7       ,61               ,61.9             ,63               ,10       ,0       ,2    ,
1         ,14:00       ,34.2       ,33.7          ,34.4          ,34.4          ,32.4      ,34.4      ,34.6      ,34.2      ,33.2      ,24.7       ,26.3       ,26.3       ,61               ,61               ,63               ,0        ,0       ,2    ,
1         ,15:00       ,34.1       ,33.7          ,34.0          ,34.4          ,32.1      ,34.2      ,34.2      ,33.7      ,32.8      ,25.3       ,25.3       ,26.4       ,61               ,63               ,64               ,10       ,0       ,2    ,
1         ,16:00       ,34.1       ,33.4          ,33.9          ,34.1          ,31.6      ,34.0      ,34.2      ,33.7      ,32.1      ,23.0       ,23.1       ,25.3       ,62               ,63.9             ,64               ,10       ,371     ,2    ,
1         ,17:00       ,34.1       ,33.3          ,33.6          ,34.2          ,30.9      ,33.8      ,33.5      ,33.5      ,31.7      ,20.6       ,20.6       ,23.0       ,63               ,64               ,65               ,10       ,0       ,2    ,
1         ,18:00       ,34.1       ,33.2          ,33.9          ,34.1          ,30.4      ,33.8      ,34.3      ,33.5      ,31.2      ,19.2       ,19.2       ,20.6       ,64               ,65               ,67               ,20       ,0       ,2    ,
1         ,19:00       ,34.0       ,33.1          ,33.1          ,34.2          ,30.1      ,33.2      ,33.1      ,33.2      ,31.3      ,18.7       ,18.7       ,19.2       ,64               ,65.9             ,67               ,10       ,0       ,2    ,
1         ,20:00       ,34.0       ,33.1          ,33.2          ,34.2          ,29.9      ,33.0      ,33.5      ,33.2      ,31.0      ,18.0       ,18.0       ,18.7       ,64               ,66               ,67               ,20       ,0       ,2    ,
1         ,21:00       ,34.0       ,33.0          ,33.1          ,34.1          ,29.6      ,32.9      ,33.3      ,33.3      ,30.9      ,17.5       ,17.5       ,18.0       ,64               ,64.9             ,67               ,0        ,0       ,2    ,
1         ,22:00       ,34.0       ,33.0          ,33.4          ,34.2          ,29.5      ,33.3      ,33.6      ,33.2      ,30.7      ,16.6       ,16.6       ,17.5       ,65               ,66               ,68               ,30       ,0       ,2    ,
1         ,23:00       ,33.9       ,33.1          ,33.7          ,34.0          ,29.5      ,33.9      ,33.8      ,33.5      ,30.5      ,16.5       ,16.8       ,16.8       ,66               ,66.2             ,68               ,20       ,0       ,2    ,
1         ,00:00       ,33.9       ,33.0          ,33.6          ,34.0          ,29.5      ,33.6      ,33.8      ,33.5      ,30.9      ,16.8       ,17.0       ,17.1       ,66               ,67.8             ,69               ,10       ,0       ,2    ,
2         ,01:00       ,33.9       ,33.0          ,33.4          ,33.9          ,29.7      ,33.2      ,33.5      ,33.4      ,30.6      ,17.1       ,17.4       ,17.4       ,66               ,68               ,69               ,20       ,0       ,2    ,
