Message,GrowthDay,Time,
备用设置提醒 ,21       ,06:43:06,
管理员登陆  ,21       ,08:34:06,
系统锁定   ,21       ,08:39:21,
报警测试   ,21       ,11:30:00,
管理员登陆  ,21       ,12:50:03,
系统锁定   ,21       ,12:55:22,
管理员登陆  ,21       ,19:06:16,
系统锁定   ,21       ,19:11:21,
管理员登陆  ,22       ,08:17:05,
系统锁定   ,22       ,08:22:18,
报警测试   ,22       ,11:30:00,
管理员登陆  ,22       ,13:00:29,
系统锁定   ,22       ,13:06:10,
管理员登陆  ,23       ,07:45:16,
系统锁定   ,23       ,07:50:29,
报警测试   ,23       ,11:30:00,
管理员登陆  ,23       ,12:38:18,
系统锁定   ,23       ,12:44:01,
管理员登陆  ,24       ,08:02:24,
系统锁定   ,24       ,08:08:05,
报警测试   ,24       ,11:30:00,
管理员登陆  ,24       ,12:46:23,
系统锁定   ,24       ,12:52:00,
管理员登陆  ,24       ,17:34:18,
系统锁定   ,24       ,17:40:00,
管理员登陆  ,25       ,07:45:10,
系统锁定   ,25       ,07:50:18,
报警测试   ,25       ,11:30:00,
管理员登陆  ,25       ,12:59:03,
系统锁定   ,25       ,13:04:13,
管理员登陆  ,26       ,07:51:09,
系统锁定   ,26       ,07:56:23,
报警测试   ,26       ,11:30:00,
管理员登陆  ,26       ,13:07:20,
系统锁定   ,26       ,13:12:27,
管理员登陆  ,26       ,16:52:12,
系统锁定   ,26       ,16:57:17,
管理员登陆  ,27       ,07:31:24,
系统锁定   ,27       ,07:37:06,
报警测试   ,27       ,11:30:00,
管理员登陆  ,27       ,12:49:05,
系统锁定   ,27       ,12:54:13,
管理员登陆  ,27       ,16:39:16,
系统锁定   ,27       ,16:44:23,
管理员登陆  ,28       ,02:16:08,
系统锁定   ,28       ,02:21:17,
管理员登陆  ,28       ,08:42:12,
系统锁定   ,28       ,08:47:24,
报警测试   ,28       ,11:30:00,
管理员登陆  ,29       ,02:30:08,
系统锁定   ,29       ,02:35:20,
管理员登陆  ,29       ,08:17:01,
系统锁定   ,29       ,08:22:11,
报警测试   ,29       ,11:30:00,
管理员登陆  ,29       ,12:54:15,
系统锁定   ,29       ,12:59:19,
管理员登陆  ,30       ,07:29:29,
系统锁定   ,30       ,07:35:05,
报警测试   ,30       ,11:30:00,
备用设置提醒 ,31       ,01:55:06,
管理员登陆  ,31       ,07:58:01,
系统锁定   ,31       ,08:03:16,
报警测试   ,31       ,11:30:00,
报警测试   ,32       ,11:30:00,
报警测试   ,33       ,11:30:00,
报警测试   ,34       ,11:30:00,
管理员登陆  ,35       ,04:15:23,
重置报警   ,35       ,04:15:27,
系统锁定   ,35       ,04:20:28,
管理员登陆  ,35       ,04:21:01,
重置报警   ,35       ,04:21:05,
系统锁定   ,35       ,04:26:06,
管理员登陆  ,35       ,05:11:14,
重置报警   ,35       ,05:11:21,
系统锁定   ,35       ,05:17:02,
报警测试   ,35       ,11:30:00,
报警测试   ,36       ,11:30:00,
管理员登陆  ,37       ,08:38:25,
系统锁定   ,37       ,08:43:29,
报警测试   ,37       ,11:30:00,
报警测试   ,38       ,11:30:00,
备用设置提醒 ,38       ,14:14:12,
更改开关   ,38       ,19:37:11,
空鸡舍模式  ,38       ,19:37:16,
系统锁定   ,38       ,19:43:11,
更改开关   ,38       ,22:13:24,
更改开关   ,38       ,22:14:01,
系统锁定   ,38       ,22:19:01,
管理员登陆  ,39       ,01:26:03,
更改开关   ,39       ,01:26:20,
系统锁定   ,39       ,01:31:20,
报警测试   ,39       ,11:30:00,
电源关闭   ,39       ,19:37:00,
电源开启   ,39       ,20:01:13,
电源关闭   ,39       ,20:12:11,
电源开启   ,39       ,20:12:13,
报警测试   ,40       ,11:30:00,
系统锁定   ,41       ,07:03:08,
电源关闭   ,41       ,09:13:01,
电源开启   ,41       ,09:32:09,
电源关闭   ,41       ,09:32:21,
电源开启   ,41       ,21:59:22,
管理员登陆  ,43       ,11:10:17,
更改开关   ,43       ,11:10:19,
系统锁定   ,43       ,11:15:19,
报警测试   ,43       ,11:30:00,
管理员登陆  ,43       ,22:22:09,
更改开关   ,43       ,22:22:15,
系统锁定   ,43       ,22:27:15,
报警测试   ,44       ,11:30:00,
报警测试   ,45       ,11:30:00,
报警测试   ,46       ,11:30:00,
报警测试   ,47       ,11:30:00,
报警测试   ,48       ,11:30:00,
报警测试   ,49       ,11:30:00,
报警测试   ,50       ,11:30:00,
报警测试   ,51       ,11:30:00,
报警测试   ,52       ,11:30:00,
报警测试   ,53       ,11:30:00,
报警测试   ,54       ,11:30:00,
系统锁定   ,54       ,23:28:23,
报警测试   ,55       ,11:30:00,
更改开关   ,56       ,05:23:21,
系统锁定   ,56       ,05:28:26,
新的鸡群   ,-1       ,05:37:13,
报警测试   ,-1       ,16:07:02,
管理员登陆  ,0        ,06:14:17,
更改开关   ,0        ,06:14:20,
更改开关   ,0        ,06:14:24,
更改开关   ,0        ,06:15:06,
更改开关   ,0        ,06:15:18,
系统锁定   ,0        ,06:20:18,
报警测试   ,0        ,11:30:00,
管理员登陆  ,0        ,15:04:23,
系统锁定   ,0        ,15:09:27,
管理员登陆  ,0        ,16:38:18,
更改开关   ,0        ,16:43:19,
更改开关   ,0        ,16:43:23,
系统锁定   ,0        ,16:48:23,
普通鸡舍模式 ,0        ,20:37:25,
备用设置提醒 ,0        ,20:37:25,
管理员登陆  ,1        ,04:20:24,
系统锁定   ,1        ,04:26:15,
报警测试   ,1        ,11:30:00,
报警测试   ,2        ,11:30:00,
报警测试   ,3        ,11:30:00,
备用设置提醒 ,3        ,12:47:20,
报警测试   ,4        ,11:30:00,
报警测试   ,5        ,11:30:00,
备用设置提醒 ,6        ,10:50:01,
报警测试   ,6        ,11:30:00,
报警测试   ,7        ,11:30:00,
管理员登陆  ,8        ,08:10:16,
系统锁定   ,8        ,08:16:04,
报警测试   ,8        ,11:30:00,
重置报警   ,8        ,15:10:01,
重置报警   ,8        ,15:10:26,
报警测试   ,9        ,11:30:00,
报警测试   ,10       ,11:30:00,
报警测试   ,11       ,11:30:00,
