GROWTH_DAY,HISTORY_TIME,TARGET_TEMP,HOUSE_TEMP_MIN,HOUSE_TEMP_AVG,HOUSE_TEMP_MAX,TEMP_1_AVG,TEMP_2_AVG,TEMP_3_AVG,TEMP_4_AVG,TEMP_5_AVG,OUTSIDE_MIN,OUTSIDE_AVG,OUTSIDE_MAX,HUMIDITY_IN_1_MIN,HUMIDITY_IN_1_AVG,HUMIDITY_IN_1_MAX,WATER_CON,FEED_CON,LEVEL,
-1        ,10:00       ,33.4       ,17.5          ,19.9          ,19.9          ,19.4      ,19.3      ,19.9      ,20.2      ,20.5      ,14.4       ,18.3       ,18.3       ,65               ,65               ,68               ,0        ,0       ,1    ,
-1        ,11:00       ,33.4       ,19.9          ,22.1          ,22.1          ,21.5      ,21.6      ,22.1      ,22.4      ,22.7      ,18.3       ,20.6       ,20.6       ,61               ,61               ,65               ,0        ,0       ,1    ,
-1        ,12:00       ,33.4       ,22.1          ,23.9          ,24.0          ,23.3      ,23.5      ,24.1      ,24.3      ,24.5      ,20.6       ,21.7       ,21.7       ,58               ,58               ,61               ,0        ,0       ,1    ,
-1        ,13:00       ,33.4       ,23.9          ,25.0          ,25.1          ,24.5      ,24.7      ,25.1      ,25.1      ,25.6      ,21.7       ,22.2       ,22.3       ,56               ,56               ,58               ,0        ,462     ,1    ,
-1        ,14:00       ,33.3       ,20.9          ,23.4          ,25.0          ,23.6      ,23.1      ,23.0      ,23.1      ,23.9      ,22.0       ,22.0       ,22.2       ,56               ,78               ,80               ,0        ,248     ,1    ,
-1        ,15:00       ,33.3       ,23.4          ,24.9          ,24.9          ,24.7      ,24.6      ,24.9      ,25.0      ,25.2      ,21.8       ,21.8       ,22.5       ,70               ,70               ,78               ,0        ,0       ,1    ,
-1        ,16:00       ,33.3       ,24.9          ,24.9          ,25.0          ,24.6      ,24.6      ,24.9      ,25.1      ,25.1      ,20.5       ,20.5       ,21.8       ,68               ,68               ,70               ,0        ,0       ,1    ,
-1        ,17:00       ,33.3       ,23.7          ,31.9          ,32.2          ,29.2      ,32.3      ,33.8      ,29.7      ,33.1      ,18.7       ,18.7       ,20.5       ,51               ,53.9             ,69               ,0        ,0       ,1    ,
-1        ,18:00       ,33.3       ,31.7          ,32.0          ,32.2          ,29.4      ,32.9      ,34.0      ,29.1      ,33.5      ,16.7       ,16.7       ,18.7       ,54               ,56               ,57               ,0        ,0       ,1    ,
-1        ,19:00       ,33.3       ,23.0          ,32.9          ,33.4          ,29.4      ,32.4      ,33.3      ,33.2      ,32.6      ,15.6       ,15.6       ,16.7       ,56               ,56               ,58               ,0        ,0       ,1    ,
