GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,51          ,55          ,80          ,
0        ,49          ,57          ,58          ,
1        ,57          ,65          ,66          ,
2        ,63          ,69          ,71          ,
3        ,66          ,68          ,72          ,
4        ,61          ,65          ,69          ,
5        ,61          ,68          ,69          ,
6        ,64          ,70          ,72          ,
7        ,68          ,72          ,74          ,
8        ,67          ,72          ,76          ,
9        ,65          ,68          ,76          ,
10       ,66          ,69          ,75          ,
11       ,67          ,73          ,76          ,
12       ,68          ,69          ,79          ,
13       ,65          ,68          ,76          ,
14       ,64          ,67          ,75          ,
15       ,64          ,65          ,74          ,
16       ,56          ,67          ,76          ,
17       ,56          ,67          ,76          ,
18       ,53          ,69          ,76          ,
19       ,49          ,73          ,77          ,
20       ,69          ,72          ,77          ,
21       ,71          ,75          ,79          ,
22       ,68          ,73          ,80          ,
23       ,65          ,76          ,80          ,
24       ,65          ,70          ,81          ,
25       ,60          ,72          ,79          ,
26       ,66          ,68          ,100         ,
27       ,64          ,73          ,75          ,
28       ,63          ,75          ,79          ,
29       ,69          ,75          ,82          ,
30       ,66          ,73          ,81          ,
31       ,60          ,73          ,82          ,
32       ,54          ,75          ,80          ,
33       ,50          ,76          ,80          ,
34       ,48          ,74          ,82          ,
35       ,62          ,77          ,82          ,
36       ,63          ,78          ,83          ,
37       ,56          ,71          ,84          ,
38       ,50          ,77          ,79          ,
39       ,1           ,1           ,78          ,
40       ,1           ,1           ,1           ,
