GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,19.6        ,32.3        ,33.4        ,
0        ,31.8        ,34.7        ,34.9        ,
1        ,33.0        ,33.3        ,34.8        ,
2        ,32.2        ,32.6        ,34.2        ,
3        ,31.1        ,31.9        ,33.5        ,
4        ,30.3        ,31.3        ,32.7        ,
5        ,29.3        ,29.8        ,31.5        ,
6        ,28.7        ,29.5        ,30.6        ,
7        ,28.2        ,28.6        ,29.9        ,
8        ,27.9        ,28.3        ,29.5        ,
9        ,27.5        ,28.1        ,29.3        ,
10       ,27.0        ,27.5        ,28.8        ,
11       ,26.9        ,27.7        ,28.6        ,
12       ,26.1        ,26.9        ,28.3        ,
13       ,25.4        ,25.9        ,27.5        ,
14       ,24.9        ,25.4        ,27.3        ,
15       ,24.6        ,25.6        ,26.9        ,
16       ,24.5        ,25.0        ,27.0        ,
17       ,24.0        ,24.4        ,26.8        ,
18       ,23.4        ,24.2        ,27.0        ,
19       ,23.3        ,24.7        ,27.2        ,
20       ,23.6        ,24.3        ,26.0        ,
21       ,23.0        ,23.4        ,25.5        ,
22       ,21.6        ,22.2        ,25.0        ,
23       ,21.6        ,22.1        ,24.6        ,
24       ,20.9        ,21.4        ,24.2        ,
25       ,20.5        ,21.3        ,23.7        ,
26       ,20.8        ,22.2        ,23.5        ,
27       ,20.8        ,21.7        ,23.3        ,
28       ,20.0        ,20.2        ,22.6        ,
29       ,20.0        ,21.2        ,22.1        ,
30       ,19.5        ,19.9        ,21.9        ,
31       ,18.8        ,19.0        ,21.4        ,
32       ,18.3        ,19.5        ,21.2        ,
33       ,17.7        ,19.1        ,21.3        ,
34       ,17.6        ,18.6        ,21.0        ,
35       ,17.1        ,18.1        ,19.8        ,
36       ,16.6        ,18.1        ,19.4        ,
37       ,16.4        ,16.9        ,19.2        ,
38       ,1.2         ,7.2         ,18.8        ,
39       ,0.0         ,10.6        ,11.3        ,
40       ,10.4        ,10.7        ,10.9        ,
