GrowthDay,FeederTotal,ChangeTotal,Feeder_1,ChangeFeeder_1,Feeder_2,ChangeFeeder_2,Feeder_3,ChangeFeeder_3,Feeder_4,ChangeFeeder_4,
-1       ,721        ,不详         ,0       ,不详            ,721     ,不详            ,0       ,不详            ,0       ,不详            ,
0        ,0          ,-100       ,0       ,不详            ,0       ,-100          ,0       ,不详            ,0       ,不详            ,
1        ,332        ,不详         ,0       ,不详            ,332     ,不详            ,0       ,不详            ,0       ,不详            ,
2        ,334        ,0          ,0       ,不详            ,334     ,0             ,0       ,不详            ,0       ,不详            ,
3        ,328        ,-2         ,0       ,不详            ,328     ,-2            ,0       ,不详            ,0       ,不详            ,
4        ,452        ,38         ,0       ,不详            ,452     ,38            ,0       ,不详            ,0       ,不详            ,
5        ,560        ,23         ,0       ,不详            ,560     ,23            ,0       ,不详            ,0       ,不详            ,
6        ,972        ,73         ,0       ,不详            ,972     ,73            ,0       ,不详            ,0       ,不详            ,
7        ,1193       ,22         ,0       ,不详            ,1193    ,22            ,0       ,不详            ,0       ,不详            ,
8        ,1442       ,20         ,0       ,不详            ,1442    ,20            ,0       ,不详            ,0       ,不详            ,
9        ,1509       ,4          ,0       ,不详            ,1509    ,4             ,0       ,不详            ,0       ,不详            ,
10       ,1711       ,13         ,0       ,不详            ,1711    ,13            ,0       ,不详            ,0       ,不详            ,
11       ,1591       ,-8         ,0       ,不详            ,1591    ,-8            ,0       ,不详            ,0       ,不详            ,
12       ,1845       ,16         ,0       ,不详            ,1845    ,16            ,0       ,不详            ,0       ,不详            ,
13       ,2072       ,12         ,0       ,不详            ,2072    ,12            ,0       ,不详            ,0       ,不详            ,
14       ,2297       ,10         ,0       ,不详            ,2297    ,10            ,0       ,不详            ,0       ,不详            ,
15       ,2747       ,19         ,0       ,不详            ,2747    ,19            ,0       ,不详            ,0       ,不详            ,
16       ,2859       ,4          ,0       ,不详            ,2859    ,4             ,0       ,不详            ,0       ,不详            ,
17       ,2951       ,3          ,0       ,不详            ,2951    ,3             ,0       ,不详            ,0       ,不详            ,
18       ,3199       ,8          ,0       ,不详            ,3199    ,8             ,0       ,不详            ,0       ,不详            ,
19       ,3054       ,-5         ,0       ,不详            ,3054    ,-5            ,0       ,不详            ,0       ,不详            ,
20       ,3381       ,10         ,0       ,不详            ,3381    ,10            ,0       ,不详            ,0       ,不详            ,
21       ,3710       ,9          ,0       ,不详            ,3710    ,9             ,0       ,不详            ,0       ,不详            ,
22       ,4094       ,10         ,0       ,不详            ,4094    ,10            ,0       ,不详            ,0       ,不详            ,
23       ,4365       ,6          ,0       ,不详            ,4365    ,6             ,0       ,不详            ,0       ,不详            ,
24       ,4185       ,-5         ,0       ,不详            ,4185    ,-5            ,0       ,不详            ,0       ,不详            ,
25       ,4207       ,0          ,0       ,不详            ,4207    ,0             ,0       ,不详            ,0       ,不详            ,
26       ,4066       ,-4         ,0       ,不详            ,4066    ,-4            ,0       ,不详            ,0       ,不详            ,
27       ,4125       ,1          ,0       ,不详            ,4125    ,1             ,0       ,不详            ,0       ,不详            ,
28       ,4140       ,0          ,0       ,不详            ,4140    ,0             ,0       ,不详            ,0       ,不详            ,
29       ,4368       ,5          ,0       ,不详            ,4368    ,5             ,0       ,不详            ,0       ,不详            ,
30       ,4648       ,6          ,0       ,不详            ,4648    ,6             ,0       ,不详            ,0       ,不详            ,
31       ,5235       ,12         ,0       ,不详            ,5235    ,12            ,0       ,不详            ,0       ,不详            ,
32       ,5032       ,-4         ,0       ,不详            ,5032    ,-4            ,0       ,不详            ,0       ,不详            ,
33       ,4904       ,-3         ,0       ,不详            ,4904    ,-3            ,0       ,不详            ,0       ,不详            ,
34       ,5123       ,4          ,0       ,不详            ,5123    ,4             ,0       ,不详            ,0       ,不详            ,
35       ,4688       ,-9         ,0       ,不详            ,4688    ,-9            ,0       ,不详            ,0       ,不详            ,
36       ,4752       ,1          ,0       ,不详            ,4752    ,1             ,0       ,不详            ,0       ,不详            ,
37       ,4661       ,-2         ,0       ,不详            ,4661    ,-2            ,0       ,不详            ,0       ,不详            ,
38       ,3195       ,-32        ,0       ,不详            ,3195    ,-32           ,0       ,不详            ,0       ,不详            ,
39       ,36         ,-99        ,0       ,不详            ,36      ,-99           ,0       ,不详            ,0       ,不详            ,
40       ,0          ,-100       ,0       ,不详            ,0       ,-100          ,0       ,不详            ,0       ,不详            ,
