GrowthDay,TotalDrinkDaily,TotalDrinkChange,Water_1Daily,Water_1Change,Water_2Daily,Water_2Change,Water_3Daily,Water_3Change,Water_4Daily,Water_4Change,TotalWater,Coolpad,Fogger,Flushing,
-1       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
0        ,203            ,不详              ,203         ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,203       ,0      ,0     ,0       ,
1        ,472            ,132             ,472         ,132          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,472       ,0      ,0     ,0       ,
2        ,912            ,93              ,912         ,93           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,912       ,0      ,0     ,0       ,
3        ,1017           ,11              ,1017        ,11           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1017      ,0      ,0     ,0       ,
4        ,1541           ,51              ,1541        ,51           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1541      ,0      ,0     ,0       ,
5        ,1810           ,17              ,1810        ,17           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1810      ,0      ,0     ,0       ,
6        ,2007           ,10              ,2007        ,10           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2007      ,0      ,0     ,0       ,
7        ,2424           ,20              ,2424        ,20           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2424      ,0      ,0     ,0       ,
8        ,2753           ,13              ,2753        ,13           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2753      ,0      ,0     ,0       ,
9        ,2391           ,-14             ,2391        ,-14          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2391      ,0      ,0     ,0       ,
10       ,3052           ,27              ,3052        ,27           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3052      ,0      ,0     ,0       ,
11       ,3478           ,13              ,3478        ,13           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3478      ,0      ,0     ,0       ,
12       ,4234           ,21              ,4234        ,21           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4234      ,0      ,0     ,0       ,
13       ,4714           ,11              ,4714        ,11           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4714      ,0      ,0     ,0       ,
14       ,5217           ,10              ,5217        ,10           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5217      ,0      ,0     ,0       ,
15       ,5485           ,5               ,5485        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5485      ,0      ,0     ,0       ,
16       ,5770           ,5               ,5770        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5770      ,0      ,0     ,0       ,
17       ,6021           ,4               ,6021        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6021      ,0      ,0     ,0       ,
18       ,6162           ,2               ,6162        ,2            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6162      ,0      ,0     ,0       ,
19       ,6636           ,7               ,6636        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6636      ,0      ,0     ,0       ,
20       ,7179           ,8               ,7179        ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7179      ,0      ,0     ,0       ,
21       ,7707           ,7               ,7707        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7707      ,0      ,0     ,0       ,
22       ,7621           ,-2              ,7621        ,-2           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7621      ,0      ,0     ,0       ,
23       ,7787           ,2               ,7787        ,2            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7787      ,0      ,0     ,0       ,
24       ,8330           ,6               ,8330        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8330      ,0      ,0     ,0       ,
25       ,8616           ,3               ,8616        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8616      ,0      ,0     ,0       ,
26       ,8903           ,3               ,8903        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8903      ,0      ,0     ,0       ,
27       ,9294           ,4               ,9294        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9294      ,0      ,0     ,0       ,
28       ,9020           ,-3              ,9020        ,-3           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9020      ,0      ,0     ,0       ,
29       ,8794           ,-3              ,8794        ,-3           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8794      ,0      ,0     ,0       ,
30       ,9206           ,4               ,9206        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9206      ,0      ,0     ,0       ,
31       ,9315           ,1               ,9315        ,1            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9315      ,0      ,0     ,0       ,
32       ,8672           ,-7              ,8672        ,-7           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8672      ,0      ,0     ,0       ,
33       ,8223           ,-6              ,8223        ,-6           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8223      ,0      ,0     ,0       ,
34       ,7443           ,-10             ,7443        ,-10          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7443      ,0      ,0     ,0       ,
35       ,8082           ,8               ,8082        ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8082      ,0      ,0     ,0       ,
36       ,8218           ,1               ,8218        ,1            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8218      ,0      ,0     ,0       ,
37       ,9675           ,17              ,9675        ,17           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9675      ,0      ,0     ,0       ,
38       ,4339           ,-56             ,4339        ,-56          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4339      ,0      ,0     ,0       ,
39       ,0              ,-100            ,0           ,-100         ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
40       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
