GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,81          ,86          ,100         ,
0        ,71          ,77          ,86          ,
1        ,67          ,71          ,82          ,
2        ,58          ,62          ,72          ,
3        ,57          ,59          ,66          ,
4        ,51          ,55          ,62          ,
5        ,51          ,60          ,64          ,
6        ,53          ,64          ,68          ,
7        ,55          ,66          ,70          ,
8        ,58          ,65          ,74          ,
9        ,60          ,67          ,77          ,
10       ,61          ,67          ,78          ,
11       ,62          ,67          ,80          ,
12       ,62          ,65          ,85          ,
13       ,63          ,65          ,85          ,
14       ,62          ,68          ,84          ,
15       ,64          ,68          ,86          ,
16       ,65          ,75          ,86          ,
17       ,71          ,73          ,91          ,
18       ,70          ,78          ,91          ,
19       ,66          ,72          ,91          ,
20       ,66          ,70          ,89          ,
21       ,62          ,75          ,91          ,
22       ,63          ,77          ,92          ,
23       ,60          ,78          ,90          ,
24       ,66          ,76          ,92          ,
25       ,68          ,77          ,91          ,
26       ,67          ,76          ,94          ,
27       ,68          ,77          ,93          ,
28       ,69          ,73          ,91          ,
29       ,68          ,73          ,93          ,
30       ,68          ,76          ,93          ,
31       ,73          ,75          ,93          ,
32       ,70          ,79          ,93          ,
33       ,69          ,76          ,95          ,
34       ,68          ,76          ,93          ,
35       ,67          ,75          ,95          ,
36       ,62          ,77          ,95          ,
37       ,47          ,86          ,100         ,
