GROWTH_DAY,HISTORY_TIME,TARGET_TEMP,HOUSE_TEMP_MIN,HOUSE_TEMP_AVG,HOUSE_TEMP_MAX,TEMP_1_AVG,TEMP_2_AVG,TEMP_3_AVG,TEMP_4_AVG,TEMP_5_AVG,TEMP_6_AVG,OUTSIDE_AVG,HUMIDITY_IN_1_AVG,HUMIDITY_OUT_AVG,WATER_CON,FEED_CON,LEVEL,
15        ,16:00       ,26.3       ,25.2          ,25.4          ,26.3          ,24.4      ,26.0      ,25.3      ,25.3      ,25.9      ,7.3       ,7.3        ,70.9             ,---             ,230      ,0       ,7    ,
15        ,17:00       ,26.3       ,24.8          ,25.3          ,26.1          ,24.2      ,25.0      ,25.3      ,25.8      ,26.0      ,5.4       ,5.4        ,67.8             ,---             ,230      ,688     ,7    ,
15        ,18:00       ,26.3       ,24.3          ,24.7          ,25.9          ,24.1      ,25.0      ,24.9      ,25.1      ,24.4      ,2.3       ,2.3        ,69.8             ,---             ,260      ,0       ,6    ,
15        ,19:00       ,26.3       ,24.3          ,24.9          ,26.1          ,24.2      ,25.1      ,25.1      ,25.3      ,24.7      ,0.6       ,0.6        ,74.8             ,---             ,270      ,0       ,5    ,
15        ,20:00       ,26.2       ,24.5          ,25.0          ,25.9          ,24.2      ,25.3      ,25.3      ,25.5      ,24.6      ,2.5       ,2.5        ,72.6             ,---             ,270      ,0       ,5    ,
15        ,21:00       ,26.2       ,24.3          ,24.8          ,25.9          ,24.2      ,25.4      ,25.2      ,24.7      ,24.2      ,1.7       ,1.7        ,75.5             ,---             ,260      ,533     ,5    ,
15        ,22:00       ,26.2       ,24.2          ,24.6          ,26.1          ,24.0      ,25.3      ,25.1      ,24.3      ,24.1      ,-0.2      ,-0.2       ,73.8             ,---             ,170      ,0       ,5    ,
15        ,23:00       ,26.2       ,24.0          ,25.2          ,25.9          ,24.0      ,25.1      ,25.0      ,25.8      ,26.2      ,-0.2      ,-0.2       ,64.9             ,---             ,0        ,0       ,1    ,
15        ,00:00       ,26.2       ,24.3          ,25.2          ,25.8          ,24.0      ,25.0      ,25.1      ,25.7      ,26.0      ,-1.2      ,-1.2       ,63.9             ,---             ,0        ,0       ,1    ,
16        ,01:00       ,26.2       ,24.4          ,24.6          ,25.6          ,23.8      ,25.0      ,24.5      ,24.6      ,25.1      ,-1.4      ,-1.4       ,68.9             ,---             ,0        ,0       ,1    ,
16        ,02:00       ,26.4       ,24.1          ,24.7          ,26.2          ,24.3      ,25.3      ,25.0      ,24.5      ,24.3      ,1.4       ,1.4        ,67.9             ,---             ,0        ,0       ,1    ,
16        ,03:00       ,26.3       ,24.7          ,25.3          ,26.6          ,24.1      ,25.1      ,25.3      ,26.0      ,26.1      ,1.6       ,1.6        ,72.7             ,---             ,380      ,0       ,1    ,
16        ,04:00       ,26.2       ,24.3          ,24.8          ,26.1          ,24.2      ,25.0      ,25.2      ,24.8      ,24.5      ,1.4       ,1.4        ,73.9             ,---             ,240      ,0       ,1    ,
16        ,05:00       ,26.1       ,24.3          ,24.8          ,26.1          ,24.1      ,25.3      ,25.1      ,25.1      ,24.4      ,1.5       ,1.5        ,75.9             ,---             ,330      ,353     ,1    ,
16        ,06:00       ,26.1       ,24.4          ,24.8          ,25.9          ,24.2      ,25.0      ,25.3      ,24.7      ,24.6      ,2.8       ,2.8        ,75.3             ,---             ,280      ,0       ,1    ,
16        ,07:00       ,26.1       ,24.4          ,24.8          ,25.8          ,24.1      ,25.5      ,25.1      ,24.8      ,24.6      ,3.1       ,3.1        ,74.9             ,---             ,270      ,0       ,2    ,
16        ,08:00       ,26.1       ,24.3          ,25.2          ,26.0          ,24.4      ,25.8      ,25.3      ,25.3      ,25.2      ,4.1       ,4.1        ,74.8             ,---             ,260      ,0       ,3    ,
16        ,09:00       ,26.0       ,24.7          ,25.3          ,26.0          ,24.2      ,25.6      ,25.1      ,25.8      ,25.7      ,5.2       ,5.2        ,71.9             ,---             ,200      ,0       ,3    ,
16        ,10:00       ,26.0       ,24.7          ,25.1          ,26.0          ,24.1      ,26.1      ,25.1      ,25.1      ,25.1      ,6.9       ,6.9        ,74.9             ,---             ,190      ,12      ,3    ,
16        ,11:00       ,26.0       ,24.5          ,24.7          ,25.8          ,24.4      ,25.0      ,24.8      ,24.7      ,24.5      ,8.8       ,8.8        ,71.6             ,---             ,280      ,868     ,4    ,
16        ,12:00       ,26.0       ,24.6          ,25.6          ,25.8          ,26.0      ,26.5      ,25.8      ,25.0      ,24.6      ,8.8       ,8.8        ,72.8             ,---             ,330      ,0       ,5    ,
16        ,13:00       ,26.0       ,24.4          ,25.2          ,26.3          ,25.6      ,25.9      ,25.0      ,25.1      ,24.6      ,9.6       ,9.6        ,72.8             ,---             ,210      ,0       ,5    ,
16        ,14:00       ,26.0       ,24.5          ,25.0          ,25.9          ,25.6      ,25.4      ,24.8      ,24.7      ,24.6      ,9.1       ,9.1        ,71.8             ,---             ,220      ,0       ,5    ,
16        ,15:00       ,26.0       ,24.5          ,24.8          ,25.7          ,24.6      ,25.5      ,24.9      ,24.6      ,24.6      ,8.9       ,8.9        ,72.7             ,---             ,240      ,3       ,4    ,
16        ,16:00       ,25.9       ,24.4          ,24.6          ,25.8          ,24.0      ,25.2      ,24.8      ,24.6      ,24.5      ,8.0       ,8.0        ,73.6             ,---             ,220      ,0       ,4    ,
16        ,17:00       ,25.9       ,24.7          ,25.1          ,25.9          ,24.5      ,25.3      ,24.9      ,25.1      ,25.6      ,7.2       ,7.2        ,74.9             ,---             ,230      ,669     ,3    ,
16        ,18:00       ,25.9       ,24.5          ,24.7          ,25.8          ,23.9      ,24.9      ,24.8      ,24.8      ,25.2      ,6.3       ,6.3        ,76.7             ,---             ,260      ,0       ,3    ,
16        ,19:00       ,25.9       ,24.5          ,24.9          ,25.7          ,24.7      ,25.8      ,24.8      ,24.8      ,24.4      ,6.1       ,6.1        ,75.9             ,---             ,260      ,0       ,3    ,
