GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,18.3        ,33.4        ,34.0        ,
0        ,30.3        ,34.3        ,35.3        ,
1        ,32.6        ,33.9        ,35.2        ,
2        ,31.8        ,32.9        ,34.4        ,
3        ,30.7        ,32.2        ,33.7        ,
4        ,30.0        ,30.6        ,32.9        ,
5        ,28.7        ,29.9        ,32.3        ,
6        ,28.0        ,29.0        ,31.2        ,
7        ,27.6        ,28.2        ,30.3        ,
8        ,26.8        ,28.8        ,30.0        ,
9        ,26.5        ,28.0        ,29.4        ,
10       ,26.0        ,26.1        ,29.2        ,
11       ,25.5        ,26.3        ,28.4        ,
12       ,25.1        ,26.6        ,27.7        ,
13       ,25.0        ,26.0        ,27.3        ,
14       ,24.7        ,26.4        ,27.0        ,
15       ,24.0        ,25.3        ,26.6        ,
16       ,24.1        ,25.3        ,26.6        ,
17       ,23.3        ,24.1        ,25.8        ,
18       ,23.0        ,24.1        ,25.6        ,
19       ,22.3        ,23.0        ,26.1        ,
20       ,21.8        ,23.5        ,25.5        ,
21       ,21.9        ,23.2        ,25.8        ,
22       ,21.3        ,22.7        ,24.3        ,
23       ,20.9        ,21.4        ,24.3        ,
24       ,21.1        ,22.0        ,24.6        ,
25       ,20.5        ,21.5        ,24.1        ,
26       ,20.4        ,21.7        ,23.7        ,
27       ,21.1        ,22.3        ,23.8        ,
28       ,20.3        ,21.1        ,24.1        ,
29       ,19.8        ,21.6        ,24.4        ,
30       ,19.5        ,20.6        ,24.0        ,
31       ,19.2        ,20.7        ,23.7        ,
32       ,18.8        ,20.2        ,23.3        ,
33       ,18.9        ,20.4        ,23.4        ,
34       ,19.0        ,20.4        ,25.0        ,
35       ,18.4        ,19.5        ,23.5        ,
36       ,18.2        ,18.7        ,23.2        ,
