GrowthDay,TotalDrinkDaily,TotalDrinkChange,Water_1Daily,Water_1Change,Water_2Daily,Water_2Change,Water_3Daily,Water_3Change,Water_4Daily,Water_4Change,TotalWater,Coolpad,Fogger,Flushing,
-1       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
0        ,130            ,不详              ,130         ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,130       ,0      ,0     ,0       ,
1        ,500            ,284             ,500         ,284          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,500       ,0      ,0     ,0       ,
2        ,680            ,36              ,680         ,36           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,680       ,0      ,0     ,0       ,
3        ,1080           ,58              ,1080        ,58           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1080      ,0      ,0     ,0       ,
4        ,1460           ,35              ,1460        ,35           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1460      ,0      ,0     ,0       ,
5        ,1760           ,20              ,1760        ,20           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1760      ,0      ,0     ,0       ,
6        ,2020           ,14              ,2020        ,14           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2020      ,0      ,0     ,0       ,
7        ,1910           ,-6              ,1910        ,-6           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1910      ,0      ,0     ,0       ,
8        ,2380           ,24              ,2380        ,24           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2380      ,0      ,0     ,0       ,
9        ,2830           ,18              ,2830        ,18           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2830      ,0      ,0     ,0       ,
10       ,3090           ,9               ,3090        ,9            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3090      ,0      ,0     ,0       ,
11       ,3480           ,12              ,3480        ,12           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3480      ,0      ,0     ,0       ,
12       ,3740           ,7               ,3740        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3740      ,0      ,0     ,0       ,
13       ,4190           ,12              ,4190        ,12           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4190      ,0      ,0     ,0       ,
14       ,4560           ,8               ,4560        ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4560      ,0      ,0     ,0       ,
15       ,4810           ,5               ,4810        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4810      ,0      ,0     ,0       ,
16       ,5150           ,7               ,5150        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5150      ,0      ,0     ,0       ,
17       ,5730           ,11              ,5730        ,11           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5730      ,0      ,0     ,0       ,
18       ,5870           ,2               ,5870        ,2            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5870      ,0      ,0     ,0       ,
19       ,6170           ,5               ,6170        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6170      ,0      ,0     ,0       ,
20       ,7030           ,13              ,7030        ,13           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7030      ,0      ,0     ,0       ,
21       ,7760           ,10              ,7760        ,10           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7760      ,0      ,0     ,0       ,
22       ,7420           ,-5              ,7420        ,-5           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7420      ,0      ,0     ,0       ,
23       ,7460           ,0               ,7460        ,0            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7460      ,0      ,0     ,0       ,
24       ,7570           ,1               ,7570        ,1            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7570      ,0      ,0     ,0       ,
25       ,8200           ,8               ,8200        ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8200      ,0      ,0     ,0       ,
26       ,8080           ,-2              ,8080        ,-2           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8080      ,0      ,0     ,0       ,
27       ,8370           ,3               ,8370        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8370      ,0      ,0     ,0       ,
28       ,8990           ,7               ,8990        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8990      ,0      ,0     ,0       ,
29       ,9300           ,3               ,9300        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9300      ,0      ,0     ,0       ,
30       ,10150          ,9               ,10150       ,9            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10150     ,0      ,0     ,0       ,
31       ,10160          ,0               ,10160       ,0            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10160     ,0      ,0     ,0       ,
32       ,9330           ,-9              ,9330        ,-9           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9330      ,0      ,0     ,0       ,
33       ,9980           ,6               ,9980        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9980      ,0      ,0     ,0       ,
34       ,9620           ,-4              ,9620        ,-4           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9620      ,0      ,0     ,0       ,
35       ,9600           ,不详              ,9600        ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9600      ,0      ,0     ,0       ,
36       ,10230          ,6               ,10230       ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,10230     ,0      ,0     ,0       ,
