GrowthDay,PerBird,FeederTotal,ChangeTotal,Feeder_1,ChangeFeeder_1,Feeder_2,ChangeFeeder_2,Feeder_3,ChangeFeeder_3,Feeder_4,ChangeFeeder_4,
-1       ,0.000  ,0          ,不详         ,0       ,不详            ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
0        ,0.000  ,917        ,不详         ,917     ,不详            ,0       ,0             ,0       ,0             ,0       ,0             ,
1        ,0.000  ,0          ,-100       ,0       ,-100          ,0       ,0             ,0       ,0             ,0       ,0             ,
2        ,0.000  ,0          ,0          ,0       ,0             ,0       ,0             ,0       ,0             ,0       ,0             ,
3        ,0.000  ,770        ,不详         ,770     ,不详            ,0       ,0             ,0       ,0             ,0       ,0             ,
4        ,0.000  ,523        ,-33        ,523     ,-33           ,0       ,0             ,0       ,0             ,0       ,0             ,
5        ,0.000  ,404        ,-23        ,404     ,-23           ,0       ,0             ,0       ,0             ,0       ,0             ,
6        ,0.000  ,926        ,129        ,926     ,129           ,0       ,0             ,0       ,0             ,0       ,0             ,
7        ,0.000  ,890        ,-4         ,890     ,-4            ,0       ,0             ,0       ,0             ,0       ,0             ,
8        ,0.000  ,826        ,-8         ,826     ,-8            ,0       ,0             ,0       ,0             ,0       ,0             ,
9        ,0.000  ,1082       ,31         ,1082    ,31            ,0       ,0             ,0       ,0             ,0       ,0             ,
10       ,0.000  ,1615       ,49         ,1615    ,49            ,0       ,0             ,0       ,0             ,0       ,0             ,
11       ,0.000  ,1605       ,不详         ,1605    ,不详            ,0       ,0             ,0       ,0             ,0       ,0             ,
12       ,0.000  ,1706       ,6          ,1706    ,6             ,0       ,0             ,0       ,0             ,0       ,0             ,
13       ,0.000  ,2055       ,20         ,2055    ,20            ,0       ,0             ,0       ,0             ,0       ,0             ,
14       ,0.000  ,2146       ,4          ,2146    ,4             ,0       ,0             ,0       ,0             ,0       ,0             ,
15       ,0.000  ,2624       ,22         ,2624    ,22            ,0       ,0             ,0       ,0             ,0       ,0             ,
16       ,0.000  ,2257       ,-14        ,2257    ,-14           ,0       ,0             ,0       ,0             ,0       ,0             ,
17       ,0.000  ,2504       ,10         ,2504    ,10            ,0       ,0             ,0       ,0             ,0       ,0             ,
18       ,0.000  ,2614       ,4          ,2614    ,4             ,0       ,0             ,0       ,0             ,0       ,0             ,
19       ,0.000  ,2798       ,7          ,2798    ,7             ,0       ,0             ,0       ,0             ,0       ,0             ,
20       ,0.000  ,2926       ,4          ,2926    ,4             ,0       ,0             ,0       ,0             ,0       ,0             ,
21       ,0.000  ,3110       ,6          ,3110    ,6             ,0       ,0             ,0       ,0             ,0       ,0             ,
22       ,0.000  ,3330       ,7          ,3330    ,7             ,0       ,0             ,0       ,0             ,0       ,0             ,
23       ,0.000  ,3440       ,3          ,3440    ,3             ,0       ,0             ,0       ,0             ,0       ,0             ,
24       ,0.000  ,3568       ,3          ,3568    ,3             ,0       ,0             ,0       ,0             ,0       ,0             ,
25       ,0.000  ,3660       ,2          ,3660    ,2             ,0       ,0             ,0       ,0             ,0       ,0             ,
26       ,0.000  ,3605       ,-2         ,3605    ,-2            ,0       ,0             ,0       ,0             ,0       ,0             ,
27       ,0.000  ,3440       ,-5         ,3440    ,-5            ,0       ,0             ,0       ,0             ,0       ,0             ,
28       ,0.000  ,3972       ,15         ,3972    ,15            ,0       ,0             ,0       ,0             ,0       ,0             ,
29       ,0.000  ,4036       ,1          ,4036    ,1             ,0       ,0             ,0       ,0             ,0       ,0             ,
30       ,0.000  ,3733       ,-8         ,3733    ,-8            ,0       ,0             ,0       ,0             ,0       ,0             ,
31       ,0.000  ,3752       ,0          ,3752    ,0             ,0       ,0             ,0       ,0             ,0       ,0             ,
32       ,0.000  ,3788       ,0          ,3788    ,0             ,0       ,0             ,0       ,0             ,0       ,0             ,
33       ,0.000  ,4100       ,8          ,4100    ,8             ,0       ,0             ,0       ,0             ,0       ,0             ,
34       ,0.000  ,4064       ,不详         ,4064    ,不详            ,0       ,0             ,0       ,0             ,0       ,0             ,
35       ,0.000  ,4091       ,0          ,4091    ,0             ,0       ,0             ,0       ,0             ,0       ,0             ,
36       ,0.000  ,5229       ,27         ,5229    ,27            ,0       ,0             ,0       ,0             ,0       ,0             ,
37       ,0.000  ,293        ,-95        ,293     ,-95           ,0       ,0             ,0       ,0             ,0       ,0             ,
38       ,0.000  ,0          ,-100       ,0       ,-100          ,0       ,0             ,0       ,0             ,0       ,0             ,
