Message,GrowthDay,Time,
报警测试   ,25       ,11:20:00,
最小通风   ,25       ,18:24:05,
管理员登陆  ,25       ,19:41:13,
系统锁定   ,25       ,19:46:21,
管理员登陆  ,25       ,21:43:23,
更改开关   ,25       ,21:43:26,
更改开关   ,25       ,21:44:08,
更改开关   ,25       ,21:44:21,
更改开关   ,25       ,21:45:18,
更改开关   ,25       ,21:45:19,
更改开关   ,25       ,21:45:28,
系统锁定   ,25       ,21:50:28,
隧道通风   ,26       ,10:58:02,
报警测试   ,26       ,11:20:00,
最小通风   ,26       ,20:02:29,
管理员登陆  ,27       ,03:18:17,
更改开关   ,27       ,03:18:20,
更改开关   ,27       ,03:19:07,
系统锁定   ,27       ,03:24:08,
隧道通风   ,27       ,07:51:19,
最小通风   ,27       ,07:55:24,
隧道通风   ,27       ,08:06:07,
报警测试   ,27       ,11:20:00,
最小通风   ,27       ,22:07:00,
管理员登陆  ,27       ,23:21:26,
更改开关   ,27       ,23:21:28,
更改开关   ,27       ,23:22:00,
更改开关   ,27       ,23:23:02,
系统锁定   ,27       ,23:29:18,
隧道通风   ,28       ,07:52:23,
报警测试   ,28       ,11:20:00,
备用设置提醒 ,28       ,14:10:22,
管理员登陆  ,28       ,19:55:14,
系统锁定   ,28       ,20:01:07,
最小通风   ,28       ,22:31:13,
管理员登陆  ,28       ,23:24:13,
更改开关   ,28       ,23:24:16,
更改开关   ,28       ,23:24:18,
更改开关   ,28       ,23:26:10,
更改开关   ,28       ,23:27:11,
系统锁定   ,28       ,23:33:20,
管理员登陆  ,29       ,05:42:01,
系统锁定   ,29       ,05:47:10,
隧道通风   ,29       ,08:23:16,
报警测试   ,29       ,11:20:00,
报警测试   ,30       ,11:20:00,
最小通风   ,31       ,01:06:01,
报警测试   ,31       ,11:20:00,
隧道通风   ,31       ,13:25:13,
最小通风   ,31       ,13:31:26,
隧道通风   ,31       ,14:04:25,
最小通风   ,31       ,18:05:10,
管理员登陆  ,31       ,19:31:22,
更改开关   ,31       ,19:31:25,
更改开关   ,31       ,19:31:26,
更改开关   ,31       ,19:32:22,
系统锁定   ,31       ,19:39:08,
备用设置提醒 ,32       ,05:32:11,
隧道通风   ,32       ,07:55:13,
报警测试   ,32       ,11:20:00,
最小通风   ,32       ,21:03:28,
管理员登陆  ,32       ,22:31:20,
更改开关   ,32       ,22:31:22,
更改开关   ,32       ,22:31:24,
更改开关   ,32       ,22:32:27,
更改开关   ,32       ,22:33:25,
更改开关   ,32       ,22:33:26,
更改开关   ,32       ,22:33:28,
更改开关   ,32       ,22:34:07,
更改开关   ,32       ,22:34:10,
更改开关   ,32       ,22:34:12,
系统锁定   ,32       ,22:39:12,
隧道通风   ,33       ,07:31:23,
报警测试   ,33       ,11:20:00,
最小通风   ,34       ,01:16:13,
报警测试   ,34       ,11:20:00,
管理员登陆  ,34       ,13:19:28,
更改开关   ,34       ,13:20:01,
更改开关   ,34       ,13:20:02,
更改开关   ,34       ,13:21:01,
系统锁定   ,34       ,13:26:22,
隧道通风   ,35       ,09:12:15,
报警测试   ,35       ,11:20:00,
备用设置提醒 ,36       ,00:31:21,
报警测试   ,36       ,11:20:00,
最小通风   ,37       ,02:57:24,
隧道通风   ,37       ,05:04:16,
最小通风   ,37       ,05:22:19,
隧道通风   ,37       ,06:39:29,
报警测试   ,37       ,11:20:00,
报警测试   ,38       ,11:20:00,
备用设置提醒 ,38       ,14:55:20,
管理员登陆  ,38       ,15:42:10,
系统锁定   ,38       ,15:47:10,
管理员登陆  ,38       ,15:52:24,
更改开关   ,38       ,15:52:24,
系统锁定   ,38       ,16:03:00,
空鸡舍模式  ,38       ,18:29:15,
最小通风   ,38       ,23:08:18,
管理员登陆  ,39       ,04:56:11,
更改开关   ,39       ,04:56:19,
更改开关   ,39       ,04:58:29,
系统锁定   ,39       ,05:03:29,
报警测试   ,39       ,11:20:00,
报警测试   ,40       ,11:20:00,
电源关闭   ,40       ,15:42:15,
电源开启   ,40       ,05:55:05,
电源关闭   ,40       ,05:55:05,
电源开启   ,40       ,15:00:28,
报警测试   ,42       ,11:20:00,
报警测试   ,43       ,11:20:00,
报警测试   ,44       ,11:20:00,
报警测试   ,45       ,11:20:00,
报警测试   ,46       ,11:20:00,
报警测试   ,47       ,11:20:00,
电源关闭   ,48       ,08:01:29,
电源开启   ,48       ,10:09:07,
报警测试   ,48       ,11:20:00,
报警测试   ,49       ,11:20:00,
报警测试   ,50       ,11:20:00,
管理员登陆  ,51       ,08:56:09,
更改开关   ,51       ,08:56:09,
更改开关   ,51       ,09:02:10,
系统锁定   ,51       ,09:07:10,
报警测试   ,51       ,11:20:00,
管理员登陆  ,52       ,09:01:10,
更改开关   ,52       ,09:01:16,
系统锁定   ,52       ,09:06:16,
管理员登陆  ,52       ,09:11:28,
更改开关   ,52       ,09:11:28,
系统锁定   ,52       ,09:16:28,
管理员登陆  ,52       ,09:22:13,
更改开关   ,52       ,09:22:16,
系统锁定   ,52       ,09:27:16,
管理员登陆  ,52       ,09:29:15,
更改开关   ,52       ,09:29:16,
系统锁定   ,52       ,09:34:16,
管理员登陆  ,52       ,09:39:20,
更改开关   ,52       ,09:39:20,
系统锁定   ,52       ,09:44:20,
管理员登陆  ,52       ,09:54:20,
更改开关   ,52       ,09:54:20,
系统锁定   ,52       ,09:59:20,
管理员登陆  ,52       ,10:12:06,
更改开关   ,52       ,10:12:06,
更改开关   ,52       ,10:13:26,
更改开关   ,52       ,10:18:14,
更改开关   ,52       ,10:19:01,
系统锁定   ,52       ,10:24:01,
报警测试   ,52       ,11:20:00,
管理员登陆  ,52       ,14:36:23,
新的鸡群   ,-1       ,14:36:29,
更改的日龄  ,-1       ,14:36:29,
更改开关   ,-1       ,14:37:14,
系统锁定   ,-1       ,14:42:17,
报警测试   ,0        ,11:20:00,
管理员登陆  ,0        ,16:52:02,
普通鸡舍模式 ,0        ,16:52:06,
备用设置提醒 ,0        ,16:52:06,
系统锁定   ,0        ,16:57:07,
报警测试   ,1        ,11:20:00,
报警测试   ,2        ,11:20:00,
备用设置提醒 ,2        ,15:08:22,
报警测试   ,3        ,11:20:00,
报警测试   ,4        ,11:20:00,
备用设置提醒 ,4        ,12:24:05,
管理员登陆  ,5        ,11:06:03,
更改开关   ,5        ,11:06:04,
系统锁定   ,5        ,11:11:10,
报警测试   ,5        ,11:20:00,
管理员登陆  ,5        ,13:44:03,
更改开关   ,5        ,13:44:03,
系统锁定   ,5        ,13:49:03,
备用设置提醒 ,6        ,09:39:18,
报警测试   ,6        ,11:20:00,
报警测试   ,7        ,11:20:00,
报警测试   ,8        ,11:20:00,
报警测试   ,9        ,11:20:00,
备用设置提醒 ,9        ,12:38:16,
报警测试   ,10       ,11:20:00,
报警测试   ,11       ,11:20:00,
报警测试   ,12       ,11:20:00,
报警测试   ,13       ,11:20:00,
备用设置提醒 ,14       ,01:28:13,
报警测试   ,14       ,11:20:00,
隧道通风   ,15       ,10:15:28,
最小通风   ,15       ,10:21:01,
报警测试   ,15       ,11:20:00,
隧道通风   ,15       ,11:42:00,
最小通风   ,15       ,12:39:07,
隧道通风   ,15       ,13:15:26,
最小通风   ,15       ,13:24:02,
隧道通风   ,15       ,13:51:17,
最小通风   ,15       ,17:20:20,
隧道通风   ,16       ,08:28:15,
最小通风   ,16       ,10:27:18,
报警测试   ,16       ,11:20:00,
隧道通风   ,16       ,13:11:20,
最小通风   ,16       ,14:08:19,
隧道通风   ,16       ,14:20:18,
