GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,32.5        ,32.6        ,34.1        ,
0        ,32.2        ,35.2        ,36.3        ,
1        ,33.2        ,33.5        ,35.5        ,
2        ,32.3        ,32.6        ,34.5        ,
3        ,31.3        ,31.4        ,33.1        ,
4        ,30.5        ,31.2        ,32.3        ,
5        ,29.4        ,30.5        ,31.6        ,
6        ,28.9        ,29.8        ,30.8        ,
7        ,28.9        ,30.4        ,30.7        ,
8        ,28.5        ,29.0        ,30.5        ,
9        ,27.8        ,28.3        ,30.3        ,
10       ,27.0        ,28.1        ,29.4        ,
11       ,26.6        ,27.3        ,28.9        ,
12       ,26.6        ,28.5        ,28.7        ,
13       ,26.5        ,27.1        ,28.6        ,
14       ,26.0        ,26.9        ,28.4        ,
15       ,25.6        ,26.6        ,27.5        ,
16       ,24.8        ,25.9        ,27.4        ,
17       ,24.5        ,25.4        ,26.5        ,
18       ,24.2        ,25.2        ,26.3        ,
19       ,23.9        ,24.5        ,25.8        ,
20       ,23.7        ,24.2        ,25.5        ,
21       ,23.3        ,23.9        ,25.5        ,
22       ,23.1        ,25.2        ,25.5        ,
23       ,22.9        ,23.6        ,25.3        ,
24       ,22.7        ,23.1        ,25.1        ,
25       ,22.3        ,23.0        ,25.5        ,
26       ,22.2        ,22.6        ,24.5        ,
27       ,21.9        ,23.3        ,24.3        ,
28       ,21.7        ,22.4        ,24.2        ,
29       ,20.6        ,21.9        ,23.7        ,
30       ,20.3        ,20.7        ,23.3        ,
31       ,20.0        ,21.6        ,22.7        ,
32       ,19.7        ,21.0        ,22.7        ,
33       ,19.5        ,20.5        ,23.9        ,
34       ,19.0        ,19.1        ,22.7        ,
35       ,18.2        ,18.9        ,22.9        ,
36       ,17.6        ,18.9        ,21.9        ,
37       ,6.4         ,7.2         ,23.0        ,
38       ,5.1         ,13.3        ,13.4        ,
