GrowthDay,Heater_1,Heater_2,Heater_3,Heater_4,Heater_5,Heater_6,Heater_7,Heater_8,Heater_9,Heater_10,Heater_11,Heater_12,Heater_13,Heater_14,Heater_15,Heater_16,
-1       ,00:22   ,03:42   ,00:31   ,00:02   ,00:08   ,03:17   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
0        ,07:09   ,13:17   ,06:46   ,02:52   ,03:15   ,17:52   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
1        ,09:15   ,04:13   ,05:54   ,06:15   ,04:49   ,14:33   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
2        ,07:40   ,03:56   ,03:37   ,06:21   ,02:57   ,12:58   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
3        ,05:33   ,02:00   ,02:29   ,05:27   ,01:00   ,13:21   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
4        ,05:34   ,00:08   ,04:44   ,04:21   ,00:02   ,11:22   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
5        ,05:30   ,00:01   ,04:52   ,02:22   ,00:06   ,09:27   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
6        ,06:57   ,00:00   ,06:24   ,02:49   ,00:11   ,10:47   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
7        ,06:23   ,01:19   ,07:24   ,02:08   ,01:21   ,11:04   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
8        ,04:58   ,03:49   ,06:22   ,03:01   ,01:20   ,08:06   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
9        ,05:00   ,02:10   ,04:51   ,01:30   ,01:05   ,08:55   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
10       ,05:03   ,03:31   ,06:05   ,01:12   ,02:00   ,07:11   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
11       ,05:45   ,03:38   ,06:03   ,01:33   ,03:37   ,07:54   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
12       ,06:49   ,02:30   ,06:30   ,01:19   ,02:39   ,08:00   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
13       ,05:56   ,02:36   ,06:26   ,01:03   ,03:37   ,04:31   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
14       ,05:35   ,02:54   ,07:18   ,00:02   ,05:04   ,03:26   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
15       ,06:08   ,01:54   ,06:56   ,00:08   ,04:06   ,02:50   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
16       ,06:11   ,02:37   ,07:26   ,00:01   ,04:41   ,02:43   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
17       ,07:14   ,04:15   ,06:43   ,00:23   ,07:47   ,03:01   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
18       ,06:58   ,03:06   ,05:03   ,01:43   ,06:50   ,02:16   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
19       ,04:57   ,02:55   ,03:37   ,02:20   ,03:57   ,01:51   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
20       ,03:41   ,01:56   ,03:00   ,00:26   ,02:14   ,00:53   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
21       ,06:02   ,04:26   ,05:21   ,02:02   ,03:02   ,01:17   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
22       ,06:06   ,03:52   ,04:57   ,01:32   ,02:22   ,00:50   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
23       ,04:36   ,03:12   ,03:35   ,01:06   ,01:23   ,00:27   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
24       ,03:47   ,03:49   ,03:59   ,01:49   ,01:07   ,01:55   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
25       ,03:31   ,02:27   ,03:42   ,00:36   ,01:27   ,02:40   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
26       ,02:34   ,02:42   ,02:53   ,00:16   ,00:11   ,01:29   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
27       ,01:40   ,02:10   ,02:34   ,00:06   ,00:01   ,01:03   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
28       ,00:48   ,02:19   ,02:35   ,00:07   ,00:07   ,00:38   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
29       ,00:59   ,02:39   ,03:20   ,00:23   ,00:15   ,01:27   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
30       ,02:39   ,02:31   ,04:51   ,00:52   ,01:26   ,02:46   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
31       ,03:44   ,02:44   ,06:30   ,01:06   ,02:09   ,03:14   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
32       ,02:20   ,02:19   ,04:13   ,00:44   ,01:27   ,02:18   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
33       ,01:02   ,01:31   ,02:23   ,00:15   ,00:13   ,00:44   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
34       ,00:36   ,01:05   ,02:19   ,00:01   ,00:02   ,00:09   ,00:00   ,00:00   ,00:00   ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,00:00    ,
