Message,GrowthDay,Time,
报警测试   ,21       ,11:20:00,
最小通风   ,21       ,19:35:25,
管理员登陆  ,22       ,06:54:07,
更改开关   ,22       ,06:54:11,
系统锁定   ,22       ,06:59:11,
隧道通风   ,22       ,08:19:06,
报警测试   ,22       ,11:20:00,
最小通风   ,22       ,11:41:24,
隧道通风   ,22       ,11:42:16,
最小通风   ,22       ,22:15:13,
隧道通风   ,23       ,08:06:17,
最小通风   ,23       ,08:10:20,
隧道通风   ,23       ,08:23:29,
最小通风   ,23       ,08:29:04,
隧道通风   ,23       ,08:38:11,
报警测试   ,23       ,11:20:00,
最小通风   ,23       ,20:05:24,
隧道通风   ,23       ,20:19:23,
最小通风   ,23       ,20:36:11,
备用设置提醒 ,24       ,04:33:04,
隧道通风   ,24       ,09:39:25,
最小通风   ,24       ,09:43:22,
隧道通风   ,24       ,10:00:21,
最小通风   ,24       ,10:05:16,
隧道通风   ,24       ,10:20:11,
最小通风   ,24       ,10:27:17,
隧道通风   ,24       ,10:35:24,
报警测试   ,24       ,11:20:00,
最小通风   ,24       ,18:49:29,
隧道通风   ,25       ,09:40:14,
最小通风   ,25       ,09:54:23,
隧道通风   ,25       ,10:05:01,
报警测试   ,25       ,11:20:00,
最小通风   ,25       ,18:26:23,
管理员登陆  ,25       ,21:38:27,
更改开关   ,25       ,21:39:02,
更改开关   ,25       ,21:39:03,
更改开关   ,25       ,21:39:25,
系统锁定   ,25       ,21:44:26,
隧道通风   ,26       ,10:58:13,
报警测试   ,26       ,11:20:00,
最小通风   ,26       ,20:25:05,
管理员登陆  ,27       ,03:14:24,
更改开关   ,27       ,03:14:27,
更改开关   ,27       ,03:15:23,
系统锁定   ,27       ,03:20:23,
隧道通风   ,27       ,08:03:10,
报警测试   ,27       ,11:20:00,
最小通风   ,27       ,22:45:14,
管理员登陆  ,28       ,00:35:05,
更改开关   ,28       ,00:35:08,
更改开关   ,28       ,00:35:09,
更改开关   ,28       ,00:36:06,
系统锁定   ,28       ,00:41:24,
隧道通风   ,28       ,07:58:21,
报警测试   ,28       ,11:20:00,
备用设置提醒 ,28       ,14:12:03,
最小通风   ,28       ,22:38:03,
隧道通风   ,29       ,08:32:12,
报警测试   ,29       ,11:20:00,
报警测试   ,30       ,11:20:00,
最小通风   ,31       ,01:10:01,
报警测试   ,31       ,11:20:00,
隧道通风   ,31       ,13:24:02,
最小通风   ,31       ,18:17:18,
管理员登陆  ,31       ,19:40:07,
更改开关   ,31       ,19:40:10,
更改开关   ,31       ,19:40:13,
更改开关   ,31       ,19:41:16,
系统锁定   ,31       ,19:46:16,
备用设置提醒 ,32       ,05:33:22,
隧道通风   ,32       ,07:59:28,
报警测试   ,32       ,11:20:00,
管理员登陆  ,32       ,13:08:07,
系统锁定   ,32       ,13:13:11,
最小通风   ,32       ,22:04:15,
管理员登陆  ,32       ,22:45:17,
更改开关   ,32       ,22:45:21,
更改开关   ,32       ,22:45:23,
更改开关   ,32       ,22:46:22,
系统锁定   ,32       ,22:51:22,
隧道通风   ,33       ,07:33:00,
报警测试   ,33       ,11:20:00,
管理员登陆  ,33       ,12:55:21,
系统锁定   ,33       ,13:00:23,
最小通风   ,34       ,01:45:16,
隧道通风   ,34       ,02:08:24,
最小通风   ,34       ,02:26:06,
报警测试   ,34       ,11:20:00,
管理员登陆  ,34       ,13:17:08,
更改开关   ,34       ,13:17:11,
更改开关   ,34       ,13:17:12,
更改开关   ,34       ,13:18:17,
系统锁定   ,34       ,13:23:17,
隧道通风   ,35       ,09:12:10,
报警测试   ,35       ,11:20:00,
备用设置提醒 ,36       ,00:32:20,
报警测试   ,36       ,11:20:00,
最小通风   ,37       ,04:09:01,
隧道通风   ,37       ,05:22:19,
最小通风   ,37       ,05:37:06,
隧道通风   ,37       ,06:39:18,
报警测试   ,37       ,11:20:00,
报警测试   ,38       ,11:20:00,
管理员登陆  ,38       ,12:07:26,
空鸡舍模式  ,38       ,12:07:29,
更改开关   ,38       ,12:08:15,
系统锁定   ,38       ,12:15:03,
管理员登陆  ,38       ,15:47:08,
更改开关   ,38       ,15:47:13,
系统锁定   ,38       ,15:52:20,
最小通风   ,38       ,19:23:23,
管理员登陆  ,38       ,20:02:08,
更改开关   ,38       ,20:02:08,
系统锁定   ,38       ,20:07:08,
管理员登陆  ,39       ,04:50:22,
更改开关   ,39       ,04:50:29,
更改开关   ,39       ,04:51:03,
更改开关   ,39       ,04:53:11,
更改开关   ,39       ,04:54:09,
系统锁定   ,39       ,04:54:11,
报警测试   ,39       ,11:20:00,
报警测试   ,40       ,11:20:00,
电源关闭   ,40       ,15:16:09,
电源开启   ,40       ,15:00:15,
报警测试   ,42       ,11:20:00,
报警测试   ,43       ,11:20:00,
报警测试   ,44       ,11:20:00,
报警测试   ,45       ,11:20:00,
报警测试   ,46       ,11:20:00,
报警测试   ,47       ,11:20:00,
电源关闭   ,48       ,08:03:26,
电源开启   ,48       ,10:11:04,
报警测试   ,48       ,11:20:00,
报警测试   ,49       ,11:20:00,
管理员登陆  ,50       ,10:15:22,
更改开关   ,50       ,10:15:22,
系统锁定   ,50       ,10:20:22,
报警测试   ,50       ,11:20:00,
管理员登陆  ,51       ,08:38:19,
更改开关   ,51       ,08:38:19,
更改开关   ,51       ,08:38:23,
更改开关   ,51       ,08:45:09,
更改开关   ,51       ,08:45:22,
更改开关   ,51       ,08:45:27,
更改开关   ,51       ,08:46:10,
系统锁定   ,51       ,08:51:10,
