GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,32.6        ,32.8        ,34.3        ,
0        ,32.2        ,34.9        ,36.6        ,
1        ,33.1        ,33.5        ,35.5        ,
2        ,32.3        ,33.0        ,34.6        ,
3        ,31.1        ,31.4        ,33.2        ,
4        ,30.5        ,31.2        ,32.5        ,
5        ,29.4        ,29.8        ,31.9        ,
6        ,28.9        ,30.4        ,31.0        ,
7        ,28.9        ,29.7        ,30.9        ,
8        ,28.5        ,29.0        ,30.8        ,
9        ,27.9        ,28.2        ,30.1        ,
10       ,27.0        ,27.5        ,29.9        ,
11       ,26.9        ,27.6        ,29.0        ,
12       ,26.7        ,27.4        ,28.7        ,
13       ,26.2        ,28.0        ,29.1        ,
14       ,25.8        ,27.4        ,28.3        ,
15       ,25.4        ,25.7        ,27.6        ,
16       ,24.6        ,25.8        ,27.1        ,
17       ,24.2        ,24.7        ,26.4        ,
18       ,23.9        ,25.4        ,26.5        ,
19       ,23.6        ,25.0        ,26.1        ,
20       ,23.4        ,24.5        ,25.6        ,
21       ,23.2        ,24.8        ,25.4        ,
22       ,23.0        ,24.4        ,25.5        ,
23       ,23.0        ,23.6        ,25.3        ,
24       ,22.5        ,23.9        ,24.8        ,
25       ,22.3        ,22.4        ,24.9        ,
26       ,22.2        ,23.6        ,24.4        ,
27       ,22.0        ,22.8        ,24.3        ,
28       ,21.7        ,22.6        ,24.0        ,
29       ,20.8        ,21.8        ,23.6        ,
30       ,20.4        ,21.4        ,22.8        ,
31       ,20.1        ,21.2        ,22.5        ,
32       ,19.8        ,20.8        ,23.0        ,
33       ,19.8        ,20.3        ,24.2        ,
34       ,19.1        ,19.9        ,22.8        ,
35       ,18.5        ,19.5        ,22.8        ,
36       ,17.7        ,18.9        ,21.8        ,
37       ,16.7        ,16.8        ,21.2        ,
38       ,9.2         ,11.3        ,20.7        ,
