GrowthDay,PerBird,FeederTotal,ChangeTotal,Feeder_1,ChangeFeeder_1,Feeder_2,ChangeFeeder_2,Feeder_3,ChangeFeeder_3,Feeder_4,ChangeFeeder_4,
-2       ,0.000  ,0          ,不详         ,0       ,不详            ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
-1       ,0.000  ,0          ,0          ,0       ,0             ,0       ,0             ,0       ,0             ,0       ,0             ,
0        ,0.000  ,972        ,不详         ,972     ,不详            ,0       ,0             ,0       ,0             ,0       ,0             ,
1        ,0.000  ,147        ,-85        ,147     ,-85           ,0       ,0             ,0       ,0             ,0       ,0             ,
2        ,0.000  ,541        ,268        ,541     ,268           ,0       ,0             ,0       ,0             ,0       ,0             ,
3        ,0.000  ,624        ,15         ,624     ,15            ,0       ,0             ,0       ,0             ,0       ,0             ,
4        ,0.000  ,569        ,-9         ,569     ,-9            ,0       ,0             ,0       ,0             ,0       ,0             ,
5        ,0.000  ,642        ,12         ,642     ,12            ,0       ,0             ,0       ,0             ,0       ,0             ,
6        ,0.000  ,1046       ,62         ,1046    ,62            ,0       ,0             ,0       ,0             ,0       ,0             ,
7        ,0.000  ,1009       ,-4         ,1009    ,-4            ,0       ,0             ,0       ,0             ,0       ,0             ,
8        ,0.000  ,1092       ,8          ,1092    ,8             ,0       ,0             ,0       ,0             ,0       ,0             ,
9        ,0.000  ,1752       ,60         ,1752    ,60            ,0       ,0             ,0       ,0             ,0       ,0             ,
10       ,0.000  ,1523       ,-14        ,1523    ,-14           ,0       ,0             ,0       ,0             ,0       ,0             ,
11       ,0.000  ,1615       ,6          ,1615    ,6             ,0       ,0             ,0       ,0             ,0       ,0             ,
12       ,0.000  ,1926       ,19         ,1926    ,19            ,0       ,0             ,0       ,0             ,0       ,0             ,
13       ,0.000  ,1972       ,2          ,1972    ,2             ,0       ,0             ,0       ,0             ,0       ,0             ,
14       ,0.000  ,2440       ,23         ,2440    ,23            ,0       ,0             ,0       ,0             ,0       ,0             ,
15       ,0.000  ,2357       ,-4         ,2357    ,-4            ,0       ,0             ,0       ,0             ,0       ,0             ,
16       ,0.000  ,2541       ,7          ,2541    ,7             ,0       ,0             ,0       ,0             ,0       ,0             ,
17       ,0.000  ,2816       ,10         ,2816    ,10            ,0       ,0             ,0       ,0             ,0       ,0             ,
18       ,0.000  ,2972       ,5          ,2972    ,5             ,0       ,0             ,0       ,0             ,0       ,0             ,
19       ,0.000  ,3100       ,4          ,3100    ,4             ,0       ,0             ,0       ,0             ,0       ,0             ,
20       ,0.000  ,3119       ,0          ,3119    ,0             ,0       ,0             ,0       ,0             ,0       ,0             ,
21       ,0.000  ,3174       ,1          ,3174    ,1             ,0       ,0             ,0       ,0             ,0       ,0             ,
22       ,0.000  ,3486       ,9          ,3486    ,9             ,0       ,0             ,0       ,0             ,0       ,0             ,
23       ,0.000  ,3154       ,-5         ,3154    ,-5            ,0       ,0             ,0       ,0             ,0       ,0             ,
24       ,0.000  ,3697       ,10         ,3697    ,10            ,0       ,0             ,0       ,0             ,0       ,0             ,
25       ,0.000  ,4110       ,11         ,4110    ,11            ,0       ,0             ,0       ,0             ,0       ,0             ,
26       ,0.000  ,3917       ,-5         ,3917    ,-5            ,0       ,0             ,0       ,0             ,0       ,0             ,
27       ,0.000  ,3972       ,1          ,3972    ,1             ,0       ,0             ,0       ,0             ,0       ,0             ,
28       ,0.000  ,4018       ,1          ,4018    ,1             ,0       ,0             ,0       ,0             ,0       ,0             ,
29       ,0.000  ,4357       ,8          ,4357    ,8             ,0       ,0             ,0       ,0             ,0       ,0             ,
30       ,0.000  ,3990       ,-9         ,3990    ,-9            ,0       ,0             ,0       ,0             ,0       ,0             ,
31       ,0.000  ,3880       ,-3         ,3880    ,-3            ,0       ,0             ,0       ,0             ,0       ,0             ,
32       ,0.000  ,3963       ,2          ,3963    ,2             ,0       ,0             ,0       ,0             ,0       ,0             ,
33       ,0.000  ,3266       ,-18        ,3266    ,-18           ,0       ,0             ,0       ,0             ,0       ,0             ,
34       ,0.000  ,3651       ,11         ,3651    ,11            ,0       ,0             ,0       ,0             ,0       ,0             ,
35       ,0.000  ,2715       ,-26        ,2715    ,-26           ,0       ,0             ,0       ,0             ,0       ,0             ,
36       ,0.000  ,0          ,-100       ,0       ,-100          ,0       ,0             ,0       ,0             ,0       ,0             ,
37       ,0.000  ,1129       ,-69        ,1129    ,-69           ,0       ,0             ,0       ,0             ,0       ,0             ,
