GROWTH_DAY,HISTORY_TIME,TARGET_TEMP,HOUSE_TEMP_MIN,HOUSE_TEMP_AVG,HOUSE_TEMP_MAX,TEMP_1_AVG,TEMP_2_AVG,TEMP_3_AVG,TEMP_4_AVG,TEMP_5_AVG,TEMP_6_AVG,ATTIC_MIN,ATTIC_AVG,ATTIC_MAX,OUTSIDE_MIN,OUTSIDE_AVG,OUTSIDE_MAX,HUMIDITY_IN_1_MIN,HUMIDITY_IN_1_AVG,HUMIDITY_IN_1_MAX,WATER_CON,FEED_CON,LEVEL,
-2        ,21:00       ,34.0       ,13.6          ,33.8          ,33.8          ,33.2      ,34.3      ,33.8      ,34.3      ,33.2      ,33.6      ,---      ,---      ,---      ,5.0        ,5.0        ,5.6        ,58               ,58.9             ,81               ,0        ,0       ,1    ,
-2        ,22:00       ,34.0       ,32.7          ,33.1          ,34.6          ,32.7      ,32.9      ,33.7      ,33.7      ,32.8      ,32.6      ,---      ,---      ,---      ,4.6        ,4.7        ,5.1        ,57               ,58.9             ,60               ,0        ,0       ,1    ,
-2        ,23:00       ,34.0       ,32.7          ,34.3          ,34.7          ,33.9      ,34.5      ,34.6      ,35.0      ,34.3      ,33.8      ,---      ,---      ,---      ,3.6        ,4.9        ,5.2        ,56               ,56               ,60               ,0        ,0       ,2    ,
-1        ,00:00       ,34.0       ,32.7          ,32.8          ,34.7          ,32.8      ,33.2      ,32.7      ,33.0      ,32.7      ,32.1      ,---      ,---      ,---      ,4.5        ,4.6        ,5.3        ,55               ,55.9             ,58               ,0        ,0       ,1    ,
-1        ,01:00       ,34.0       ,32.7          ,34.6          ,34.6          ,34.2      ,34.7      ,35.3      ,35.4      ,34.0      ,33.9      ,---      ,---      ,---      ,4.6        ,5.1        ,5.3        ,54               ,54.1             ,57               ,0        ,0       ,2    ,
-1        ,02:00       ,34.0       ,32.6          ,33.5          ,34.7          ,33.1      ,33.7      ,33.9      ,34.0      ,33.6      ,32.8      ,---      ,---      ,---      ,5.1        ,5.5        ,5.6        ,52               ,52.6             ,55               ,0        ,0       ,1    ,
-1        ,03:00       ,33.9       ,32.6          ,33.3          ,34.8          ,33.0      ,33.4      ,34.0      ,34.0      ,33.0      ,32.6      ,---      ,---      ,---      ,4.6        ,4.6        ,5.5        ,51               ,53.2             ,54               ,0        ,0       ,1    ,
-1        ,04:00       ,33.9       ,32.7          ,34.0          ,34.5          ,33.7      ,34.1      ,34.2      ,34.2      ,33.9      ,33.5      ,---      ,---      ,---      ,4.3        ,4.4        ,4.9        ,51               ,53               ,54               ,0        ,0       ,2    ,
-1        ,05:00       ,33.9       ,32.7          ,32.8          ,34.7          ,32.7      ,33.0      ,33.0      ,32.9      ,32.8      ,32.5      ,---      ,---      ,---      ,3.9        ,3.9        ,4.4        ,51               ,52.9             ,54               ,0        ,0       ,1    ,
-1        ,06:00       ,33.9       ,32.6          ,34.4          ,34.6          ,34.1      ,34.5      ,35.5      ,35.2      ,33.7      ,33.5      ,---      ,---      ,---      ,3.6        ,3.6        ,3.9        ,52               ,53.3             ,54               ,0        ,0       ,2    ,
