GrowthDay,MinimumValue,AverageValue,MaximumValue,
-2       ,55          ,56          ,81          ,
-1       ,42          ,49          ,92          ,
0        ,38          ,54          ,54          ,
1        ,49          ,62          ,63          ,
2        ,62          ,71          ,72          ,
3        ,65          ,75          ,77          ,
4        ,74          ,80          ,81          ,
5        ,78          ,82          ,86          ,
6        ,78          ,85          ,86          ,
7        ,81          ,86          ,90          ,
8        ,78          ,86          ,94          ,
9        ,80          ,84          ,93          ,
10       ,79          ,82          ,90          ,
11       ,77          ,83          ,90          ,
12       ,77          ,84          ,89          ,
13       ,80          ,83          ,91          ,
14       ,79          ,80          ,94          ,
15       ,76          ,80          ,86          ,
16       ,73          ,73          ,85          ,
17       ,70          ,76          ,83          ,
18       ,65          ,76          ,83          ,
19       ,65          ,79          ,85          ,
20       ,72          ,77          ,88          ,
21       ,70          ,80          ,87          ,
22       ,68          ,75          ,89          ,
23       ,69          ,81          ,88          ,
24       ,69          ,81          ,91          ,
25       ,73          ,76          ,87          ,
26       ,68          ,80          ,88          ,
27       ,71          ,72          ,84          ,
28       ,68          ,75          ,86          ,
29       ,66          ,72          ,87          ,
30       ,65          ,75          ,85          ,
31       ,63          ,72          ,86          ,
32       ,60          ,74          ,86          ,
33       ,61          ,71          ,86          ,
34       ,60          ,74          ,83          ,
35       ,65          ,81          ,86          ,
36       ,62          ,78          ,87          ,
37       ,不详          ,不详          ,不详          ,
