GrowthDay,MinimumValue,AverageValue,MaximumValue,
-2       ,16          ,16          ,16          ,
-1       ,16          ,16          ,16          ,
0        ,55          ,63          ,69          ,
1        ,62          ,68          ,72          ,
2        ,67          ,73          ,77          ,
3        ,72          ,79          ,82          ,
4        ,76          ,81          ,83          ,
5        ,76          ,80          ,83          ,
6        ,76          ,82          ,82          ,
7        ,72          ,80          ,82          ,
8        ,64          ,67          ,82          ,
9        ,63          ,72          ,79          ,
10       ,65          ,71          ,80          ,
11       ,65          ,69          ,81          ,
12       ,66          ,73          ,81          ,
13       ,70          ,77          ,80          ,
14       ,56          ,77          ,80          ,
15       ,69          ,77          ,80          ,
16       ,71          ,72          ,80          ,
17       ,70          ,73          ,80          ,
18       ,69          ,72          ,80          ,
19       ,66          ,71          ,80          ,
20       ,63          ,77          ,80          ,
21       ,70          ,75          ,80          ,
22       ,70          ,72          ,80          ,
23       ,66          ,70          ,80          ,
24       ,68          ,74          ,80          ,
25       ,65          ,66          ,80          ,
26       ,61          ,67          ,78          ,
27       ,64          ,72          ,79          ,
28       ,60          ,67          ,79          ,
29       ,55          ,65          ,77          ,
30       ,63          ,70          ,78          ,
31       ,59          ,69          ,79          ,
32       ,65          ,73          ,79          ,
33       ,69          ,71          ,79          ,
34       ,68          ,73          ,79          ,
35       ,71          ,76          ,79          ,
36       ,70          ,71          ,80          ,
37       ,58          ,68          ,79          ,
38       ,51          ,67          ,78          ,
39       ,53          ,80          ,81          ,
40       ,76          ,100         ,100         ,
41       ,100         ,100         ,100         ,
42       ,100         ,100         ,100         ,
