GrowthDay,TotalMortality,TotalCulled,TotalTotal,TotalPercent,TotalUpdate,MaleMortality,MaleCulled,MaleTotal,MalePercent,MaleUpdate,FemaleMortality,FemaleCulled,FemaleTotal,FemalePercent,FemaleUpdate,
24       ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
25       ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
26       ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
27       ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
28       ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
29       ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
30       ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
31       ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
32       ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
33       ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
34       ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
35       ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
36       ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
37       ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
38       ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
39       ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
40       ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
41       ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
42       ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
43       ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
44       ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
