GrowthDay,Heaters,Fans,Lights,Others,ToalPerDay,ChangeRate,
24       ,0      ,0   ,0     ,0     ,0         ,不详        ,
25       ,0      ,0   ,0     ,0     ,0         ,不详        ,
26       ,0      ,0   ,0     ,0     ,0         ,不详        ,
27       ,0      ,0   ,0     ,0     ,0         ,不详        ,
28       ,0      ,0   ,0     ,0     ,0         ,不详        ,
29       ,0      ,0   ,0     ,0     ,0         ,不详        ,
30       ,0      ,0   ,0     ,0     ,0         ,不详        ,
31       ,0      ,0   ,0     ,0     ,0         ,不详        ,
32       ,0      ,0   ,0     ,0     ,0         ,不详        ,
33       ,0      ,0   ,0     ,0     ,0         ,不详        ,
34       ,0      ,0   ,0     ,0     ,0         ,不详        ,
35       ,0      ,0   ,0     ,0     ,0         ,不详        ,
36       ,0      ,0   ,0     ,0     ,0         ,不详        ,
37       ,0      ,0   ,0     ,0     ,0         ,不详        ,
38       ,0      ,0   ,0     ,0     ,0         ,不详        ,
39       ,0      ,0   ,0     ,0     ,0         ,不详        ,
40       ,0      ,0   ,0     ,0     ,0         ,不详        ,
41       ,0      ,0   ,0     ,0     ,0         ,不详        ,
42       ,0      ,0   ,0     ,0     ,0         ,不详        ,
43       ,0      ,0   ,0     ,0     ,0         ,不详        ,
44       ,0      ,0   ,0     ,0     ,0         ,不详        ,
