GrowthDay,Low_1,High_1,Low_2,High_2,Low_3,High_3,Low_4,High_4,Low_5,High_5,Low_6,High_6,Low_7,High_7,Low_8,High_8,Low_9,High_9,Low_10,High_10,Low_11,High_11,Low_12,High_12,Low_13,High_13,Low_14,High_14,Low_15,High_15,Low_16,High_16,
24       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
25       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
26       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
27       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
28       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
29       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
30       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
31       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
32       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
33       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
