Message,GrowthDay,Time,
传感器3低温 ,0        ,14:16:28,
传感器5低温 ,0        ,16:50:12,
传感器5低温 ,0        ,17:04:22,
传感器5低温 ,0        ,17:33:18,
传感器5低温 ,0        ,17:48:15,
传感器5低温 ,0        ,18:03:23,
传感器5低温 ,0        ,18:19:01,
传感器5低温 ,0        ,18:31:11,
传感器5低温 ,0        ,18:48:05,
传感器5低温 ,0        ,19:03:06,
传感器5低温 ,0        ,19:18:12,
传感器5低温 ,0        ,19:35:15,
传感器5低温 ,0        ,19:50:13,
传感器5低温 ,0        ,20:05:20,
传感器5低温 ,0        ,20:21:20,
传感器5低温 ,0        ,20:36:27,
传感器5低温 ,0        ,20:52:07,
传感器5低温 ,0        ,21:05:28,
传感器5低温 ,0        ,21:23:20,
传感器5低温 ,0        ,21:38:17,
传感器5低温 ,0        ,21:53:22,
传感器5低温 ,0        ,22:08:29,
传感器5低温 ,0        ,22:25:21,
传感器5低温 ,0        ,22:41:11,
低温     ,0        ,22:44:11,
传感器5低温 ,0        ,22:55:23,
传感器5低温 ,0        ,23:11:16,
传感器5低温 ,0        ,23:27:24,
传感器5低温 ,0        ,23:42:08,
低温     ,0        ,23:45:23,
传感器5低温 ,0        ,23:56:18,
传感器5低温 ,1        ,00:14:04,
传感器5低温 ,1        ,00:27:11,
传感器5低温 ,1        ,00:43:08,
传感器5低温 ,1        ,00:59:01,
传感器5低温 ,1        ,01:15:18,
传感器5低温 ,1        ,01:29:29,
传感器5低温 ,1        ,01:45:04,
传感器5低温 ,1        ,02:01:11,
传感器5低温 ,1        ,02:14:22,
传感器5低温 ,1        ,02:29:25,
传感器5低温 ,1        ,02:47:20,
传感器5低温 ,1        ,03:01:20,
传感器5低温 ,1        ,03:18:15,
传感器5低温 ,1        ,03:35:17,
传感器5低温 ,1        ,03:47:20,
低温     ,1        ,03:52:13,
传感器5低温 ,1        ,04:17:29,
传感器5低温 ,1        ,04:29:05,
传感器5低温 ,1        ,04:42:08,
传感器5低温 ,1        ,04:45:06,
传感器5低温 ,1        ,04:55:17,
传感器5低温 ,1        ,05:23:17,
开关改变了  ,1        ,10:11:13,
报警器测试  ,1        ,11:10:00,
报警器测试  ,2        ,11:10:00,
报警器测试  ,3        ,11:10:00,
报警器测试  ,4        ,11:10:00,
低压     ,4        ,13:46:18,
传感器5低温 ,4        ,19:22:13,
报警器测试  ,5        ,11:10:00,
报警器测试  ,6        ,11:10:00,
报警器测试  ,7        ,11:10:00,
报警器测试  ,8        ,11:10:00,
传感器2低温 ,9        ,00:23:18,
传感器2低温 ,9        ,06:17:09,
传感器2低温 ,9        ,06:30:26,
传感器2低温 ,9        ,06:44:04,
传感器2低温 ,9        ,06:57:18,
传感器2低温 ,9        ,07:50:21,
传感器2低温 ,9        ,08:03:01,
传感器2低温 ,9        ,08:17:09,
传感器3低温 ,9        ,10:17:17,
报警器测试  ,9        ,11:10:00,
传感器2低温 ,9        ,22:17:10,
报警器测试  ,10       ,11:10:00,
报警器测试  ,11       ,11:10:00,
报警器测试  ,12       ,11:10:00,
报警器测试  ,13       ,11:10:00,
报警器测试  ,14       ,11:10:00,
报警器测试  ,15       ,11:10:00,
传感器1低温 ,15       ,14:09:24,
传感器2低温 ,15       ,14:11:28,
传感器3低温 ,15       ,14:14:13,
传感器4低温 ,15       ,14:17:05,
传感器5低温 ,15       ,14:19:11,
报警器测试  ,16       ,11:10:00,
报警器测试  ,17       ,11:10:00,
报警器测试  ,18       ,11:10:00,
报警器测试  ,19       ,11:10:00,
报警器测试  ,20       ,11:10:00,
传感器1低温 ,20       ,21:03:28,
报警器测试  ,21       ,11:10:00,
传感器2低温 ,22       ,04:10:24,
传感器3低温 ,22       ,04:35:23,
传感器2低温 ,22       ,04:35:26,
传感器2低温 ,22       ,05:05:08,
传感器2低温 ,22       ,05:16:03,
传感器2低温 ,22       ,05:25:25,
报警器测试  ,22       ,11:10:00,
报警器测试  ,23       ,11:10:00,
报警器测试  ,24       ,11:10:00,
报警器测试  ,25       ,11:10:00,
报警器测试  ,26       ,11:10:00,
报警器测试  ,27       ,11:10:00,
报警器测试  ,28       ,11:10:00,
报警器测试  ,29       ,11:10:00,
报警器测试  ,30       ,11:10:00,
报警器测试  ,31       ,11:10:00,
报警器测试  ,32       ,11:10:00,
报警器测试  ,33       ,11:10:00,
报警器测试  ,34       ,11:10:00,
报警器测试  ,35       ,11:10:00,
报警器测试  ,36       ,11:10:00,
