GrowthDay,TotalDrinkDaily,TotalDrinkChange,Water_1Daily,Water_1Change,Water_2Daily,Water_2Change,Water_3Daily,Water_3Change,Water_4Daily,Water_4Change,TotalWater,Coolpad,Fogger,Flushing,
-2       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
-1       ,411            ,不详              ,411         ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,411       ,0      ,0     ,0       ,
0        ,241            ,-42             ,241         ,-42          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,241       ,0      ,0     ,0       ,
1        ,513            ,112             ,513         ,112          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,513       ,0      ,0     ,0       ,
2        ,997            ,94              ,997         ,94           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,997       ,0      ,0     ,0       ,
3        ,1183           ,18              ,1183        ,18           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1183      ,0      ,0     ,0       ,
4        ,1345           ,13              ,1345        ,13           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1345      ,0      ,0     ,0       ,
5        ,1593           ,18              ,1593        ,18           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1593      ,0      ,0     ,0       ,
6        ,1821           ,14              ,1821        ,14           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1821      ,0      ,0     ,0       ,
7        ,1889           ,3               ,1889        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1889      ,0      ,0     ,0       ,
8        ,1836           ,-3              ,1836        ,-3           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1836      ,0      ,0     ,0       ,
9        ,2321           ,26              ,2321        ,26           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2321      ,0      ,0     ,0       ,
10       ,2975           ,28              ,2975        ,28           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2975      ,0      ,0     ,0       ,
11       ,3349           ,12              ,3349        ,12           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3349      ,0      ,0     ,0       ,
12       ,3448           ,2               ,3448        ,2            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3448      ,0      ,0     ,0       ,
13       ,3770           ,9               ,3770        ,9            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3770      ,0      ,0     ,0       ,
14       ,4091           ,8               ,4091        ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4091      ,0      ,0     ,0       ,
15       ,4341           ,6               ,4341        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4341      ,0      ,0     ,0       ,
16       ,4637           ,6               ,4637        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4637      ,0      ,0     ,0       ,
17       ,4919           ,6               ,4919        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4919      ,0      ,0     ,0       ,
18       ,5232           ,6               ,5232        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5232      ,0      ,0     ,0       ,
19       ,5560           ,6               ,5560        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5560      ,0      ,0     ,0       ,
20       ,5751           ,3               ,5751        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5751      ,0      ,0     ,0       ,
21       ,6270           ,9               ,6270        ,9            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6270      ,0      ,0     ,0       ,
22       ,6590           ,5               ,6590        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6590      ,0      ,0     ,0       ,
23       ,6424           ,-3              ,6424        ,-3           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6424      ,0      ,0     ,0       ,
24       ,6695           ,4               ,6695        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6695      ,0      ,0     ,0       ,
25       ,6824           ,1               ,6824        ,1            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6824      ,0      ,0     ,0       ,
26       ,6802           ,不详              ,6802        ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6802      ,0      ,0     ,0       ,
27       ,6548           ,-4              ,6548        ,-4           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6548      ,0      ,0     ,0       ,
28       ,5942           ,-10             ,5942        ,-10          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5942      ,0      ,0     ,0       ,
29       ,6355           ,6               ,6355        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6355      ,0      ,0     ,0       ,
30       ,5988           ,-6              ,5988        ,-6           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5988      ,0      ,0     ,0       ,
