GROWTH_DAY,HISTORY_TIME,TARGET_TEMP,HOUSE_TEMP_MIN,HOUSE_TEMP_AVG,HOUSE_TEMP_MAX,TEMP_1_AVG,TEMP_2_AVG,TEMP_3_AVG,TEMP_4_AVG,TEMP_5_AVG,TEMP_6_AVG,OUTSIDE_AVG,HUMIDITY_IN_1_AVG,HUMIDITY_OUT_AVG,WATER_CON,FEED_CON,LEVEL,
20        ,17:00       ,26.2       ,25.7          ,26.1          ,27.4          ,26.2      ,25.4      ,25.4      ,26.2      ,27.3      ,-3.2      ,-3.2       ,73.6             ,---             ,184      ,0       ,3    ,
20        ,18:00       ,26.2       ,25.6          ,26.7          ,27.4          ,26.2      ,26.5      ,26.5      ,26.4      ,28.0      ,-4.1      ,-4.1       ,77.5             ,---             ,291      ,874     ,4    ,
20        ,19:00       ,26.2       ,26.0          ,26.8          ,27.2          ,26.3      ,26.3      ,26.6      ,26.8      ,28.2      ,-4.7      ,-4.7       ,78.9             ,---             ,418      ,0       ,2    ,
20        ,20:00       ,26.1       ,25.9          ,26.8          ,27.5          ,26.6      ,26.4      ,26.5      ,26.7      ,27.9      ,-5.0      ,-5.0       ,78.3             ,---             ,394      ,0       ,2    ,
20        ,21:00       ,26.1       ,25.8          ,26.9          ,27.3          ,26.6      ,26.2      ,26.8      ,26.9      ,28.1      ,-5.3      ,-5.3       ,78.8             ,---             ,271      ,0       ,2    ,
20        ,22:00       ,26.1       ,25.8          ,26.9          ,27.7          ,26.8      ,26.7      ,27.0      ,26.7      ,27.6      ,-5.7      ,-5.7       ,78.3             ,---             ,186      ,0       ,2    ,
20        ,23:00       ,26.1       ,25.6          ,26.6          ,27.2          ,26.3      ,25.9      ,26.2      ,26.7      ,27.6      ,-6.0      ,-6.0       ,77.4             ,---             ,0        ,0       ,2    ,
20        ,00:00       ,26.1       ,25.9          ,26.5          ,27.2          ,26.1      ,26.4      ,26.6      ,26.4      ,27.0      ,-6.4      ,-6.4       ,77.8             ,---             ,0        ,0       ,2    ,
21        ,01:00       ,26.1       ,25.8          ,26.5          ,27.0          ,26.2      ,26.5      ,26.6      ,26.6      ,26.9      ,-7.2      ,-7.2       ,78               ,---             ,0        ,0       ,2    ,
21        ,02:00       ,26.1       ,25.8          ,26.4          ,26.9          ,26.2      ,26.2      ,26.5      ,26.2      ,27.0      ,-7.3      ,-7.3       ,77.7             ,---             ,0        ,0       ,2    ,
21        ,03:00       ,26.1       ,25.9          ,26.4          ,27.8          ,26.4      ,26.1      ,26.2      ,26.1      ,27.1      ,-7.7      ,-7.7       ,78.9             ,---             ,413      ,797     ,4    ,
21        ,04:00       ,26.0       ,25.6          ,26.6          ,27.2          ,26.5      ,26.2      ,27.0      ,26.3      ,27.2      ,-7.9      ,-7.9       ,77.9             ,---             ,398      ,0       ,2    ,
21        ,05:00       ,26.0       ,25.8          ,27.0          ,27.3          ,26.9      ,26.7      ,27.7      ,26.4      ,27.3      ,-8.2      ,-8.2       ,77               ,---             ,334      ,0       ,2    ,
21        ,06:00       ,26.0       ,25.8          ,26.9          ,27.3          ,27.1      ,27.0      ,27.3      ,26.3      ,27.0      ,-8.3      ,-8.3       ,77.9             ,---             ,294      ,0       ,4    ,
21        ,07:00       ,26.0       ,25.7          ,26.8          ,27.3          ,26.7      ,26.9      ,27.1      ,26.4      ,26.6      ,-8.4      ,-8.4       ,77.9             ,---             ,265      ,0       ,3    ,
21        ,08:00       ,26.0       ,25.6          ,26.5          ,27.2          ,26.2      ,26.3      ,26.6      ,26.5      ,27.0      ,-7.5      ,-7.5       ,77.9             ,---             ,236      ,0       ,3    ,
21        ,09:00       ,26.0       ,25.6          ,26.6          ,27.2          ,26.4      ,26.0      ,26.8      ,26.6      ,27.1      ,-4.8      ,-4.8       ,78               ,---             ,217      ,0       ,5    ,
21        ,10:00       ,26.0       ,25.8          ,27.2          ,27.4          ,26.9      ,26.9      ,27.3      ,26.9      ,27.7      ,-3.2      ,-3.2       ,77.7             ,---             ,181      ,0       ,6    ,
21        ,11:00       ,26.0       ,25.6          ,26.5          ,27.2          ,26.5      ,26.0      ,26.4      ,26.4      ,27.4      ,-1.6      ,-1.6       ,78.7             ,---             ,229      ,999     ,4    ,
