Message,GrowthDay,Time,
新的鸡群   ,-1       ,10:51:24,
报警测试   ,-1       ,11:10:00,
管理员登陆  ,-1       ,11:46:19,
更改开关   ,-1       ,11:46:27,
最小通风   ,-1       ,11:46:29,
更改开关   ,-1       ,11:51:00,
更改开关   ,-1       ,11:51:16,
更改开关   ,-1       ,11:51:27,
更改开关   ,-1       ,11:52:21,
更改开关   ,-1       ,11:53:29,
系统锁定   ,-1       ,11:58:29,
报警测试   ,0        ,11:10:00,
管理员登陆  ,0        ,11:40:28,
普通鸡舍模式 ,0        ,11:41:03,
备用设置提醒 ,0        ,11:41:04,
重置报警   ,0        ,11:41:07,
系统锁定   ,0        ,11:46:08,
报警测试   ,1        ,11:10:00,
报警测试   ,2        ,11:10:00,
重置报警   ,3        ,06:19:15,
重置报警   ,3        ,08:37:11,
报警测试   ,3        ,11:10:00,
备用设置提醒 ,4        ,08:09:18,
报警测试   ,4        ,11:10:00,
系统锁定   ,5        ,06:46:19,
报警测试   ,5        ,11:10:00,
报警测试   ,6        ,11:10:00,
报警测试   ,7        ,11:10:00,
报警测试   ,8        ,11:10:00,
备用设置提醒 ,9        ,02:12:06,
报警测试   ,9        ,11:10:00,
管理员登陆  ,10       ,06:34:16,
系统锁定   ,10       ,06:39:16,
访客登陆   ,10       ,09:51:15,
系统锁定   ,10       ,09:56:27,
报警测试   ,10       ,11:10:00,
报警测试   ,11       ,11:10:00,
管理员登陆  ,12       ,02:37:02,
系统锁定   ,12       ,02:42:25,
报警测试   ,12       ,11:10:00,
管理员登陆  ,13       ,08:59:05,
系统锁定   ,13       ,09:04:18,
报警测试   ,13       ,11:10:00,
管理员登陆  ,14       ,01:39:22,
系统锁定   ,14       ,01:44:28,
备用设置提醒 ,14       ,09:16:28,
报警测试   ,14       ,11:10:00,
管理员登陆  ,14       ,11:20:24,
更改开关   ,14       ,11:20:29,
系统锁定   ,14       ,11:26:01,
管理员登陆  ,14       ,19:26:17,
更改开关   ,14       ,19:26:18,
系统锁定   ,14       ,19:31:22,
管理员登陆  ,15       ,03:39:29,
系统锁定   ,15       ,03:45:28,
管理员登陆  ,15       ,09:43:02,
更改开关   ,15       ,09:43:04,
系统锁定   ,15       ,09:49:15,
报警测试   ,15       ,11:10:00,
管理员登陆  ,15       ,11:38:05,
系统锁定   ,15       ,11:43:14,
管理员登陆  ,16       ,08:11:28,
系统锁定   ,16       ,08:17:25,
报警测试   ,16       ,11:10:00,
管理员登陆  ,16       ,12:15:21,
系统锁定   ,16       ,12:22:28,
报警测试   ,17       ,11:10:00,
访客登陆   ,17       ,12:17:20,
系统锁定   ,17       ,12:22:28,
报警测试   ,18       ,11:10:00,
管理员登陆  ,18       ,11:11:27,
系统锁定   ,18       ,11:17:18,
备用设置提醒 ,18       ,14:12:14,
访客登陆   ,18       ,15:50:20,
系统锁定   ,18       ,15:56:03,
管理员登陆  ,19       ,01:51:29,
系统锁定   ,19       ,01:57:10,
管理员登陆  ,19       ,09:11:16,
系统锁定   ,19       ,09:19:02,
访客登陆   ,19       ,10:16:22,
系统锁定   ,19       ,10:21:29,
访客登陆   ,19       ,10:25:26,
系统锁定   ,19       ,10:31:04,
报警测试   ,19       ,11:10:00,
管理员登陆  ,20       ,10:21:03,
系统锁定   ,20       ,10:26:21,
报警测试   ,20       ,11:10:00,
访客登陆   ,21       ,06:42:03,
系统锁定   ,21       ,06:47:13,
报警测试   ,21       ,11:10:00,
管理员登陆  ,21       ,11:37:27,
系统锁定   ,21       ,11:44:00,
报警测试   ,22       ,11:10:00,
访客登陆   ,23       ,10:20:29,
系统锁定   ,23       ,10:26:21,
报警测试   ,23       ,11:10:00,
管理员登陆  ,23       ,12:28:05,
更改开关   ,23       ,12:30:06,
系统锁定   ,23       ,12:35:08,
管理员登陆  ,24       ,07:14:06,
系统锁定   ,24       ,07:19:18,
管理员登陆  ,24       ,07:31:12,
系统锁定   ,24       ,07:37:05,
报警测试   ,24       ,11:10:00,
管理员登陆  ,24       ,17:55:21,
系统锁定   ,24       ,18:00:28,
报警测试   ,25       ,11:10:00,
备用设置提醒 ,25       ,17:24:00,
报警测试   ,26       ,11:10:00,
管理员登陆  ,27       ,02:35:29,
系统锁定   ,27       ,02:42:04,
访客登陆   ,27       ,09:48:22,
系统锁定   ,27       ,09:54:03,
报警测试   ,27       ,11:10:00,
报警测试   ,28       ,11:10:00,
管理员登陆  ,29       ,07:29:01,
系统锁定   ,29       ,07:34:21,
访客登陆   ,29       ,07:46:12,
系统锁定   ,29       ,07:51:18,
报警测试   ,29       ,11:10:00,
访客登陆   ,30       ,08:44:01,
系统锁定   ,30       ,08:49:06,
管理员登陆  ,30       ,10:03:10,
系统锁定   ,30       ,10:08:14,
报警测试   ,30       ,11:10:00,
备用设置提醒 ,30       ,14:05:17,
访客登陆   ,30       ,16:31:25,
系统锁定   ,30       ,16:37:08,
管理员登陆  ,30       ,20:29:03,
系统锁定   ,30       ,20:34:05,
管理员登陆  ,31       ,04:25:15,
系统锁定   ,31       ,04:30:29,
报警测试   ,31       ,11:10:00,
管理员登陆  ,32       ,03:31:28,
系统锁定   ,32       ,03:37:16,
管理员登陆  ,32       ,03:42:15,
系统锁定   ,32       ,03:48:17,
报警测试   ,32       ,11:10:00,
访客登陆   ,32       ,16:12:23,
系统锁定   ,32       ,16:17:29,
访客登陆   ,33       ,08:29:21,
系统锁定   ,33       ,08:34:25,
管理员登陆  ,33       ,09:42:22,
系统锁定   ,33       ,09:48:01,
管理员登陆  ,33       ,09:51:18,
系统锁定   ,33       ,09:56:24,
报警测试   ,33       ,11:10:00,
管理员登陆  ,33       ,11:32:03,
系统锁定   ,33       ,11:37:07,
管理员登陆  ,33       ,20:11:17,
系统锁定   ,33       ,20:16:23,
访客登陆   ,34       ,08:15:29,
系统锁定   ,34       ,08:22:16,
管理员登陆  ,34       ,08:36:03,
系统锁定   ,34       ,08:42:03,
报警测试   ,34       ,11:10:00,
报警测试   ,35       ,11:10:00,
备用设置提醒 ,35       ,13:18:22,
访客登陆   ,35       ,13:58:07,
系统锁定   ,35       ,14:03:22,
访客登陆   ,35       ,15:50:20,
系统锁定   ,35       ,15:55:23,
报警测试   ,36       ,11:10:00,
访客登陆   ,36       ,12:10:27,
系统锁定   ,36       ,12:16:00,
报警测试   ,37       ,11:10:00,
访客登陆   ,37       ,14:51:24,
系统锁定   ,37       ,14:57:20,
报警测试   ,38       ,11:10:00,
访客登陆   ,38       ,11:37:25,
系统锁定   ,38       ,11:42:28,
管理员登陆  ,38       ,16:07:18,
空鸡舍模式  ,38       ,16:07:23,
系统锁定   ,38       ,16:13:11,
系统锁定   ,38       ,19:17:23,
系统锁定   ,39       ,02:01:16,
报警测试   ,39       ,11:10:00,
报警测试   ,40       ,11:10:00,
报警测试   ,41       ,11:10:00,
报警测试   ,42       ,11:10:00,
报警测试   ,43       ,11:10:00,
电源关闭   ,44       ,06:28:17,
电源开启   ,44       ,07:59:14,
报警测试   ,44       ,11:10:00,
报警测试   ,45       ,11:10:00,
报警测试   ,46       ,11:10:00,
系统锁定   ,47       ,09:01:27,
报警测试   ,47       ,11:10:00,
报警测试   ,48       ,11:10:00,
报警测试   ,49       ,11:10:00,
报警测试   ,50       ,11:10:00,
报警测试   ,51       ,11:10:00,
报警测试   ,52       ,11:10:00,
系统锁定   ,52       ,13:48:25,
电源关闭   ,53       ,10:15:25,
电源开启   ,53       ,10:16:07,
报警测试   ,53       ,11:10:00,
电源关闭   ,53       ,20:25:26,
电源开启   ,53       ,20:26:02,
报警测试   ,54       ,11:10:00,
报警测试   ,55       ,11:10:00,
更改开关   ,55       ,22:45:02,
更改开关   ,55       ,22:46:19,
系统锁定   ,55       ,22:52:17,
新的鸡群   ,-2       ,22:54:20,
报警测试   ,-1       ,11:10:00,
管理员登陆  ,-1       ,11:29:17,
更改开关   ,-1       ,11:29:21,
更改开关   ,-1       ,11:30:01,
更改开关   ,-1       ,11:30:28,
更改开关   ,-1       ,11:35:02,
系统锁定   ,-1       ,11:40:02,
报警测试   ,0        ,11:10:00,
管理员登陆  ,0        ,17:26:23,
普通鸡舍模式 ,0        ,17:26:26,
备用设置提醒 ,0        ,17:26:27,
系统锁定   ,0        ,17:31:27,
重置报警   ,0        ,20:11:24,
重置报警   ,0        ,20:29:22,
更改开关   ,0        ,20:31:00,
更改开关   ,0        ,20:31:02,
系统锁定   ,0        ,20:36:02,
重置报警   ,1        ,00:41:29,
重置报警   ,1        ,00:51:06,
重置报警   ,1        ,00:54:29,
更改开关   ,1        ,01:01:12,
更改开关   ,1        ,01:01:21,
系统锁定   ,1        ,01:07:09,
管理员登陆  ,1        ,01:16:08,
系统锁定   ,1        ,01:22:27,
管理员登陆  ,1        ,01:30:09,
更改开关   ,1        ,01:30:26,
系统锁定   ,1        ,01:35:26,
管理员登陆  ,1        ,03:27:22,
系统锁定   ,1        ,03:33:13,
报警测试   ,1        ,11:10:00,
报警测试   ,2        ,11:10:00,
管理员登陆  ,3        ,08:46:29,
重置报警   ,3        ,08:47:05,
系统锁定   ,3        ,08:52:08,
报警测试   ,3        ,11:10:00,
备用设置提醒 ,4        ,06:14:12,
报警测试   ,4        ,11:10:00,
报警测试   ,5        ,11:10:00,
报警测试   ,6        ,11:10:00,
管理员登陆  ,6        ,11:58:29,
更改开关   ,6        ,11:59:03,
更改开关   ,6        ,11:59:06,
更改开关   ,6        ,11:59:17,
更改开关   ,6        ,11:59:18,
系统锁定   ,6        ,12:05:10,
备用设置提醒 ,6        ,13:22:07,
系统锁定   ,6        ,15:58:24,
报警测试   ,7        ,11:10:00,
访客登陆   ,7        ,15:59:23,
系统锁定   ,7        ,16:05:00,
报警测试   ,8        ,11:10:00,
访客登陆   ,8        ,16:03:16,
系统锁定   ,8        ,16:12:04,
管理员登陆  ,8        ,19:41:16,
系统锁定   ,8        ,19:46:16,
报警测试   ,9        ,11:10:00,
报警测试   ,10       ,11:10:00,
报警测试   ,11       ,11:10:00,
访客登陆   ,11       ,13:56:16,
系统锁定   ,11       ,14:03:26,
备用设置提醒 ,12       ,00:07:06,
报警测试   ,12       ,11:10:00,
报警测试   ,13       ,11:10:00,
报警测试   ,14       ,11:10:00,
访客登陆   ,14       ,14:57:17,
系统锁定   ,14       ,15:06:07,
访客登陆   ,14       ,16:14:19,
系统锁定   ,14       ,16:22:21,
报警测试   ,15       ,11:10:00,
报警测试   ,16       ,11:10:00,
重置报警   ,16       ,15:37:04,
重置报警   ,16       ,15:41:21,
备用设置提醒 ,17       ,01:55:06,
报警测试   ,17       ,11:10:00,
访客登陆   ,17       ,16:08:24,
系统锁定   ,17       ,16:13:28,
报警测试   ,18       ,11:10:00,
报警测试   ,19       ,11:10:00,
访客登陆   ,19       ,17:21:08,
系统锁定   ,19       ,17:26:13,
管理员登陆  ,20       ,10:45:24,
更改开关   ,20       ,10:46:03,
更改开关   ,20       ,10:46:16,
系统锁定   ,20       ,10:52:22,
报警测试   ,20       ,11:10:00,
访客登陆   ,20       ,16:25:08,
系统锁定   ,20       ,16:30:14,
管理员登陆  ,21       ,08:51:05,
系统锁定   ,21       ,08:56:09,
报警测试   ,21       ,11:10:00,
访客登陆   ,21       ,13:16:05,
系统锁定   ,21       ,13:21:19,
更改的日龄  ,22       ,00:03:06,
管理员登陆  ,22       ,06:12:16,
系统锁定   ,22       ,06:18:12,
报警测试   ,22       ,11:10:00,
管理员登陆  ,22       ,12:55:11,
系统锁定   ,22       ,13:00:18,
管理员登陆  ,22       ,13:03:25,
系统锁定   ,22       ,13:08:26,
管理员登陆  ,22       ,15:08:14,
系统锁定   ,22       ,15:13:21,
报警测试   ,23       ,11:10:00,
访客登陆   ,23       ,15:34:25,
系统锁定   ,23       ,15:40:17,
备用设置提醒 ,24       ,02:45:18,
报警测试   ,24       ,11:10:00,
访客登陆   ,24       ,11:17:21,
系统锁定   ,24       ,11:27:19,
报警测试   ,25       ,11:10:00,
管理员登陆  ,25       ,12:48:12,
系统锁定   ,25       ,12:53:20,
管理员登陆  ,25       ,13:02:20,
系统锁定   ,25       ,13:07:26,
访客登陆   ,25       ,16:28:19,
系统锁定   ,25       ,16:34:08,
报警测试   ,26       ,11:10:00,
管理员登陆  ,27       ,10:11:02,
系统锁定   ,27       ,10:17:10,
报警测试   ,27       ,11:10:00,
管理员登陆  ,27       ,14:02:29,
系统锁定   ,27       ,14:08:12,
管理员登陆  ,28       ,06:14:22,
系统锁定   ,28       ,06:19:28,
报警测试   ,28       ,11:10:00,
管理员登陆  ,29       ,10:01:21,
系统锁定   ,29       ,10:07:22,
报警测试   ,29       ,11:10:00,
访客登陆   ,29       ,16:20:20,
系统锁定   ,29       ,16:26:01,
访客登陆   ,30       ,06:45:14,
系统锁定   ,30       ,06:50:19,
报警测试   ,30       ,11:10:00,
系统锁定   ,30       ,14:59:29,
管理员登陆  ,31       ,06:02:01,
系统锁定   ,31       ,06:07:12,
报警测试   ,31       ,11:10:00,
报警测试   ,32       ,11:10:00,
管理员登陆  ,32       ,13:07:08,
系统锁定   ,32       ,13:12:16,
管理员登陆  ,33       ,09:40:28,
系统锁定   ,33       ,09:46:04,
报警测试   ,33       ,11:10:00,
报警测试   ,34       ,11:10:00,
备用设置提醒 ,35       ,08:44:05,
报警测试   ,35       ,11:10:00,
报警测试   ,36       ,11:10:00,
管理员登陆  ,36       ,13:48:07,
更改开关   ,36       ,13:48:13,
系统锁定   ,36       ,13:53:15,
