GrowthDay,MinimumValue,AverageValue,MaximumValue,
-2       ,11.5        ,28.5        ,29.2        ,
-1       ,28.2        ,31.8        ,33.5        ,
0        ,31.4        ,34.9        ,35.2        ,
1        ,33.8        ,34.1        ,35.3        ,
2        ,32.8        ,33.5        ,34.6        ,
3        ,32.4        ,33.1        ,34.1        ,
4        ,31.8        ,32.1        ,33.7        ,
5        ,30.9        ,31.9        ,32.9        ,
6        ,30.2        ,30.5        ,32.4        ,
7        ,30.0        ,31.1        ,32.0        ,
8        ,29.5        ,29.6        ,31.7        ,
9        ,29.3        ,29.9        ,31.5        ,
10       ,29.0        ,30.5        ,31.2        ,
11       ,28.9        ,29.5        ,31.0        ,
12       ,28.8        ,29.3        ,30.7        ,
13       ,27.9        ,28.4        ,30.7        ,
14       ,27.6        ,28.4        ,29.7        ,
15       ,27.5        ,27.6        ,29.4        ,
16       ,27.0        ,27.5        ,28.8        ,
17       ,26.9        ,27.2        ,28.6        ,
18       ,26.1        ,26.7        ,28.5        ,
19       ,26.0        ,26.9        ,28.0        ,
20       ,25.1        ,26.6        ,28.2        ,
21       ,25.5        ,26.4        ,27.8        ,
22       ,25.1        ,26.4        ,27.5        ,
23       ,25.1        ,26.0        ,28.4        ,
24       ,25.1        ,25.7        ,27.4        ,
25       ,24.4        ,25.2        ,27.3        ,
26       ,24.3        ,25.0        ,27.4        ,
27       ,24.2        ,25.0        ,26.8        ,
28       ,24.5        ,24.8        ,27.2        ,
29       ,23.4        ,23.6        ,27.6        ,
30       ,22.8        ,23.6        ,25.0        ,
31       ,22.6        ,23.0        ,25.8        ,
32       ,22.2        ,22.5        ,25.2        ,
33       ,21.9        ,22.1        ,24.1        ,
34       ,21.5        ,21.9        ,23.6        ,
35       ,21.1        ,21.7        ,23.0        ,
36       ,19.8        ,20.5        ,22.6        ,
37       ,7.5         ,7.8         ,21.1        ,
38       ,7.3         ,10.5        ,15.4        ,
39       ,8.8         ,11.2        ,15.1        ,
40       ,10.3        ,12.6        ,13.8        ,
41       ,13.8        ,14.1        ,18.6        ,
42       ,13.1        ,18.0        ,22.0        ,
