GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,59          ,63          ,100         ,
0        ,56          ,70          ,72          ,
1        ,65          ,67          ,75          ,
2        ,61          ,64          ,70          ,
3        ,58          ,69          ,71          ,
4        ,63          ,65          ,73          ,
5        ,59          ,68          ,73          ,
6        ,62          ,69          ,76          ,
7        ,63          ,68          ,79          ,
8        ,62          ,70          ,81          ,
9        ,64          ,74          ,98          ,
10       ,67          ,70          ,86          ,
11       ,66          ,68          ,84          ,
12       ,60          ,70          ,84          ,
13       ,63          ,65          ,85          ,
14       ,62          ,65          ,84          ,
15       ,61          ,66          ,84          ,
16       ,60          ,65          ,84          ,
17       ,63          ,80          ,92          ,
18       ,67          ,71          ,94          ,
19       ,68          ,82          ,92          ,
20       ,72          ,86          ,96          ,
21       ,71          ,74          ,95          ,
22       ,68          ,81          ,96          ,
23       ,72          ,80          ,97          ,
24       ,63          ,78          ,95          ,
25       ,59          ,80          ,96          ,
26       ,65          ,79          ,95          ,
27       ,66          ,79          ,97          ,
28       ,72          ,84          ,100         ,
29       ,77          ,87          ,100         ,
30       ,78          ,89          ,100         ,
31       ,82          ,91          ,100         ,
32       ,85          ,92          ,100         ,
33       ,76          ,87          ,100         ,
34       ,75          ,85          ,100         ,
35       ,68          ,78          ,98          ,
36       ,72          ,96          ,100         ,
