Message,GrowthDay,Time,
更改开关   ,0        ,21:18:22,
更改开关   ,0        ,21:19:17,
更改开关   ,0        ,21:19:21,
重置报警   ,0        ,21:20:27,
系统锁定   ,0        ,21:25:28,
管理员登陆  ,0        ,21:59:14,
更改开关   ,0        ,21:59:17,
更改开关   ,0        ,21:59:29,
系统锁定   ,0        ,22:04:29,
管理员登陆  ,0        ,22:26:07,
重置报警   ,0        ,22:26:17,
系统锁定   ,0        ,22:31:19,
备用设置提醒 ,0        ,00:00:00,
管理员登陆  ,1        ,06:54:14,
重置报警   ,1        ,06:59:29,
系统锁定   ,1        ,07:06:04,
管理员登陆  ,1        ,07:09:08,
更改开关   ,1        ,07:09:11,
更改开关   ,1        ,07:12:28,
系统锁定   ,1        ,07:19:03,
管理员登陆  ,1        ,07:52:28,
更改开关   ,1        ,07:53:00,
系统锁定   ,1        ,07:58:00,
报警测试   ,1        ,12:00:00,
管理员登陆  ,1        ,14:44:06,
系统锁定   ,1        ,14:49:23,
重置报警   ,1        ,17:08:25,
管理员登陆  ,1        ,17:26:25,
更改开关   ,1        ,17:26:27,
更改开关   ,1        ,17:27:00,
更改开关   ,1        ,17:27:13,
更改开关   ,1        ,17:27:20,
更改开关   ,1        ,17:27:22,
系统锁定   ,1        ,17:34:01,
管理员登陆  ,2        ,08:02:06,
备用设置提醒 ,2        ,08:03:01,
系统锁定   ,2        ,08:08:02,
管理员登陆  ,2        ,08:33:02,
重置报警   ,2        ,08:33:05,
系统锁定   ,2        ,08:38:16,
管理员登陆  ,2        ,08:57:23,
更改开关   ,2        ,08:58:29,
系统锁定   ,2        ,09:03:29,
管理员登陆  ,2        ,09:21:29,
更改开关   ,2        ,09:24:02,
系统锁定   ,2        ,09:29:03,
报警测试   ,2        ,12:00:00,
更改开关   ,2        ,16:21:10,
更改开关   ,2        ,16:21:12,
系统锁定   ,2        ,16:26:17,
管理员登陆  ,3        ,09:57:10,
更改开关   ,3        ,09:57:14,
系统锁定   ,3        ,10:02:14,
备用设置提醒 ,3        ,10:28:24,
报警测试   ,3        ,12:00:00,
管理员登陆  ,3        ,12:51:22,
更改开关   ,3        ,12:51:28,
更改开关   ,3        ,12:52:29,
更改开关   ,3        ,12:53:08,
系统锁定   ,3        ,12:58:08,
管理员登陆  ,3        ,17:56:00,
更改开关   ,3        ,17:56:03,
更改开关   ,3        ,17:56:11,
更改开关   ,3        ,17:56:13,
更改开关   ,3        ,17:57:14,
更改开关   ,3        ,17:57:16,
更改开关   ,3        ,17:58:05,
系统锁定   ,3        ,18:03:05,
管理员登陆  ,3        ,18:40:29,
更改开关   ,3        ,18:41:02,
系统锁定   ,3        ,18:46:06,
管理员登陆  ,4        ,07:56:07,
更改开关   ,4        ,07:56:09,
系统锁定   ,4        ,08:01:12,
隧道通风   ,4        ,11:56:03,
报警测试   ,4        ,12:00:00,
最小通风   ,4        ,12:01:05,
隧道通风   ,4        ,12:07:18,
最小通风   ,4        ,12:14:05,
隧道通风   ,4        ,12:20:25,
最小通风   ,4        ,12:27:06,
隧道通风   ,4        ,12:33:25,
最小通风   ,4        ,12:40:15,
隧道通风   ,4        ,12:46:29,
最小通风   ,4        ,12:51:28,
隧道通风   ,4        ,12:59:22,
最小通风   ,4        ,13:05:03,
隧道通风   ,4        ,13:11:25,
最小通风   ,4        ,13:17:24,
隧道通风   ,4        ,13:25:03,
最小通风   ,4        ,13:30:19,
隧道通风   ,4        ,13:37:01,
最小通风   ,4        ,13:42:21,
隧道通风   ,4        ,13:49:08,
最小通风   ,4        ,13:55:18,
隧道通风   ,4        ,14:01:15,
最小通风   ,4        ,14:08:29,
隧道通风   ,4        ,14:14:25,
最小通风   ,4        ,14:23:05,
隧道通风   ,4        ,14:28:23,
最小通风   ,4        ,14:37:07,
隧道通风   ,4        ,14:43:01,
最小通风   ,4        ,14:50:16,
隧道通风   ,4        ,14:57:02,
最小通风   ,4        ,15:05:26,
管理员登陆  ,4        ,15:11:09,
隧道通风   ,4        ,15:11:25,
系统锁定   ,4        ,15:17:00,
最小通风   ,4        ,15:27:25,
隧道通风   ,4        ,15:32:13,
备用设置提醒 ,4        ,16:52:03,
最小通风   ,4        ,18:27:05,
管理员登陆  ,4        ,19:16:05,
更改开关   ,4        ,19:16:07,
更改开关   ,4        ,19:16:10,
更改开关   ,4        ,19:16:14,
系统锁定   ,4        ,19:21:14,
管理员登陆  ,5        ,08:03:00,
更改开关   ,5        ,08:03:04,
系统锁定   ,5        ,08:08:04,
隧道通风   ,5        ,09:07:26,
报警测试   ,5        ,12:00:00,
最小通风   ,5        ,18:47:23,
管理员登陆  ,5        ,19:35:23,
更改开关   ,5        ,19:35:25,
更改开关   ,5        ,19:35:26,
更改开关   ,5        ,19:35:29,
系统锁定   ,5        ,19:40:29,
管理员登陆  ,6        ,07:35:08,
更改开关   ,6        ,07:35:10,
系统锁定   ,6        ,07:40:11,
隧道通风   ,6        ,08:49:19,
最小通风   ,6        ,08:57:22,
隧道通风   ,6        ,09:05:03,
