GrowthDay,TotalDrinkDaily,TotalDrinkChange,Water_1Daily,Water_1Change,Water_2Daily,Water_2Change,Water_3Daily,Water_3Change,Water_4Daily,Water_4Change,TotalWater,Coolpad,Fogger,Flushing,
-1       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
0        ,290            ,不详              ,290         ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,290       ,0      ,0     ,0       ,
1        ,730            ,151             ,730         ,151          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,730       ,0      ,0     ,0       ,
2        ,910            ,24              ,910         ,24           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,910       ,0      ,0     ,0       ,
3        ,1570           ,72              ,1570        ,72           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1570      ,0      ,0     ,0       ,
4        ,1420           ,-10             ,1420        ,-10          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1420      ,0      ,0     ,0       ,
5        ,1660           ,16              ,1660        ,16           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1660      ,0      ,0     ,0       ,
6        ,1890           ,13              ,1890        ,13           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1890      ,0      ,0     ,0       ,
7        ,2200           ,16              ,2200        ,16           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2200      ,0      ,0     ,0       ,
8        ,2360           ,7               ,2360        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2360      ,0      ,0     ,0       ,
9        ,2520           ,6               ,2520        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2520      ,0      ,0     ,0       ,
10       ,2970           ,17              ,2970        ,17           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2970      ,0      ,0     ,0       ,
11       ,3340           ,12              ,3340        ,12           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3340      ,0      ,0     ,0       ,
12       ,3680           ,10              ,3680        ,10           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3680      ,0      ,0     ,0       ,
13       ,4970           ,35              ,4970        ,35           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4970      ,0      ,0     ,0       ,
14       ,4760           ,-5              ,4760        ,-5           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4760      ,0      ,0     ,0       ,
15       ,5160           ,8               ,5160        ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5160      ,0      ,0     ,0       ,
16       ,5400           ,4               ,5400        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5400      ,0      ,0     ,0       ,
17       ,5610           ,3               ,5610        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5610      ,0      ,0     ,0       ,
18       ,6020           ,7               ,6020        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6020      ,0      ,0     ,0       ,
19       ,6330           ,5               ,6330        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6330      ,0      ,0     ,0       ,
20       ,7100           ,12              ,7100        ,12           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7100      ,0      ,0     ,0       ,
21       ,7490           ,5               ,7490        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7490      ,0      ,0     ,0       ,
22       ,7590           ,1               ,7590        ,1            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7590      ,0      ,0     ,0       ,
23       ,8100           ,6               ,8100        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8100      ,0      ,0     ,0       ,
24       ,8190           ,1               ,8190        ,1            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8190      ,0      ,0     ,0       ,
25       ,8950           ,9               ,8950        ,9            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8950      ,0      ,0     ,0       ,
26       ,8360           ,-7              ,8360        ,-7           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8360      ,0      ,0     ,0       ,
27       ,8890           ,6               ,8890        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8890      ,0      ,0     ,0       ,
28       ,9330           ,4               ,9330        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,9330      ,0      ,0     ,0       ,
29       ,8980           ,-4              ,8980        ,-4           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8980      ,0      ,0     ,0       ,
30       ,8540           ,-5              ,8540        ,-5           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8540      ,0      ,0     ,0       ,
31       ,8430           ,-2              ,8430        ,-2           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8430      ,0      ,0     ,0       ,
32       ,7860           ,-7              ,7860        ,-7           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7860      ,0      ,0     ,0       ,
33       ,7460           ,-6              ,7460        ,-6           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7460      ,0      ,0     ,0       ,
34       ,8020           ,7               ,8020        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8020      ,0      ,0     ,0       ,
35       ,8840           ,10              ,8840        ,10           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8840      ,0      ,0     ,0       ,
36       ,1880           ,-79             ,1880        ,-79          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1880      ,0      ,0     ,0       ,
