GrowthDay,MinimumValue,AverageValue,MaximumValue,
-1       ,9.4         ,32.0        ,33.7        ,
0        ,30.1        ,33.5        ,35.0        ,
1        ,32.5        ,33.0        ,34.6        ,
2        ,31.6        ,32.0        ,34.4        ,
3        ,31.0        ,33.1        ,33.8        ,
4        ,30.0        ,32.4        ,33.6        ,
5        ,29.2        ,29.3        ,32.8        ,
6        ,28.1        ,30.8        ,31.9        ,
7        ,28.1        ,30.1        ,31.2        ,
8        ,27.8        ,30.0        ,30.6        ,
9        ,27.2        ,28.8        ,30.4        ,
10       ,27.0        ,28.8        ,29.8        ,
11       ,26.3        ,27.6        ,29.2        ,
12       ,25.6        ,27.6        ,28.5        ,
13       ,25.2        ,27.1        ,28.0        ,
14       ,24.9        ,25.5        ,27.8        ,
15       ,24.9        ,26.0        ,27.4        ,
16       ,24.1        ,24.9        ,27.3        ,
17       ,24.1        ,26.2        ,27.5        ,
18       ,24.2        ,25.6        ,27.4        ,
19       ,23.8        ,25.1        ,27.3        ,
20       ,23.5        ,24.9        ,26.8        ,
21       ,22.9        ,23.8        ,26.0        ,
22       ,21.9        ,24.0        ,25.9        ,
23       ,21.9        ,23.4        ,25.6        ,
24       ,22.0        ,23.1        ,26.3        ,
25       ,21.9        ,22.3        ,26.9        ,
26       ,21.3        ,21.6        ,24.6        ,
27       ,21.0        ,21.9        ,26.7        ,
28       ,21.2        ,22.3        ,25.4        ,
29       ,21.1        ,21.6        ,24.5        ,
30       ,20.4        ,21.3        ,24.6        ,
31       ,20.7        ,21.2        ,24.5        ,
32       ,19.7        ,21.1        ,24.5        ,
33       ,19.1        ,21.2        ,26.3        ,
34       ,21.0        ,21.9        ,28.4        ,
35       ,21.5        ,23.8        ,27.2        ,
36       ,21.7        ,22.0        ,27.3        ,
